municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Acará,dados_acara__populacao_total,População Total,dados_acara,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.778891986310466,1991,43.193,Valor
Acará,dados_acara__populacao_total,População Total,dados_acara,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.778891986310466,2000,47.925,Valor
Acará,dados_acara__populacao_total,População Total,dados_acara,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.778891986310466,2010,53.569,Valor
Acará,dados_acara__populacao_total,População Total,dados_acara,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.778891986310466,2022,57.128,Valor
Acará,dados_acara__populacao_urbana,População Urbana,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,1.0336910740138385,2000,11.82,Valor
Acará,dados_acara__populacao_urbana,População Urbana,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,1.0336910740138385,2010,15.42,Valor
Acará,dados_acara__populacao_urbana,População Urbana,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,1.0336910740138385,2022,18.24,Valor
Acará,dados_acara__populacao_rural,População Rural,dados_acara,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.8336338650132807,2000,36.105,Valor
Acará,dados_acara__populacao_rural,População Rural,dados_acara,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.8336338650132807,2010,38.149,Valor
Acará,dados_acara__populacao_rural,População Rural,dados_acara,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.8336338650132807,2022,38.888,Valor
Acará,dados_acara__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_acara,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,1.42,Valor
Acará,dados_acara__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_acara,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,3.21,Valor
Acará,dados_acara__populacao_de_mulheres,População de Mulheres,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,0.8176565017988521,2000,22.84,Valor
Acará,dados_acara__populacao_de_mulheres,População de Mulheres,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,0.8176565017988521,2010,25.68,Valor
Acará,dados_acara__populacao_de_mulheres,População de Mulheres,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,0.8176565017988521,2022,27.82,Valor
Acará,dados_acara__populacao_de_homens,População de Homens,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,0.8776050647005592,2000,25.085,Valor
Acará,dados_acara__populacao_de_homens,População de Homens,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,0.8776050647005592,2010,27.889,Valor
Acará,dados_acara__populacao_de_homens,População de Homens,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,0.8776050647005592,2022,29.308,Valor
Acará,dados_acara__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_acara,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.9398408273483057,2000,109.8,Valor
Acará,dados_acara__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_acara,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.9398408273483057,2010,108.6,Valor
Acará,dados_acara__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_acara,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.9398408273483057,2022,105.3,Valor
Acará,dados_acara__idade_mediana,Idade Mediana,dados_acara,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2000,19.0,Valor
Acará,dados_acara__idade_mediana,Idade Mediana,dados_acara,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2010,22.0,Valor
Acará,dados_acara__idade_mediana,Idade Mediana,dados_acara,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2022,27.0,Valor
Acará,dados_acara__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_acara,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.365326673932785,2000,5.8,Valor
Acará,dados_acara__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_acara,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.365326673932785,2010,9.4,Valor
Acará,dados_acara__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_acara,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.365326673932785,2022,21.2,Valor
Acará,dados_acara__populacao_parda,População Parda,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,1.5634931219283672,2000,37.82,Valor
Acará,dados_acara__populacao_parda,População Parda,dados_acara,Grupo 2 — 3 censos,3,relu,adam,True,1.5634931219283672,2010,43.21,Valor
