municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Afuá,dados_afua__populacao_total,População Total,dados_afua,Grupo 1 — 4 censos,4,identity,adam,True,0.5731773677608922,1991,29.809,Valor
Afuá,dados_afua__populacao_total,População Total,dados_afua,Grupo 1 — 4 censos,4,identity,adam,True,0.5731773677608922,2000,32.748,Valor
Afuá,dados_afua__populacao_total,População Total,dados_afua,Grupo 1 — 4 censos,4,identity,adam,True,0.5731773677608922,2010,35.042,Valor
Afuá,dados_afua__populacao_total,População Total,dados_afua,Grupo 1 — 4 censos,4,identity,adam,True,0.5731773677608922,2022,37.765,Valor
Afuá,dados_afua__populacao_urbana,População Urbana,dados_afua,Grupo 2 — 3 censos,3,identity,adam,True,0.07852555977536053,2000,9.82,Valor
Afuá,dados_afua__populacao_urbana,População Urbana,dados_afua,Grupo 2 — 3 censos,3,identity,adam,True,0.07852555977536053,2010,12.14,Valor
Afuá,dados_afua__populacao_urbana,População Urbana,dados_afua,Grupo 2 — 3 censos,3,identity,adam,True,0.07852555977536053,2022,14.82,Valor
Afuá,dados_afua__populacao_rural,População Rural,dados_afua,Grupo 2 — 3 censos,3,logistic,sgd,True,0.022919755933902053,2000,22.928,Valor
Afuá,dados_afua__populacao_rural,População Rural,dados_afua,Grupo 2 — 3 censos,3,logistic,sgd,True,0.022919755933902053,2010,22.902,Valor
Afuá,dados_afua__populacao_rural,População Rural,dados_afua,Grupo 2 — 3 censos,3,logistic,sgd,True,0.022919755933902053,2022,22.945,Valor
Afuá,dados_afua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_afua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,1.12,Valor
Afuá,dados_afua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_afua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,2.84,Valor
Afuá,dados_afua__populacao_de_mulheres,População de Mulheres,dados_afua,Grupo 2 — 3 censos,3,identity,adam,True,0.12750957892413575,2000,15.68,Valor
Afuá,dados_afua__populacao_de_mulheres,População de Mulheres,dados_afua,Grupo 2 — 3 censos,3,identity,adam,True,0.12750957892413575,2010,16.92,Valor
Afuá,dados_afua__populacao_de_mulheres,População de Mulheres,dados_afua,Grupo 2 — 3 censos,3,identity,adam,True,0.12750957892413575,2022,18.24,Valor
Afuá,dados_afua__populacao_de_homens,População de Homens,dados_afua,Grupo 2 — 3 censos,3,identity,sgd,True,0.1048757675080149,2000,17.068,Valor
Afuá,dados_afua__populacao_de_homens,População de Homens,dados_afua,Grupo 2 — 3 censos,3,identity,sgd,True,0.1048757675080149,2010,18.122,Valor
Afuá,dados_afua__populacao_de_homens,População de Homens,dados_afua,Grupo 2 — 3 censos,3,identity,sgd,True,0.1048757675080149,2022,19.525,Valor
Afuá,dados_afua__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_afua,Grupo 2 — 3 censos,3,tanh,adam,True,0.8717968311909914,2000,108.8,Valor
Afuá,dados_afua__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_afua,Grupo 2 — 3 censos,3,tanh,adam,True,0.8717968311909914,2010,107.1,Valor
Afuá,dados_afua__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_afua,Grupo 2 — 3 censos,3,tanh,adam,True,0.8717968311909914,2022,107.0,Valor
Afuá,dados_afua__idade_mediana,Idade Mediana,dados_afua,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1525240142060819,2000,17.0,Valor
Afuá,dados_afua__idade_mediana,Idade Mediana,dados_afua,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1525240142060819,2010,21.0,Valor
Afuá,dados_afua__idade_mediana,Idade Mediana,dados_afua,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1525240142060819,2022,26.0,Valor
Afuá,dados_afua__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_afua,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.78153155146554,2000,4.2,Valor
Afuá,dados_afua__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_afua,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.78153155146554,2010,7.1,Valor
Afuá,dados_afua__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_afua,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.78153155146554,2022,21.2,Valor
Afuá,dados_afua__populacao_parda,População Parda,dados_afua,Grupo 2 — 3 censos,3,relu,adam,True,1.233867803140465,2000,24.12,Valor
