municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Alenquer,dados_alenquer__populacao_total,População Total,dados_alenquer,Grupo 1 — 4 censos,4,relu,sgd,True,5.207865689953142,1991,46.128,Valor
Alenquer,dados_alenquer__populacao_total,População Total,dados_alenquer,Grupo 1 — 4 censos,4,relu,sgd,True,5.207865689953142,2000,49.333,Valor
Alenquer,dados_alenquer__populacao_total,População Total,dados_alenquer,Grupo 1 — 4 censos,4,relu,sgd,True,5.207865689953142,2010,52.626,Valor
Alenquer,dados_alenquer__populacao_total,População Total,dados_alenquer,Grupo 1 — 4 censos,4,relu,sgd,True,5.207865689953142,2022,69.377,Valor
Alenquer,dados_alenquer__populacao_urbana,População Urbana,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.795383507121226,2000,26.82,Valor
Alenquer,dados_alenquer__populacao_urbana,População Urbana,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.795383507121226,2010,31.24,Valor
Alenquer,dados_alenquer__populacao_urbana,População Urbana,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.795383507121226,2022,41.82,Valor
Alenquer,dados_alenquer__populacao_rural,População Rural,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,3.7018144089959257,2000,22.513,Valor
Alenquer,dados_alenquer__populacao_rural,População Rural,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,3.7018144089959257,2010,21.386,Valor
Alenquer,dados_alenquer__populacao_rural,População Rural,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,3.7018144089959257,2022,27.557,Valor
Alenquer,dados_alenquer__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_alenquer,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,3.12,Valor
Alenquer,dados_alenquer__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_alenquer,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,7.84,Valor
Alenquer,dados_alenquer__populacao_de_mulheres,População de Mulheres,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.528786221378745,2000,24.21,Valor
Alenquer,dados_alenquer__populacao_de_mulheres,População de Mulheres,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.528786221378745,2010,25.82,Valor
Alenquer,dados_alenquer__populacao_de_mulheres,População de Mulheres,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.528786221378745,2022,34.21,Valor
Alenquer,dados_alenquer__populacao_de_homens,População de Homens,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.456395889219806,2000,25.123,Valor
Alenquer,dados_alenquer__populacao_de_homens,População de Homens,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.456395889219806,2010,26.806,Valor
Alenquer,dados_alenquer__populacao_de_homens,População de Homens,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.456395889219806,2022,35.167,Valor
Alenquer,dados_alenquer__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5277854600017852,2000,103.8,Valor
Alenquer,dados_alenquer__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5277854600017852,2010,103.8,Valor
Alenquer,dados_alenquer__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5277854600017852,2022,102.8,Valor
Alenquer,dados_alenquer__idade_mediana,Idade Mediana,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2000,20.0,Valor
Alenquer,dados_alenquer__idade_mediana,Idade Mediana,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2010,23.0,Valor
Alenquer,dados_alenquer__idade_mediana,Idade Mediana,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2022,28.0,Valor
Alenquer,dados_alenquer__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.30660572454428,2000,7.8,Valor
Alenquer,dados_alenquer__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.30660572454428,2010,12.4,Valor
Alenquer,dados_alenquer__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.30660572454428,2022,26.8,Valor
Alenquer,dados_alenquer__populacao_parda,População Parda,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.901311922003778,2000,36.21,Valor
Alenquer,dados_alenquer__populacao_parda,População Parda,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.901311922003778,2010,40.82,Valor
Alenquer,dados_alenquer__populacao_parda,População Parda,dados_alenquer,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.901311922003778,2022,54.21,Valor
Alenquer,dados_alenquer__populacao_branca,População Branca,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5613899234475982,2000,8.41,Valor
Alenquer,dados_alenquer__populacao_branca,População Branca,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5613899234475982,2010,7.82,Valor
Alenquer,dados_alenquer__populacao_branca,População Branca,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5613899234475982,2022,8.92,Valor
Alenquer,dados_alenquer__populacao_preta,População Preta,dados_alenquer,Grupo 2 — 3 censos,3,relu,sgd,True,0.7312974887024213,2000,2.84,Valor
Alenquer,dados_alenquer__populacao_preta,População Preta,dados_alenquer,Grupo 2 — 3 censos,3,relu,sgd,True,0.7312974887024213,2010,3.12,Valor
Alenquer,dados_alenquer__populacao_preta,População Preta,dados_alenquer,Grupo 2 — 3 censos,3,relu,sgd,True,0.7312974887024213,2022,4.82,Valor
Alenquer,dados_alenquer__populacao_amarela,População Amarela,dados_alenquer,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504756938490325,2000,180.0,Valor
Alenquer,dados_alenquer__populacao_amarela,População Amarela,dados_alenquer,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504756938490325,2010,160.0,Valor
Alenquer,dados_alenquer__populacao_amarela,População Amarela,dados_alenquer,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504756938490325,2022,140.0,Valor
Alenquer,dados_alenquer__populacao_indigena,População Indígena,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,473.58347890514915,2000,1.693,Valor
Alenquer,dados_alenquer__populacao_indigena,População Indígena,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,473.58347890514915,2010,706.0,Valor
Alenquer,dados_alenquer__populacao_indigena,População Indígena,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,473.58347890514915,2022,1.287,Valor
Alenquer,dados_alenquer__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,122.12051387269985,2000,184.2,Valor
Alenquer,dados_alenquer__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,122.12051387269985,2010,382.1,Valor
Alenquer,dados_alenquer__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,122.12051387269985,2022,780.0,Valor
Alenquer,dados_alenquer__apenas_1_trabalho,Apenas 1 trabalho,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,1.4197811682623087,2000,96.1,Valor
Alenquer,dados_alenquer__apenas_1_trabalho,Apenas 1 trabalho,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,1.4197811682623087,2010,96.4,Valor
Alenquer,dados_alenquer__apenas_1_trabalho,Apenas 1 trabalho,dados_alenquer,Grupo 2 — 3 censos,3,logistic,sgd,True,1.4197811682623087,2022,94.1,Valor
Alenquer,dados_alenquer__2_trabalhos,2 trabalhos,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,1.1123659976134737,2000,3.5,Valor
Alenquer,dados_alenquer__2_trabalhos,2 trabalhos,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,1.1123659976134737,2010,3.2,Valor
Alenquer,dados_alenquer__2_trabalhos,2 trabalhos,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,1.1123659976134737,2022,5.1,Valor
Alenquer,dados_alenquer__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,0.161033199897907,2000,0.4,Valor
Alenquer,dados_alenquer__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,0.161033199897907,2010,0.4,Valor
Alenquer,dados_alenquer__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_alenquer,Grupo 2 — 3 censos,3,tanh,adam,True,0.161033199897907,2022,0.8,Valor
Alenquer,dados_alenquer__setor_privado,Setor privado,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,0.8227526805912456,2000,5.82,Valor
Alenquer,dados_alenquer__setor_privado,Setor privado,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,0.8227526805912456,2010,9.42,Valor
Alenquer,dados_alenquer__setor_privado,Setor privado,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,0.8227526805912456,2022,14.82,Valor
Alenquer,dados_alenquer__conta_propria,Conta própria,dados_alenquer,Grupo 2 — 3 censos,3,identity,adam,True,0.37957797412960126,2000,7.41,Valor
