municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Altamira,dados_altamira__populacao_total,População Total,dados_altamira,Grupo 1 — 4 censos,4,relu,lbfgs,True,6.7403080447253565,1991,78.89,Valor
Altamira,dados_altamira__populacao_total,População Total,dados_altamira,Grupo 1 — 4 censos,4,relu,lbfgs,True,6.7403080447253565,2000,77.439,Valor
Altamira,dados_altamira__populacao_total,População Total,dados_altamira,Grupo 1 — 4 censos,4,relu,lbfgs,True,6.7403080447253565,2010,99.075,Valor
Altamira,dados_altamira__populacao_total,População Total,dados_altamira,Grupo 1 — 4 censos,4,relu,lbfgs,True,6.7403080447253565,2022,126.279,Valor
Altamira,dados_altamira__populacao_urbana,População Urbana,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.288173616265207,2000,62.41,Valor
Altamira,dados_altamira__populacao_urbana,População Urbana,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.288173616265207,2010,84.092,Valor
Altamira,dados_altamira__populacao_urbana,População Urbana,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.288173616265207,2022,108.41,Valor
Altamira,dados_altamira__populacao_rural,População Rural,dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,1.450826403616544,2000,15.029,Valor
Altamira,dados_altamira__populacao_rural,População Rural,dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,1.450826403616544,2010,14.983,Valor
Altamira,dados_altamira__populacao_rural,População Rural,dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,1.450826403616544,2022,17.869,Valor
Altamira,dados_altamira__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_altamira,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,6.84,Valor
Altamira,dados_altamira__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_altamira,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,16.42,Valor
Altamira,dados_altamira__populacao_de_mulheres,População de Mulheres,dados_altamira,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09913663692744024,2000,37.82,Valor
Altamira,dados_altamira__populacao_de_mulheres,População de Mulheres,dados_altamira,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09913663692744024,2010,49.12,Valor
Altamira,dados_altamira__populacao_de_mulheres,População de Mulheres,dados_altamira,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09913663692744024,2022,62.81,Valor
Altamira,dados_altamira__populacao_de_homens,População de Homens,dados_altamira,Grupo 2 — 3 censos,3,identity,sgd,True,0.8370529589702352,2000,39.619,Valor
Altamira,dados_altamira__populacao_de_homens,População de Homens,dados_altamira,Grupo 2 — 3 censos,3,identity,sgd,True,0.8370529589702352,2010,49.955,Valor
Altamira,dados_altamira__populacao_de_homens,População de Homens,dados_altamira,Grupo 2 — 3 censos,3,identity,sgd,True,0.8370529589702352,2022,63.469,Valor
Altamira,dados_altamira__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,1.317029567990441,2000,104.8,Valor
Altamira,dados_altamira__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,1.317029567990441,2010,101.7,Valor
Altamira,dados_altamira__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,1.317029567990441,2022,101.0,Valor
Altamira,dados_altamira__idade_mediana,Idade Mediana,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2000,21.0,Valor
Altamira,dados_altamira__idade_mediana,Idade Mediana,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2010,24.0,Valor
Altamira,dados_altamira__idade_mediana,Idade Mediana,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2022,30.0,Valor
Altamira,dados_altamira__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_altamira,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.066428161003768,2000,10.8,Valor
Altamira,dados_altamira__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_altamira,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.066428161003768,2010,15.4,Valor
Altamira,dados_altamira__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_altamira,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.066428161003768,2022,29.2,Valor
Altamira,dados_altamira__populacao_parda,População Parda,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.23306093667325456,2000,52.41,Valor
Altamira,dados_altamira__populacao_parda,População Parda,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.23306093667325456,2010,68.92,Valor
Altamira,dados_altamira__populacao_parda,População Parda,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.23306093667325456,2022,88.42,Valor
Altamira,dados_altamira__populacao_branca,População Branca,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.3065806282331434,2000,18.24,Valor
Altamira,dados_altamira__populacao_branca,População Branca,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.3065806282331434,2010,21.41,Valor
Altamira,dados_altamira__populacao_branca,População Branca,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.3065806282331434,2022,24.81,Valor
Altamira,dados_altamira__populacao_preta,População Preta,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.07556613714170031,2000,5.12,Valor
Altamira,dados_altamira__populacao_preta,População Preta,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.07556613714170031,2010,7.12,Valor
Altamira,dados_altamira__populacao_preta,População Preta,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.07556613714170031,2022,9.42,Valor
Altamira,dados_altamira__populacao_amarela,População Amarela,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,449.7897136624303,2000,240.0,Valor
Altamira,dados_altamira__populacao_amarela,População Amarela,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,449.7897136624303,2010,980.0,Valor
Altamira,dados_altamira__populacao_amarela,População Amarela,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,449.7897136624303,2022,380.0,Valor
Altamira,dados_altamira__populacao_indigena,População Indígena,dados_altamira,Grupo 2 — 3 censos,3,relu,sgd,True,0.7269095316195041,2000,1.429,Valor
Altamira,dados_altamira__populacao_indigena,População Indígena,dados_altamira,Grupo 2 — 3 censos,3,relu,sgd,True,0.7269095316195041,2010,1.643,Valor
Altamira,dados_altamira__populacao_indigena,População Indígena,dados_altamira,Grupo 2 — 3 censos,3,relu,sgd,True,0.7269095316195041,2022,3.249,Valor
Altamira,dados_altamira__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_altamira,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2000,284.5,Valor
Altamira,dados_altamira__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_altamira,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,542.1,Valor
Altamira,dados_altamira__apenas_1_trabalho,Apenas 1 trabalho,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2546921449537176,2000,94.8,Valor
Altamira,dados_altamira__apenas_1_trabalho,Apenas 1 trabalho,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2546921449537176,2010,95.4,Valor
Altamira,dados_altamira__apenas_1_trabalho,Apenas 1 trabalho,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2546921449537176,2022,93.2,Valor
Altamira,dados_altamira__2_trabalhos,2 trabalhos,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1451588603880334,2000,4.6,Valor
Altamira,dados_altamira__2_trabalhos,2 trabalhos,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1451588603880334,2010,4.0,Valor
Altamira,dados_altamira__2_trabalhos,2 trabalhos,dados_altamira,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1451588603880334,2022,6.0,Valor
Altamira,dados_altamira__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,0.062348953958867005,2000,0.6,Valor
Altamira,dados_altamira__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,0.062348953958867005,2010,0.6,Valor
Altamira,dados_altamira__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_altamira,Grupo 2 — 3 censos,3,tanh,adam,True,0.062348953958867005,2022,0.8,Valor
Altamira,dados_altamira__setor_privado,Setor privado,dados_altamira,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.4057148137914404,2000,11.82,Valor
Altamira,dados_altamira__setor_privado,Setor privado,dados_altamira,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.4057148137914404,2010,20.41,Valor
Altamira,dados_altamira__setor_privado,Setor privado,dados_altamira,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.4057148137914404,2022,31.25,Valor
Altamira,dados_altamira__conta_propria,Conta própria,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.0562701057904178,2000,8.42,Valor
Altamira,dados_altamira__conta_propria,Conta própria,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.0562701057904178,2010,13.82,Valor
Altamira,dados_altamira__conta_propria,Conta própria,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,1.0562701057904178,2022,18.91,Valor
Altamira,dados_altamira__setor_publico,Setor público,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.48924332869589565,2000,3.82,Valor
Altamira,dados_altamira__setor_publico,Setor público,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.48924332869589565,2010,6.84,Valor
Altamira,dados_altamira__setor_publico,Setor público,dados_altamira,Grupo 2 — 3 censos,3,identity,adam,True,0.48924332869589565,2022,9.82,Valor
