municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Anajás,dados_anajas__populacao_total,População Total,dados_anajas,Grupo 1 — 4 censos,4,identity,adam,True,1.3280498391053142,1991,18.21,Valor
Anajás,dados_anajas__populacao_total,População Total,dados_anajas,Grupo 1 — 4 censos,4,identity,adam,True,1.3280498391053142,2000,22.842,Valor
Anajás,dados_anajas__populacao_total,População Total,dados_anajas,Grupo 1 — 4 censos,4,identity,adam,True,1.3280498391053142,2010,24.759,Valor
Anajás,dados_anajas__populacao_total,População Total,dados_anajas,Grupo 1 — 4 censos,4,identity,adam,True,1.3280498391053142,2022,28.012,Valor
Anajás,dados_anajas__populacao_urbana,População Urbana,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.6689861208074946,2000,7.42,Valor
Anajás,dados_anajas__populacao_urbana,População Urbana,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.6689861208074946,2010,9.82,Valor
Anajás,dados_anajas__populacao_urbana,População Urbana,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.6689861208074946,2022,11.82,Valor
Anajás,dados_anajas__populacao_rural,População Rural,dados_anajas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6815861226645895,2000,15.422,Valor
Anajás,dados_anajas__populacao_rural,População Rural,dados_anajas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6815861226645895,2010,14.939,Valor
Anajás,dados_anajas__populacao_rural,População Rural,dados_anajas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6815861226645895,2022,16.192,Valor
Anajás,dados_anajas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_anajas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,320.0,Valor
Anajás,dados_anajas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_anajas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.12,Valor
Anajás,dados_anajas__populacao_de_mulheres,População de Mulheres,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.18901620283762988,2000,10.82,Valor
Anajás,dados_anajas__populacao_de_mulheres,População de Mulheres,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.18901620283762988,2010,11.98,Valor
Anajás,dados_anajas__populacao_de_mulheres,População de Mulheres,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.18901620283762988,2022,13.62,Valor
Anajás,dados_anajas__populacao_de_homens,População de Homens,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.5363506528398906,2000,12.022,Valor
Anajás,dados_anajas__populacao_de_homens,População de Homens,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.5363506528398906,2010,12.779,Valor
Anajás,dados_anajas__populacao_de_homens,População de Homens,dados_anajas,Grupo 2 — 3 censos,3,identity,adam,True,0.5363506528398906,2022,14.392,Valor
