municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Anapu,dados_anapu__populacao_total,População Total,dados_anapu,Grupo 2 — 3 censos,3,identity,adam,True,1.62102865420442,2000,9.352,Valor
Anapu,dados_anapu__populacao_total,População Total,dados_anapu,Grupo 2 — 3 censos,3,identity,adam,True,1.62102865420442,2010,20.543,Valor
Anapu,dados_anapu__populacao_total,População Total,dados_anapu,Grupo 2 — 3 censos,3,identity,adam,True,1.62102865420442,2022,31.838,Valor
Anapu,dados_anapu__populacao_urbana,População Urbana,dados_anapu,Grupo 2 — 3 censos,3,identity,sgd,True,0.4843507906661282,2000,3.12,Valor
Anapu,dados_anapu__populacao_urbana,População Urbana,dados_anapu,Grupo 2 — 3 censos,3,identity,sgd,True,0.4843507906661282,2010,8.42,Valor
Anapu,dados_anapu__populacao_urbana,População Urbana,dados_anapu,Grupo 2 — 3 censos,3,identity,sgd,True,0.4843507906661282,2022,15.42,Valor
Anapu,dados_anapu__populacao_rural,População Rural,dados_anapu,Grupo 2 — 3 censos,3,relu,adam,True,1.6997844366554327,2000,6.232,Valor
Anapu,dados_anapu__populacao_rural,População Rural,dados_anapu,Grupo 2 — 3 censos,3,relu,adam,True,1.6997844366554327,2010,12.123,Valor
Anapu,dados_anapu__populacao_rural,População Rural,dados_anapu,Grupo 2 — 3 censos,3,relu,adam,True,1.6997844366554327,2022,16.418,Valor
Anapu,dados_anapu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_anapu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,280.0,Valor
Anapu,dados_anapu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_anapu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.12,Valor
Anapu,dados_anapu__populacao_de_mulheres,População de Mulheres,dados_anapu,Grupo 2 — 3 censos,3,identity,adam,True,0.8720881797283303,2000,4.28,Valor
Anapu,dados_anapu__populacao_de_mulheres,População de Mulheres,dados_anapu,Grupo 2 — 3 censos,3,identity,adam,True,0.8720881797283303,2010,9.82,Valor
