municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Augusto_Corrêa,dados_augusto_correa__populacao_total,População Total,dados_augusto_correa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.048198180438412,1991,31.42,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_total,População Total,dados_augusto_correa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.048198180438412,2000,36.425,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_total,População Total,dados_augusto_correa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.048198180438412,2010,40.497,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_total,População Total,dados_augusto_correa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.048198180438412,2022,43.199,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_urbana,População Urbana,dados_augusto_correa,Grupo 2 — 3 censos,3,relu,adam,True,1.2111069204411642,2000,14.82,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_urbana,População Urbana,dados_augusto_correa,Grupo 2 — 3 censos,3,relu,adam,True,1.2111069204411642,2010,18.42,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_urbana,População Urbana,dados_augusto_correa,Grupo 2 — 3 censos,3,relu,adam,True,1.2111069204411642,2022,20.12,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_rural,População Rural,dados_augusto_correa,Grupo 2 — 3 censos,3,identity,adam,True,0.33158542119276646,2000,21.605,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_rural,População Rural,dados_augusto_correa,Grupo 2 — 3 censos,3,identity,adam,True,0.33158542119276646,2010,22.077,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_rural,População Rural,dados_augusto_correa,Grupo 2 — 3 censos,3,identity,adam,True,0.33158542119276646,2022,23.079,Valor
Augusto_Corrêa,dados_augusto_correa__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_augusto_correa,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,720.0,Valor
Augusto_Corrêa,dados_augusto_correa__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_augusto_correa,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.94,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_de_mulheres,População de Mulheres,dados_augusto_correa,Grupo 2 — 3 censos,3,relu,adam,True,0.5788406238250339,2000,17.82,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_de_mulheres,População de Mulheres,dados_augusto_correa,Grupo 2 — 3 censos,3,relu,adam,True,0.5788406238250339,2010,19.82,Valor
Augusto_Corrêa,dados_augusto_correa__populacao_de_mulheres,População de Mulheres,dados_augusto_correa,Grupo 2 — 3 censos,3,relu,adam,True,0.5788406238250339,2022,21.21,Valor
