municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Aveiro,dados_aveiro__populacao_total,População Total,dados_aveiro,Grupo 1 — 4 censos,4,identity,adam,True,0.5409036016615039,1991,14.12,Valor
Aveiro,dados_aveiro__populacao_total,População Total,dados_aveiro,Grupo 1 — 4 censos,4,identity,adam,True,0.5409036016615039,2000,15.82,Valor
Aveiro,dados_aveiro__populacao_total,População Total,dados_aveiro,Grupo 1 — 4 censos,4,identity,adam,True,0.5409036016615039,2010,15.849,Valor
Aveiro,dados_aveiro__populacao_total,População Total,dados_aveiro,Grupo 1 — 4 censos,4,identity,adam,True,0.5409036016615039,2022,17.181,Valor
Aveiro,dados_aveiro__populacao_urbana,População Urbana,dados_aveiro,Grupo 2 — 3 censos,3,relu,adam,True,0.38236298786259865,2000,2.84,Valor
Aveiro,dados_aveiro__populacao_urbana,População Urbana,dados_aveiro,Grupo 2 — 3 censos,3,relu,adam,True,0.38236298786259865,2010,3.98,Valor
Aveiro,dados_aveiro__populacao_urbana,População Urbana,dados_aveiro,Grupo 2 — 3 censos,3,relu,adam,True,0.38236298786259865,2022,4.52,Valor
Aveiro,dados_aveiro__populacao_rural,População Rural,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6334144982166414,2000,12.98,Valor
Aveiro,dados_aveiro__populacao_rural,População Rural,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6334144982166414,2010,11.869,Valor
Aveiro,dados_aveiro__populacao_rural,População Rural,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6334144982166414,2022,12.661,Valor
Aveiro,dados_aveiro__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_aveiro,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Aveiro,dados_aveiro__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_aveiro,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Aveiro,dados_aveiro__populacao_de_mulheres,População de Mulheres,dados_aveiro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.2673646383321566,2000,7.48,Valor
Aveiro,dados_aveiro__populacao_de_mulheres,População de Mulheres,dados_aveiro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.2673646383321566,2010,7.62,Valor
Aveiro,dados_aveiro__populacao_de_mulheres,População de Mulheres,dados_aveiro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.2673646383321566,2022,8.28,Valor
Aveiro,dados_aveiro__populacao_de_homens,População de Homens,dados_aveiro,Grupo 2 — 3 censos,3,tanh,adam,True,0.39627936099643435,2000,8.34,Valor
Aveiro,dados_aveiro__populacao_de_homens,População de Homens,dados_aveiro,Grupo 2 — 3 censos,3,tanh,adam,True,0.39627936099643435,2010,8.229,Valor
Aveiro,dados_aveiro__populacao_de_homens,População de Homens,dados_aveiro,Grupo 2 — 3 censos,3,tanh,adam,True,0.39627936099643435,2022,8.901,Valor
Aveiro,dados_aveiro__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_aveiro,Grupo 2 — 3 censos,3,tanh,adam,True,1.603590685667707,2000,111.5,Valor
Aveiro,dados_aveiro__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_aveiro,Grupo 2 — 3 censos,3,tanh,adam,True,1.603590685667707,2010,108.0,Valor
Aveiro,dados_aveiro__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_aveiro,Grupo 2 — 3 censos,3,tanh,adam,True,1.603590685667707,2022,107.5,Valor
Aveiro,dados_aveiro__idade_mediana,Idade Mediana,dados_aveiro,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,18.0,Valor
Aveiro,dados_aveiro__idade_mediana,Idade Mediana,dados_aveiro,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,21.0,Valor
Aveiro,dados_aveiro__idade_mediana,Idade Mediana,dados_aveiro,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,28.0,Valor
Aveiro,dados_aveiro__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_aveiro,Grupo 2 — 3 censos,3,relu,sgd,True,7.09389241720054,2000,5.4,Valor
Aveiro,dados_aveiro__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_aveiro,Grupo 2 — 3 censos,3,relu,sgd,True,7.09389241720054,2010,8.2,Valor
Aveiro,dados_aveiro__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_aveiro,Grupo 2 — 3 censos,3,relu,sgd,True,7.09389241720054,2022,24.8,Valor
Aveiro,dados_aveiro__populacao_parda,População Parda,dados_aveiro,Grupo 2 — 3 censos,3,identity,adam,True,0.31673652460178897,2000,12.12,Valor
Aveiro,dados_aveiro__populacao_parda,População Parda,dados_aveiro,Grupo 2 — 3 censos,3,identity,adam,True,0.31673652460178897,2010,12.84,Valor
Aveiro,dados_aveiro__populacao_parda,População Parda,dados_aveiro,Grupo 2 — 3 censos,3,identity,adam,True,0.31673652460178897,2022,14.12,Valor
Aveiro,dados_aveiro__populacao_branca,População Branca,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.19301903550537855,2000,2.42,Valor
Aveiro,dados_aveiro__populacao_branca,População Branca,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.19301903550537855,2010,2.08,Valor
Aveiro,dados_aveiro__populacao_branca,População Branca,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.19301903550537855,2022,2.18,Valor
Aveiro,dados_aveiro__populacao_preta,População Preta,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,80.65075575113853,2000,680.0,Valor
Aveiro,dados_aveiro__populacao_preta,População Preta,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,80.65075575113853,2010,780.0,Valor
Aveiro,dados_aveiro__populacao_preta,População Preta,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,80.65075575113853,2022,640.0,Valor
Aveiro,dados_aveiro__populacao_amarela,População Amarela,dados_aveiro,Grupo 2 — 3 censos,3,relu,adam,True,4.592289638100827,2000,32.0,Valor
Aveiro,dados_aveiro__populacao_amarela,População Amarela,dados_aveiro,Grupo 2 — 3 censos,3,relu,adam,True,4.592289638100827,2010,18.0,Valor
Aveiro,dados_aveiro__populacao_amarela,População Amarela,dados_aveiro,Grupo 2 — 3 censos,3,relu,adam,True,4.592289638100827,2022,11.0,Valor
Aveiro,dados_aveiro__populacao_indigena,População Indígena,dados_aveiro,Grupo 2 — 3 censos,3,logistic,sgd,True,258.09542065944754,2000,568.0,Valor
