municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Bannach,dados_bannach__populacao_total,População Total,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.10156046229565623,2000,4.32,Valor
Bannach,dados_bannach__populacao_total,População Total,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.10156046229565623,2010,3.951,Valor
Bannach,dados_bannach__populacao_total,População Total,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.10156046229565623,2022,3.693,Valor
Bannach,dados_bannach__populacao_urbana,População Urbana,dados_bannach,Grupo 2 — 3 censos,3,identity,adam,True,0.05622451860289875,2000,1.82,Valor
Bannach,dados_bannach__populacao_urbana,População Urbana,dados_bannach,Grupo 2 — 3 censos,3,identity,adam,True,0.05622451860289875,2010,2.14,Valor
Bannach,dados_bannach__populacao_urbana,População Urbana,dados_bannach,Grupo 2 — 3 censos,3,identity,adam,True,0.05622451860289875,2022,2.45,Valor
Bannach,dados_bannach__populacao_rural,População Rural,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.18629588611158523,2000,2.5,Valor
Bannach,dados_bannach__populacao_rural,População Rural,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.18629588611158523,2010,1.811,Valor
Bannach,dados_bannach__populacao_rural,População Rural,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.18629588611158523,2022,1.243,Valor
Bannach,dados_bannach__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bannach,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Bannach,dados_bannach__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bannach,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Bannach,dados_bannach__populacao_de_mulheres,População de Mulheres,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.03922470724717386,2000,1.98,Valor
Bannach,dados_bannach__populacao_de_mulheres,População de Mulheres,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.03922470724717386,2010,1.84,Valor
Bannach,dados_bannach__populacao_de_mulheres,População de Mulheres,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.03922470724717386,2022,1.76,Valor
Bannach,dados_bannach__populacao_de_homens,População de Homens,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.062335755048482065,2000,2.34,Valor
Bannach,dados_bannach__populacao_de_homens,População de Homens,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.062335755048482065,2010,2.111,Valor
Bannach,dados_bannach__populacao_de_homens,População de Homens,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,0.062335755048482065,2022,1.933,Valor
Bannach,dados_bannach__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bannach,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5338377374087125,2000,118.2,Valor
Bannach,dados_bannach__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bannach,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5338377374087125,2010,114.7,Valor
Bannach,dados_bannach__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bannach,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5338377374087125,2022,109.8,Valor
Bannach,dados_bannach__idade_mediana,Idade Mediana,dados_bannach,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2000,19.0,Valor
Bannach,dados_bannach__idade_mediana,Idade Mediana,dados_bannach,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2010,23.0,Valor
Bannach,dados_bannach__idade_mediana,Idade Mediana,dados_bannach,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2022,31.0,Valor
Bannach,dados_bannach__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bannach,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.777011812485561,2000,4.5,Valor
Bannach,dados_bannach__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bannach,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.777011812485561,2010,9.2,Valor
Bannach,dados_bannach__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bannach,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.777011812485561,2022,24.8,Valor
Bannach,dados_bannach__populacao_parda,População Parda,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,0.09905449508296164,2000,2.82,Valor
Bannach,dados_bannach__populacao_parda,População Parda,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,0.09905449508296164,2010,2.84,Valor
Bannach,dados_bannach__populacao_parda,População Parda,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,0.09905449508296164,2022,2.68,Valor
Bannach,dados_bannach__populacao_branca,População Branca,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,536.8243293997979,2000,1.12,Valor
Bannach,dados_bannach__populacao_branca,População Branca,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,536.8243293997979,2010,880.0,Valor
Bannach,dados_bannach__populacao_branca,População Branca,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,536.8243293997979,2022,740.0,Valor
Bannach,dados_bannach__populacao_preta,População Preta,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,53.28652285008667,2000,280.0,Valor
Bannach,dados_bannach__populacao_preta,População Preta,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,53.28652285008667,2010,190.0,Valor
Bannach,dados_bannach__populacao_preta,População Preta,dados_bannach,Grupo 2 — 3 censos,3,logistic,sgd,True,53.28652285008667,2022,210.0,Valor
Bannach,dados_bannach__populacao_amarela,População Amarela,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,2.7520013774964496,2000,25.0,Valor
Bannach,dados_bannach__populacao_amarela,População Amarela,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,2.7520013774964496,2010,15.0,Valor
Bannach,dados_bannach__populacao_amarela,População Amarela,dados_bannach,Grupo 2 — 3 censos,3,relu,adam,True,2.7520013774964496,2022,8.0,Valor
Bannach,dados_bannach__populacao_indigena,População Indígena,dados_bannach,Grupo 2 — 3 censos,3,relu,lbfgs,True,10.514187932420098,2000,15.0,Valor
Bannach,dados_bannach__populacao_indigena,População Indígena,dados_bannach,Grupo 2 — 3 censos,3,relu,lbfgs,True,10.514187932420098,2010,26.0,Valor
Bannach,dados_bannach__populacao_indigena,População Indígena,dados_bannach,Grupo 2 — 3 censos,3,relu,lbfgs,True,10.514187932420098,2022,55.0,Valor
