municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Barcarena,dados_barcarena__populacao_total,População Total,dados_barcarena,Grupo 1 — 4 censos,4,logistic,lbfgs,True,4.765192984060059,1991,38.24,Valor
Barcarena,dados_barcarena__populacao_total,População Total,dados_barcarena,Grupo 1 — 4 censos,4,logistic,lbfgs,True,4.765192984060059,2000,63.284,Valor
Barcarena,dados_barcarena__populacao_total,População Total,dados_barcarena,Grupo 1 — 4 censos,4,logistic,lbfgs,True,4.765192984060059,2010,99.859,Valor
Barcarena,dados_barcarena__populacao_total,População Total,dados_barcarena,Grupo 1 — 4 censos,4,logistic,lbfgs,True,4.765192984060059,2022,126.65,Valor
Barcarena,dados_barcarena__populacao_urbana,População Urbana,dados_barcarena,Grupo 2 — 3 censos,3,identity,adam,True,7.672773827989725,2000,41.25,Valor
Barcarena,dados_barcarena__populacao_urbana,População Urbana,dados_barcarena,Grupo 2 — 3 censos,3,identity,adam,True,7.672773827989725,2010,71.82,Valor
Barcarena,dados_barcarena__populacao_urbana,População Urbana,dados_barcarena,Grupo 2 — 3 censos,3,identity,adam,True,7.672773827989725,2022,98.41,Valor
Barcarena,dados_barcarena__populacao_rural,População Rural,dados_barcarena,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.2032439232507692,2000,22.034,Valor
Barcarena,dados_barcarena__populacao_rural,População Rural,dados_barcarena,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.2032439232507692,2010,28.039,Valor
Barcarena,dados_barcarena__populacao_rural,População Rural,dados_barcarena,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.2032439232507692,2022,28.24,Valor
Barcarena,dados_barcarena__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_barcarena,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,12.45,Valor
Barcarena,dados_barcarena__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_barcarena,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,26.81,Valor
Barcarena,dados_barcarena__populacao_de_mulheres,População de Mulheres,dados_barcarena,Grupo 2 — 3 censos,3,relu,adam,True,5.260930890304462,2000,30.82,Valor
Barcarena,dados_barcarena__populacao_de_mulheres,População de Mulheres,dados_barcarena,Grupo 2 — 3 censos,3,relu,adam,True,5.260930890304462,2010,49.12,Valor
Barcarena,dados_barcarena__populacao_de_mulheres,População de Mulheres,dados_barcarena,Grupo 2 — 3 censos,3,relu,adam,True,5.260930890304462,2022,63.21,Valor
Barcarena,dados_barcarena__populacao_de_homens,População de Homens,dados_barcarena,Grupo 2 — 3 censos,3,relu,adam,True,5.289159432138686,2000,32.464,Valor
Barcarena,dados_barcarena__populacao_de_homens,População de Homens,dados_barcarena,Grupo 2 — 3 censos,3,relu,adam,True,5.289159432138686,2010,50.739,Valor
Barcarena,dados_barcarena__populacao_de_homens,População de Homens,dados_barcarena,Grupo 2 — 3 censos,3,relu,adam,True,5.289159432138686,2022,63.44,Valor
Barcarena,dados_barcarena__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_barcarena,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.3813123487929886,2000,105.3,Valor
Barcarena,dados_barcarena__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_barcarena,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.3813123487929886,2010,103.3,Valor
Barcarena,dados_barcarena__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_barcarena,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.3813123487929886,2022,100.4,Valor
Barcarena,dados_barcarena__idade_mediana,Idade Mediana,dados_barcarena,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,20.0,Valor
Barcarena,dados_barcarena__idade_mediana,Idade Mediana,dados_barcarena,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,24.0,Valor
Barcarena,dados_barcarena__idade_mediana,Idade Mediana,dados_barcarena,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,30.0,Valor
Barcarena,dados_barcarena__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_barcarena,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.286474208900337,2000,9.8,Valor
