municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_total,População Total,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3669930482639859,2000,6.82,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_total,População Total,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3669930482639859,2010,7.317,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_total,População Total,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3669930482639859,2022,6.722,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_urbana,População Urbana,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.3503128536524652,2000,3.12,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_urbana,População Urbana,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.3503128536524652,2010,3.98,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_urbana,População Urbana,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.3503128536524652,2022,4.28,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_rural,População Rural,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.2440810666624431,2000,3.7,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_rural,População Rural,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.2440810666624431,2010,3.337,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_rural,População Rural,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.2440810666624431,2022,2.442,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_beijo_grande_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_beijo_grande_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1758543693594962,2000,3.24,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1758543693594962,2010,3.51,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1758543693594962,2022,3.24,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_de_homens,População de Homens,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1854944446850252,2000,3.58,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_de_homens,População de Homens,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1854944446850252,2010,3.807,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_de_homens,População de Homens,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1854944446850252,2022,3.482,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.6560413768715468,2000,110.5,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.6560413768715468,2010,108.5,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.6560413768715468,2022,107.5,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__idade_mediana,Idade Mediana,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,21.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__idade_mediana,Idade Mediana,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,25.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__idade_mediana,Idade Mediana,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,31.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.0693084813614755,2000,6.8,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.0693084813614755,2010,13.8,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.0693084813614755,2022,33.2,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_parda,População Parda,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3551687180213377,2000,4.82,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_parda,População Parda,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3551687180213377,2010,5.48,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_parda,População Parda,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3551687180213377,2022,5.08,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_branca,População Branca,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.024403805550792097,2000,1.48,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_branca,População Branca,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.024403805550792097,2010,1.32,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_branca,População Branca,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.024403805550792097,2022,1.16,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_preta,População Preta,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,26.944839726214678,2000,480.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_preta,População Preta,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,26.944839726214678,2010,480.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_preta,População Preta,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,26.944839726214678,2022,430.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_amarela,População Amarela,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,2.71329649070625,2000,30.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_amarela,População Amarela,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,2.71329649070625,2010,20.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_amarela,População Amarela,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,2.71329649070625,2022,12.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_indigena,População Indígena,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.510373862604537,2000,10.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_indigena,População Indígena,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.510373862604537,2010,17.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__populacao_indigena,População Indígena,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.510373862604537,2022,40.0,Valor
Beijo Grando do Araguaia,dados_beijo_grande_do_araguaia__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_beijo_grande_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,210.2282662861239,2000,130.4,Valor
