municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_total,População Total,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,1.3002377132795566,2000,11.42,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_total,População Total,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,1.3002377132795566,2010,15.289,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_total,População Total,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,1.3002377132795566,2022,17.118,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_urbana,População Urbana,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,identity,adam,True,0.18047173206082956,2000,4.82,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_urbana,População Urbana,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,identity,adam,True,0.18047173206082956,2010,7.21,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_urbana,População Urbana,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,identity,adam,True,0.18047173206082956,2022,9.84,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_rural,População Rural,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7634424987425398,2000,6.6,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_rural,População Rural,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7634424987425398,2010,8.079,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_rural,População Rural,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7634424987425398,2022,7.278,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bom_jesus_do_tocantins,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bom_jesus_do_tocantins,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_de_mulheres,População de Mulheres,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,0.6563025581679133,2000,5.42,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_de_mulheres,População de Mulheres,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,0.6563025581679133,2010,7.38,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_de_mulheres,População de Mulheres,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,0.6563025581679133,2022,8.31,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_de_homens,População de Homens,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,0.6439351551116405,2000,6.0,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_de_homens,População de Homens,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,0.6439351551116405,2010,7.909,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__populacao_de_homens,População de Homens,dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,relu,adam,True,0.6439351551116405,2022,8.808,Valor
Bom Jesus do Tocantins,dados_bom_jesus_do_tocantins__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bom_jesus_do_tocantins,Grupo 2 — 3 censos,3,tanh,sgd,True,1.4343270387092844,2000,110.7,Valor
