municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Bonito,dados_bonito__populacao_total,População Total,dados_bonito,Grupo 1 — 4 censos,4,tanh,sgd,True,1.0397397904943495,1991,10.84,Valor
Bonito,dados_bonito__populacao_total,População Total,dados_bonito,Grupo 1 — 4 censos,4,tanh,sgd,True,1.0397397904943495,2000,11.28,Valor
Bonito,dados_bonito__populacao_total,População Total,dados_bonito,Grupo 1 — 4 censos,4,tanh,sgd,True,1.0397397904943495,2010,13.63,Valor
Bonito,dados_bonito__populacao_total,População Total,dados_bonito,Grupo 1 — 4 censos,4,tanh,sgd,True,1.0397397904943495,2022,12.622,Valor
Bonito,dados_bonito__populacao_urbana,População Urbana,dados_bonito,Grupo 2 — 3 censos,3,logistic,adam,True,0.7005696000349128,2000,4.82,Valor
Bonito,dados_bonito__populacao_urbana,População Urbana,dados_bonito,Grupo 2 — 3 censos,3,logistic,adam,True,0.7005696000349128,2010,6.42,Valor
Bonito,dados_bonito__populacao_urbana,População Urbana,dados_bonito,Grupo 2 — 3 censos,3,logistic,adam,True,0.7005696000349128,2022,6.88,Valor
Bonito,dados_bonito__populacao_rural,População Rural,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7452142481773306,2000,6.46,Valor
Bonito,dados_bonito__populacao_rural,População Rural,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7452142481773306,2010,7.21,Valor
Bonito,dados_bonito__populacao_rural,População Rural,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7452142481773306,2022,5.742,Valor
Bonito,dados_bonito__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bonito,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Bonito,dados_bonito__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bonito,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Bonito,dados_bonito__populacao_de_mulheres,População de Mulheres,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.641977206512775,2000,5.48,Valor
Bonito,dados_bonito__populacao_de_mulheres,População de Mulheres,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.641977206512775,2010,6.68,Valor
Bonito,dados_bonito__populacao_de_mulheres,População de Mulheres,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.641977206512775,2022,6.21,Valor
Bonito,dados_bonito__populacao_de_homens,População de Homens,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5866494457068262,2000,5.8,Valor
Bonito,dados_bonito__populacao_de_homens,População de Homens,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5866494457068262,2010,6.95,Valor
Bonito,dados_bonito__populacao_de_homens,População de Homens,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5866494457068262,2022,6.412,Valor
Bonito,dados_bonito__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bonito,Grupo 2 — 3 censos,3,relu,adam,True,0.7315115498757621,2000,105.8,Valor
Bonito,dados_bonito__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bonito,Grupo 2 — 3 censos,3,relu,adam,True,0.7315115498757621,2010,104.0,Valor
Bonito,dados_bonito__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bonito,Grupo 2 — 3 censos,3,relu,adam,True,0.7315115498757621,2022,103.3,Valor
Bonito,dados_bonito__idade_mediana,Idade Mediana,dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2000,22.0,Valor
Bonito,dados_bonito__idade_mediana,Idade Mediana,dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2010,25.0,Valor
Bonito,dados_bonito__idade_mediana,Idade Mediana,dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2022,33.0,Valor
Bonito,dados_bonito__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.2389090214659575,2000,12.1,Valor
Bonito,dados_bonito__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.2389090214659575,2010,18.2,Valor
Bonito,dados_bonito__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.2389090214659575,2022,37.8,Valor
Bonito,dados_bonito__populacao_parda,População Parda,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1365138397529293,2000,8.12,Valor
Bonito,dados_bonito__populacao_parda,População Parda,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1365138397529293,2010,10.14,Valor
Bonito,dados_bonito__populacao_parda,População Parda,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1365138397529293,2022,9.52,Valor
Bonito,dados_bonito__populacao_branca,População Branca,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.194904718874922,2000,2.28,Valor
Bonito,dados_bonito__populacao_branca,População Branca,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.194904718874922,2010,2.52,Valor
Bonito,dados_bonito__populacao_branca,População Branca,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,0.194904718874922,2022,2.18,Valor
Bonito,dados_bonito__populacao_preta,População Preta,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,53.226181317854184,2000,810.0,Valor
Bonito,dados_bonito__populacao_preta,População Preta,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,53.226181317854184,2010,910.0,Valor
Bonito,dados_bonito__populacao_preta,População Preta,dados_bonito,Grupo 2 — 3 censos,3,logistic,sgd,True,53.226181317854184,2022,870.0,Valor
Bonito,dados_bonito__populacao_amarela,População Amarela,dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.468590500995679,2000,50.0,Valor
Bonito,dados_bonito__populacao_amarela,População Amarela,dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.468590500995679,2010,40.0,Valor
Bonito,dados_bonito__populacao_amarela,População Amarela,dados_bonito,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.468590500995679,2022,16.0,Valor
