municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Brasil Novo,dados_brasil_novo__populacao_total,População Total,dados_brasil_novo,Grupo 1 — 4 censos,4,identity,lbfgs,True,3.807403500350731,1991,13.916,Valor
Brasil Novo,dados_brasil_novo__populacao_total,População Total,dados_brasil_novo,Grupo 1 — 4 censos,4,identity,lbfgs,True,3.807403500350731,2000,18.665,Valor
Brasil Novo,dados_brasil_novo__populacao_total,População Total,dados_brasil_novo,Grupo 1 — 4 censos,4,identity,lbfgs,True,3.807403500350731,2010,15.69,Valor
Brasil Novo,dados_brasil_novo__populacao_total,População Total,dados_brasil_novo,Grupo 1 — 4 censos,4,identity,lbfgs,True,3.807403500350731,2022,24.786,Valor
Brasil Novo,dados_brasil_novo__populacao_urbana,População Urbana,dados_brasil_novo,Grupo 2 — 3 censos,3,relu,sgd,True,2.5049270074699312,2000,6.24,Valor
Brasil Novo,dados_brasil_novo__populacao_urbana,População Urbana,dados_brasil_novo,Grupo 2 — 3 censos,3,relu,sgd,True,2.5049270074699312,2010,7.12,Valor
Brasil Novo,dados_brasil_novo__populacao_urbana,População Urbana,dados_brasil_novo,Grupo 2 — 3 censos,3,relu,sgd,True,2.5049270074699312,2022,12.84,Valor
Brasil Novo,dados_brasil_novo__populacao_rural,População Rural,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4036143574365845,2000,12.425,Valor
Brasil Novo,dados_brasil_novo__populacao_rural,População Rural,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4036143574365845,2010,8.57,Valor
Brasil Novo,dados_brasil_novo__populacao_rural,População Rural,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4036143574365845,2022,11.946,Valor
Brasil Novo,dados_brasil_novo__populacao_de_mulheres,População de Mulheres,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5328785776775082,2000,8.84,Valor
Brasil Novo,dados_brasil_novo__populacao_de_mulheres,População de Mulheres,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5328785776775082,2010,7.48,Valor
Brasil Novo,dados_brasil_novo__populacao_de_mulheres,População de Mulheres,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5328785776775082,2022,11.92,Valor
Brasil Novo,dados_brasil_novo__populacao_de_homens,População de Homens,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5928788641914693,2000,9.825,Valor
Brasil Novo,dados_brasil_novo__populacao_de_homens,População de Homens,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5928788641914693,2010,8.21,Valor
Brasil Novo,dados_brasil_novo__populacao_de_homens,População de Homens,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5928788641914693,2022,12.866,Valor
Brasil Novo,dados_brasil_novo__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_brasil_novo,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.25929235868507305,2000,111.1,Valor
Brasil Novo,dados_brasil_novo__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_brasil_novo,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.25929235868507305,2010,109.8,Valor
Brasil Novo,dados_brasil_novo__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_brasil_novo,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.25929235868507305,2022,107.9,Valor
Brasil Novo,dados_brasil_novo__idade_mediana,Idade Mediana,dados_brasil_novo,Grupo 2 — 3 censos,3,identity,adam,True,0.9115353596010346,2000,19.0,Valor
Brasil Novo,dados_brasil_novo__idade_mediana,Idade Mediana,dados_brasil_novo,Grupo 2 — 3 censos,3,identity,adam,True,0.9115353596010346,2010,25.0,Valor
Brasil Novo,dados_brasil_novo__idade_mediana,Idade Mediana,dados_brasil_novo,Grupo 2 — 3 censos,3,identity,adam,True,0.9115353596010346,2022,31.0,Valor
Brasil Novo,dados_brasil_novo__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_brasil_novo,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.249877173481525,2000,3.8,Valor
Brasil Novo,dados_brasil_novo__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_brasil_novo,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.249877173481525,2010,7.2,Valor
Brasil Novo,dados_brasil_novo__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_brasil_novo,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.249877173481525,2022,22.8,Valor
Brasil Novo,dados_brasil_novo__populacao_parda,População Parda,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,adam,True,3.5847853030334327,2000,10.82,Valor
Brasil Novo,dados_brasil_novo__populacao_parda,População Parda,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,adam,True,3.5847853030334327,2010,10.24,Valor
Brasil Novo,dados_brasil_novo__populacao_parda,População Parda,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,adam,True,3.5847853030334327,2022,16.82,Valor
Brasil Novo,dados_brasil_novo__populacao_branca,População Branca,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3237448845256006,2000,6.42,Valor
Brasil Novo,dados_brasil_novo__populacao_branca,População Branca,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3237448845256006,2010,4.21,Valor
Brasil Novo,dados_brasil_novo__populacao_branca,População Branca,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3237448845256006,2022,5.98,Valor
Brasil Novo,dados_brasil_novo__populacao_preta,População Preta,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,adam,True,539.8731841208805,2000,980.0,Valor
Brasil Novo,dados_brasil_novo__populacao_preta,População Preta,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,adam,True,539.8731841208805,2010,1.02,Valor
Brasil Novo,dados_brasil_novo__populacao_preta,População Preta,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,adam,True,539.8731841208805,2022,1.74,Valor
Brasil Novo,dados_brasil_novo__populacao_amarela,População Amarela,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,sgd,True,17.98546096214583,2000,82.0,Valor
Brasil Novo,dados_brasil_novo__populacao_amarela,População Amarela,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,sgd,True,17.98546096214583,2010,38.0,Valor
Brasil Novo,dados_brasil_novo__populacao_amarela,População Amarela,dados_brasil_novo,Grupo 2 — 3 censos,3,tanh,sgd,True,17.98546096214583,2022,24.0,Valor
Brasil Novo,dados_brasil_novo__populacao_indigena,População Indígena,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,107.24044187058293,2000,363.0,Valor
Brasil Novo,dados_brasil_novo__populacao_indigena,População Indígena,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,107.24044187058293,2010,182.0,Valor
Brasil Novo,dados_brasil_novo__populacao_indigena,População Indígena,dados_brasil_novo,Grupo 2 — 3 censos,3,logistic,sgd,True,107.24044187058293,2022,222.0,Valor
Brasil Novo,dados_brasil_novo__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_brasil_novo,Grupo 2 — 3 censos,3,identity,adam,True,130.58216020380485,2000,112.2,Valor
Brasil Novo,dados_brasil_novo__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_brasil_novo,Grupo 2 — 3 censos,3,identity,adam,True,130.58216020380485,2010,310.5,Valor
Brasil Novo,dados_brasil_novo__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_brasil_novo,Grupo 2 — 3 censos,3,identity,adam,True,130.58216020380485,2022,720.0,Valor
Brasil Novo,dados_brasil_novo__apenas_1_trabalho,Apenas 1 trabalho,dados_brasil_novo,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.9367129290587949,2000,93.8,Valor
Brasil Novo,dados_brasil_novo__apenas_1_trabalho,Apenas 1 trabalho,dados_brasil_novo,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.9367129290587949,2010,93.2,Valor
Brasil Novo,dados_brasil_novo__apenas_1_trabalho,Apenas 1 trabalho,dados_brasil_novo,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.9367129290587949,2022,90.4,Valor
Brasil Novo,dados_brasil_novo__2_trabalhos,2 trabalhos,dados_brasil_novo,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.9310965741072904,2000,5.4,Valor
