municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Breu_Branco,dados_breu_branco__populacao_total,População Total,dados_breu_branco,Grupo 1 — 4 censos,4,logistic,lbfgs,True,7.52682908068043,1991,28.41,Valor
Breu_Branco,dados_breu_branco__populacao_total,População Total,dados_breu_branco,Grupo 1 — 4 censos,4,logistic,lbfgs,True,7.52682908068043,2000,41.25,Valor
Breu_Branco,dados_breu_branco__populacao_total,População Total,dados_breu_branco,Grupo 1 — 4 censos,4,logistic,lbfgs,True,7.52682908068043,2010,52.493,Valor
Breu_Branco,dados_breu_branco__populacao_total,População Total,dados_breu_branco,Grupo 1 — 4 censos,4,logistic,lbfgs,True,7.52682908068043,2022,44.24,Valor
Breu_Branco,dados_breu_branco__populacao_urbana,População Urbana,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,4.96614005577889,2000,26.82,Valor
Breu_Branco,dados_breu_branco__populacao_urbana,População Urbana,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,4.96614005577889,2010,36.42,Valor
Breu_Branco,dados_breu_branco__populacao_urbana,População Urbana,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,4.96614005577889,2022,32.14,Valor
Breu_Branco,dados_breu_branco__populacao_rural,População Rural,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,2.0811415515250204,2000,14.43,Valor
Breu_Branco,dados_breu_branco__populacao_rural,População Rural,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,2.0811415515250204,2010,16.073,Valor
Breu_Branco,dados_breu_branco__populacao_rural,População Rural,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,2.0811415515250204,2022,12.1,Valor
Breu_Branco,dados_breu_branco__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_breu_branco,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,940.0,Valor
Breu_Branco,dados_breu_branco__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_breu_branco,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,2.48,Valor
Breu_Branco,dados_breu_branco__populacao_de_mulheres,População de Mulheres,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,3.1509099930386575,2000,20.12,Valor
Breu_Branco,dados_breu_branco__populacao_de_mulheres,População de Mulheres,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,3.1509099930386575,2010,25.82,Valor
Breu_Branco,dados_breu_branco__populacao_de_mulheres,População de Mulheres,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,3.1509099930386575,2022,22.12,Valor
Breu_Branco,dados_breu_branco__populacao_de_homens,População de Homens,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3891391489250267,2000,21.13,Valor
Breu_Branco,dados_breu_branco__populacao_de_homens,População de Homens,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3891391489250267,2010,26.673,Valor
Breu_Branco,dados_breu_branco__populacao_de_homens,População de Homens,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3891391489250267,2022,22.12,Valor
Breu_Branco,dados_breu_branco__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.795813303172873,2000,105.0,Valor
Breu_Branco,dados_breu_branco__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.795813303172873,2010,103.3,Valor
Breu_Branco,dados_breu_branco__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.795813303172873,2022,100.0,Valor
Breu_Branco,dados_breu_branco__idade_mediana,Idade Mediana,dados_breu_branco,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,19.0,Valor
Breu_Branco,dados_breu_branco__idade_mediana,Idade Mediana,dados_breu_branco,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,23.0,Valor
Breu_Branco,dados_breu_branco__idade_mediana,Idade Mediana,dados_breu_branco,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,29.0,Valor
Breu_Branco,dados_breu_branco__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.306605724544276,2000,5.2,Valor
Breu_Branco,dados_breu_branco__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.306605724544276,2010,9.8,Valor
Breu_Branco,dados_breu_branco__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.306605724544276,2022,24.2,Valor
Breu_Branco,dados_breu_branco__populacao_parda,População Parda,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,4.759975842072609,2000,29.82,Valor
Breu_Branco,dados_breu_branco__populacao_parda,População Parda,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,4.759975842072609,2010,38.42,Valor
Breu_Branco,dados_breu_branco__populacao_parda,População Parda,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,4.759975842072609,2022,32.82,Valor
Breu_Branco,dados_breu_branco__populacao_branca,População Branca,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8914932666009546,2000,8.42,Valor
Breu_Branco,dados_breu_branco__populacao_branca,População Branca,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8914932666009546,2010,9.12,Valor
Breu_Branco,dados_breu_branco__populacao_branca,População Branca,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8914932666009546,2022,7.42,Valor
Breu_Branco,dados_breu_branco__populacao_preta,População Preta,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8514153630573769,2000,2.84,Valor
Breu_Branco,dados_breu_branco__populacao_preta,População Preta,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8514153630573769,2010,4.42,Valor
Breu_Branco,dados_breu_branco__populacao_preta,População Preta,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8514153630573769,2022,3.82,Valor
Breu_Branco,dados_breu_branco__populacao_amarela,População Amarela,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,41.602896583626425,2000,110.0,Valor
Breu_Branco,dados_breu_branco__populacao_amarela,População Amarela,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,41.602896583626425,2010,120.0,Valor
Breu_Branco,dados_breu_branco__populacao_amarela,População Amarela,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,41.602896583626425,2022,52.0,Valor
Breu_Branco,dados_breu_branco__populacao_indigena,População Indígena,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,214.14789416987185,2000,60.0,Valor
Breu_Branco,dados_breu_branco__populacao_indigena,População Indígena,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,214.14789416987185,2010,413.0,Valor
Breu_Branco,dados_breu_branco__populacao_indigena,População Indígena,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,214.14789416987185,2022,128.0,Valor
Breu_Branco,dados_breu_branco__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,156.54659170313974,2000,138.4,Valor
Breu_Branco,dados_breu_branco__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,156.54659170313974,2010,294.2,Valor
Breu_Branco,dados_breu_branco__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_breu_branco,Grupo 2 — 3 censos,3,relu,lbfgs,True,156.54659170313974,2022,724.0,Valor
Breu_Branco,dados_breu_branco__apenas_1_trabalho,Apenas 1 trabalho,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4103282812875384,2000,94.2,Valor
Breu_Branco,dados_breu_branco__apenas_1_trabalho,Apenas 1 trabalho,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4103282812875384,2010,95.1,Valor
Breu_Branco,dados_breu_branco__apenas_1_trabalho,Apenas 1 trabalho,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4103282812875384,2022,91.0,Valor
Breu_Branco,dados_breu_branco__2_trabalhos,2 trabalhos,dados_breu_branco,Grupo 2 — 3 censos,3,tanh,adam,True,2.2336784259882925,2000,5.1,Valor
Breu_Branco,dados_breu_branco__2_trabalhos,2 trabalhos,dados_breu_branco,Grupo 2 — 3 censos,3,tanh,adam,True,2.2336784259882925,2010,4.4,Valor
Breu_Branco,dados_breu_branco__2_trabalhos,2 trabalhos,dados_breu_branco,Grupo 2 — 3 censos,3,tanh,adam,True,2.2336784259882925,2022,8.1,Valor
Breu_Branco,dados_breu_branco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.20224865098067826,2000,0.7,Valor
Breu_Branco,dados_breu_branco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.20224865098067826,2010,0.5,Valor
Breu_Branco,dados_breu_branco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.20224865098067826,2022,0.9,Valor
Breu_Branco,dados_breu_branco__setor_privado,Setor privado,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,adam,True,2.705183352721923,2000,4.82,Valor
Breu_Branco,dados_breu_branco__setor_privado,Setor privado,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,adam,True,2.705183352721923,2010,10.82,Valor
Breu_Branco,dados_breu_branco__setor_privado,Setor privado,dados_breu_branco,Grupo 2 — 3 censos,3,logistic,adam,True,2.705183352721923,2022,12.42,Valor
Breu_Branco,dados_breu_branco__conta_propria,Conta própria,dados_breu_branco,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.3384300817869934,2000,6.42,Valor
Breu_Branco,dados_breu_branco__conta_propria,Conta própria,dados_breu_branco,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.3384300817869934,2010,11.42,Valor
