municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Bujaru,dados_bujaru__populacao_total,População Total,dados_bujaru,Grupo 1 — 4 censos,4,tanh,sgd,True,1.6008489126412089,1991,21.168,Valor
Bujaru,dados_bujaru__populacao_total,População Total,dados_bujaru,Grupo 1 — 4 censos,4,tanh,sgd,True,1.6008489126412089,2000,22.846,Valor
Bujaru,dados_bujaru__populacao_total,População Total,dados_bujaru,Grupo 1 — 4 censos,4,tanh,sgd,True,1.6008489126412089,2010,25.695,Valor
Bujaru,dados_bujaru__populacao_total,População Total,dados_bujaru,Grupo 1 — 4 censos,4,tanh,sgd,True,1.6008489126412089,2022,23.905,Valor
Bujaru,dados_bujaru__populacao_urbana,População Urbana,dados_bujaru,Grupo 2 — 3 censos,3,relu,adam,True,0.7486567774587348,2000,6.24,Valor
Bujaru,dados_bujaru__populacao_urbana,População Urbana,dados_bujaru,Grupo 2 — 3 censos,3,relu,adam,True,0.7486567774587348,2010,8.12,Valor
Bujaru,dados_bujaru__populacao_urbana,População Urbana,dados_bujaru,Grupo 2 — 3 censos,3,relu,adam,True,0.7486567774587348,2022,8.84,Valor
Bujaru,dados_bujaru__populacao_rural,População Rural,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3375696433467315,2000,16.606,Valor
Bujaru,dados_bujaru__populacao_rural,População Rural,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3375696433467315,2010,17.575,Valor
Bujaru,dados_bujaru__populacao_rural,População Rural,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3375696433467315,2022,15.065,Valor
Bujaru,dados_bujaru__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bujaru,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Bujaru,dados_bujaru__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_bujaru,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Bujaru,dados_bujaru__populacao_de_mulheres,População de Mulheres,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7162936936453738,2000,10.82,Valor
Bujaru,dados_bujaru__populacao_de_mulheres,População de Mulheres,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7162936936453738,2010,12.24,Valor
Bujaru,dados_bujaru__populacao_de_mulheres,População de Mulheres,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7162936936453738,2022,11.52,Valor
Bujaru,dados_bujaru__populacao_de_homens,População de Homens,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8384076336116285,2000,12.026,Valor
Bujaru,dados_bujaru__populacao_de_homens,População de Homens,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8384076336116285,2010,13.455,Valor
Bujaru,dados_bujaru__populacao_de_homens,População de Homens,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8384076336116285,2022,12.385,Valor
Bujaru,dados_bujaru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5892480404293963,2000,111.1,Valor
Bujaru,dados_bujaru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5892480404293963,2010,109.9,Valor
Bujaru,dados_bujaru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5892480404293963,2022,107.5,Valor
Bujaru,dados_bujaru__idade_mediana,Idade Mediana,dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,18.0,Valor
Bujaru,dados_bujaru__idade_mediana,Idade Mediana,dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,21.0,Valor
Bujaru,dados_bujaru__idade_mediana,Idade Mediana,dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,28.0,Valor
Bujaru,dados_bujaru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bujaru,Grupo 2 — 3 censos,3,relu,sgd,True,7.438841129058548,2000,5.6,Valor
Bujaru,dados_bujaru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bujaru,Grupo 2 — 3 censos,3,relu,sgd,True,7.438841129058548,2010,8.8,Valor
Bujaru,dados_bujaru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_bujaru,Grupo 2 — 3 censos,3,relu,sgd,True,7.438841129058548,2022,26.4,Valor
Bujaru,dados_bujaru__populacao_parda,População Parda,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,1.6667402726485676,2000,16.42,Valor
Bujaru,dados_bujaru__populacao_parda,População Parda,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,1.6667402726485676,2010,19.24,Valor
Bujaru,dados_bujaru__populacao_parda,População Parda,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,1.6667402726485676,2022,18.62,Valor
Bujaru,dados_bujaru__populacao_branca,População Branca,dados_bujaru,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1540492791670983,2000,4.82,Valor
Bujaru,dados_bujaru__populacao_branca,População Branca,dados_bujaru,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1540492791670983,2010,4.21,Valor
Bujaru,dados_bujaru__populacao_branca,População Branca,dados_bujaru,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1540492791670983,2022,3.68,Valor
Bujaru,dados_bujaru__populacao_preta,População Preta,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3958421467723177,2000,1.24,Valor
Bujaru,dados_bujaru__populacao_preta,População Preta,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3958421467723177,2010,1.92,Valor
Bujaru,dados_bujaru__populacao_preta,População Preta,dados_bujaru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3958421467723177,2022,1.42,Valor
Bujaru,dados_bujaru__populacao_amarela,População Amarela,dados_bujaru,Grupo 2 — 3 censos,3,tanh,sgd,True,17.19494800812215,2000,78.0,Valor
Bujaru,dados_bujaru__populacao_amarela,População Amarela,dados_bujaru,Grupo 2 — 3 censos,3,tanh,sgd,True,17.19494800812215,2010,36.0,Valor
Bujaru,dados_bujaru__populacao_amarela,População Amarela,dados_bujaru,Grupo 2 — 3 censos,3,tanh,sgd,True,17.19494800812215,2022,22.0,Valor
Bujaru,dados_bujaru__populacao_indigena,População Indígena,dados_bujaru,Grupo 2 — 3 censos,3,tanh,sgd,True,41.416087222055324,2000,288.0,Valor
Bujaru,dados_bujaru__populacao_indigena,População Indígena,dados_bujaru,Grupo 2 — 3 censos,3,tanh,sgd,True,41.416087222055324,2010,189.0,Valor
Bujaru,dados_bujaru__populacao_indigena,População Indígena,dados_bujaru,Grupo 2 — 3 censos,3,tanh,sgd,True,41.416087222055324,2022,163.0,Valor
Bujaru,dados_bujaru__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,110.1916775300278,2000,72.4,Valor
Bujaru,dados_bujaru__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,110.1916775300278,2010,192.8,Valor
Bujaru,dados_bujaru__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,110.1916775300278,2022,498.0,Valor
Bujaru,dados_bujaru__apenas_1_trabalho,Apenas 1 trabalho,dados_bujaru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.8111850728090341,2000,96.1,Valor
