municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_total,População Total,dados_cachoeira_do_arari,Grupo 1 — 4 censos,4,relu,sgd,True,1.0328986714751105,1991,15.783,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_total,População Total,dados_cachoeira_do_arari,Grupo 1 — 4 censos,4,relu,sgd,True,1.0328986714751105,2000,15.908,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_total,População Total,dados_cachoeira_do_arari,Grupo 1 — 4 censos,4,relu,sgd,True,1.0328986714751105,2010,20.356,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_total,População Total,dados_cachoeira_do_arari,Grupo 1 — 4 censos,4,relu,sgd,True,1.0328986714751105,2022,23.981,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_urbana,População Urbana,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,relu,adam,True,0.7065595351285401,2000,6.12,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_urbana,População Urbana,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,relu,adam,True,0.7065595351285401,2010,8.581,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_urbana,População Urbana,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,relu,adam,True,0.7065595351285401,2022,10.512,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_rural,População Rural,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,identity,adam,True,0.524822599716264,2000,9.788,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_rural,População Rural,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,identity,adam,True,0.524822599716264,2010,11.775,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_rural,População Rural,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,identity,adam,True,0.524822599716264,2022,13.469,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_cachoeira_do_arari,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_cachoeira_do_arari,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_de_mulheres,População de Mulheres,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,relu,adam,True,0.7428058039543662,2000,7.365,Valor
Cachoeira do Arari,dados_cachoeira_do_arari__populacao_de_mulheres,População de Mulheres,dados_cachoeira_do_arari,Grupo 2 — 3 censos,3,relu,adam,True,0.7428058039543662,2010,9.908,Valor
