municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_total,População Total,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,6.393379015582286,2000,18.24,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_total,População Total,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,6.393379015582286,2010,28.48,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_total,População Total,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,6.393379015582286,2022,19.68,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_urbana,População Urbana,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.6625252741979901,2000,5.82,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_urbana,População Urbana,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.6625252741979901,2010,8.12,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_urbana,População Urbana,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.6625252741979901,2022,9.84,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_rural,População Rural,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,6.20357715088418,2000,12.42,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_rural,População Rural,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,6.20357715088418,2010,20.36,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_rural,População Rural,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,6.20357715088418,2022,9.84,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_cachoeira_do_piria,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_cachoeira_do_piria,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Cachoeira do Piriá,dados_cachoeira_do_piria__populacao_de_mulheres,População de Mulheres,dados_cachoeira_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,3.16946042004601,2000,8.72,Valor
