municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Cametá,dados_abaetetuba__populacao_total,População Total,dados_abaetetuba,Grupo 1 — 4 censos,4,logistic,lbfgs,True,3.032224255133624,1991,75.309,Valor
Cametá,dados_abaetetuba__populacao_total,População Total,dados_abaetetuba,Grupo 1 — 4 censos,4,logistic,lbfgs,True,3.032224255133624,2000,97.056,Valor
Cametá,dados_abaetetuba__populacao_total,População Total,dados_abaetetuba,Grupo 1 — 4 censos,4,logistic,lbfgs,True,3.032224255133624,2010,120.897,Valor
Cametá,dados_abaetetuba__populacao_total,População Total,dados_abaetetuba,Grupo 1 — 4 censos,4,logistic,lbfgs,True,3.032224255133624,2022,134.184,Valor
Cametá,dados_abaetetuba__populacao_urbana,População Urbana,dados_abaetetuba,Grupo 2 — 3 censos,3,identity,adam,True,4.0550411874470385,2000,42.15,Valor
Cametá,dados_abaetetuba__populacao_urbana,População Urbana,dados_abaetetuba,Grupo 2 — 3 censos,3,identity,adam,True,4.0550411874470385,2010,56.42,Valor
Cametá,dados_abaetetuba__populacao_urbana,População Urbana,dados_abaetetuba,Grupo 2 — 3 censos,3,identity,adam,True,4.0550411874470385,2022,68.21,Valor
Cametá,dados_abaetetuba__populacao_rural,População Rural,dados_abaetetuba,Grupo 2 — 3 censos,3,tanh,lbfgs,True,4.455484381221777,2000,54.906,Valor
Cametá,dados_abaetetuba__populacao_rural,População Rural,dados_abaetetuba,Grupo 2 — 3 censos,3,tanh,lbfgs,True,4.455484381221777,2010,64.477,Valor
Cametá,dados_abaetetuba__populacao_rural,População Rural,dados_abaetetuba,Grupo 2 — 3 censos,3,tanh,lbfgs,True,4.455484381221777,2022,65.974,Valor
Cametá,dados_abaetetuba__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_abaetetuba,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,8.42,Valor
Cametá,dados_abaetetuba__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_abaetetuba,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,18.24,Valor
Cametá,dados_abaetetuba__populacao_de_mulheres,População de Mulheres,dados_abaetetuba,Grupo 2 — 3 censos,3,relu,adam,True,3.5025477735986286,2000,47.82,Valor
Cametá,dados_abaetetuba__populacao_de_mulheres,População de Mulheres,dados_abaetetuba,Grupo 2 — 3 censos,3,relu,adam,True,3.5025477735986286,2010,59.81,Valor
Cametá,dados_abaetetuba__populacao_de_mulheres,População de Mulheres,dados_abaetetuba,Grupo 2 — 3 censos,3,relu,adam,True,3.5025477735986286,2022,66.89,Valor
Cametá,dados_abaetetuba__populacao_de_homens,População de Homens,dados_abaetetuba,Grupo 2 — 3 censos,3,relu,adam,True,3.5639772587838627,2000,49.236,Valor
Cametá,dados_abaetetuba__populacao_de_homens,População de Homens,dados_abaetetuba,Grupo 2 — 3 censos,3,relu,adam,True,3.5639772587838627,2010,61.087,Valor
Cametá,dados_abaetetuba__populacao_de_homens,População de Homens,dados_abaetetuba,Grupo 2 — 3 censos,3,relu,adam,True,3.5639772587838627,2022,67.294,Valor
