municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Capanema,dados_capanema__populacao_total,População Total,dados_capanema,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.5398666742834148,1991,52.883,Valor
Capanema,dados_capanema__populacao_total,População Total,dados_capanema,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.5398666742834148,2000,58.74,Valor
Capanema,dados_capanema__populacao_total,População Total,dados_capanema,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.5398666742834148,2010,63.639,Valor
Capanema,dados_capanema__populacao_total,População Total,dados_capanema,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.5398666742834148,2022,70.394,Valor
Capanema,dados_capanema__populacao_urbana,População Urbana,dados_capanema,Grupo 2 — 3 censos,3,identity,adam,True,1.8636374704124254,2000,43.21,Valor
Capanema,dados_capanema__populacao_urbana,População Urbana,dados_capanema,Grupo 2 — 3 censos,3,identity,adam,True,1.8636374704124254,2010,51.42,Valor
Capanema,dados_capanema__populacao_urbana,População Urbana,dados_capanema,Grupo 2 — 3 censos,3,identity,adam,True,1.8636374704124254,2022,58.82,Valor
Capanema,dados_capanema__populacao_rural,População Rural,dados_capanema,Grupo 2 — 3 censos,3,tanh,adam,True,1.4051332368661733,2000,15.53,Valor
Capanema,dados_capanema__populacao_rural,População Rural,dados_capanema,Grupo 2 — 3 censos,3,tanh,adam,True,1.4051332368661733,2010,12.219,Valor
Capanema,dados_capanema__populacao_rural,População Rural,dados_capanema,Grupo 2 — 3 censos,3,tanh,adam,True,1.4051332368661733,2022,11.574,Valor
Capanema,dados_capanema__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_capanema,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,2.84,Valor
Capanema,dados_capanema__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_capanema,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,5.42,Valor
Capanema,dados_capanema__populacao_de_mulheres,População de Mulheres,dados_capanema,Grupo 2 — 3 censos,3,identity,sgd,True,0.3209657762307205,2000,29.82,Valor
