municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Chaves,dados_chaves__populacao_total,População Total,dados_chaves,Grupo 1 — 4 censos,4,logistic,adam,True,0.8159663666946351,1991,15.82,Valor
Chaves,dados_chaves__populacao_total,População Total,dados_chaves,Grupo 1 — 4 censos,4,logistic,adam,True,0.8159663666946351,2000,17.92,Valor
Chaves,dados_chaves__populacao_total,População Total,dados_chaves,Grupo 1 — 4 censos,4,logistic,adam,True,0.8159663666946351,2010,21.005,Valor
Chaves,dados_chaves__populacao_total,População Total,dados_chaves,Grupo 1 — 4 censos,4,logistic,adam,True,0.8159663666946351,2022,20.757,Valor
Chaves,dados_chaves__populacao_urbana,População Urbana,dados_chaves,Grupo 2 — 3 censos,3,relu,adam,True,0.33433653594030605,2000,3.12,Valor
Chaves,dados_chaves__populacao_urbana,População Urbana,dados_chaves,Grupo 2 — 3 censos,3,relu,adam,True,0.33433653594030605,2010,4.28,Valor
Chaves,dados_chaves__populacao_urbana,População Urbana,dados_chaves,Grupo 2 — 3 censos,3,relu,adam,True,0.33433653594030605,2022,5.14,Valor
Chaves,dados_chaves__populacao_rural,População Rural,dados_chaves,Grupo 2 — 3 censos,3,logistic,sgd,True,1.0159407632158046,2000,14.8,Valor
Chaves,dados_chaves__populacao_rural,População Rural,dados_chaves,Grupo 2 — 3 censos,3,logistic,sgd,True,1.0159407632158046,2010,16.725,Valor
Chaves,dados_chaves__populacao_rural,População Rural,dados_chaves,Grupo 2 — 3 censos,3,logistic,sgd,True,1.0159407632158046,2022,15.617,Valor
Chaves,dados_chaves__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_chaves,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Chaves,dados_chaves__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_chaves,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Chaves,dados_chaves__populacao_de_mulheres,População de Mulheres,dados_chaves,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.823053876345425,2000,8.41,Valor
Chaves,dados_chaves__populacao_de_mulheres,População de Mulheres,dados_chaves,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.823053876345425,2010,9.89,Valor
Chaves,dados_chaves__populacao_de_mulheres,População de Mulheres,dados_chaves,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.823053876345425,2022,9.88,Valor
Chaves,dados_chaves__populacao_de_homens,População de Homens,dados_chaves,Grupo 2 — 3 censos,3,logistic,sgd,True,0.9861066503719798,2000,9.51,Valor
