municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Colares,dados_colares__populacao_total,População Total,dados_colares,Grupo 1 — 4 censos,4,identity,adam,True,0.21420384258549463,1991,8.412,Valor
Colares,dados_colares__populacao_total,População Total,dados_colares,Grupo 1 — 4 censos,4,identity,adam,True,0.21420384258549463,2000,9.82,Valor
Colares,dados_colares__populacao_total,População Total,dados_colares,Grupo 1 — 4 censos,4,identity,adam,True,0.21420384258549463,2010,11.381,Valor
Colares,dados_colares__populacao_total,População Total,dados_colares,Grupo 1 — 4 censos,4,identity,adam,True,0.21420384258549463,2022,12.868,Valor
Colares,dados_colares__populacao_urbana,População Urbana,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.20661468150956855,2000,4.12,Valor
Colares,dados_colares__populacao_urbana,População Urbana,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.20661468150956855,2010,5.48,Valor
Colares,dados_colares__populacao_urbana,População Urbana,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.20661468150956855,2022,6.84,Valor
Colares,dados_colares__populacao_rural,População Rural,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,0.05850171826177449,2000,5.7,Valor
Colares,dados_colares__populacao_rural,População Rural,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,0.05850171826177449,2010,5.901,Valor
Colares,dados_colares__populacao_rural,População Rural,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,0.05850171826177449,2022,6.028,Valor
Colares,dados_colares__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_colares,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Colares,dados_colares__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_colares,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Colares,dados_colares__populacao_de_mulheres,População de Mulheres,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.1671938444918668,2000,4.78,Valor
Colares,dados_colares__populacao_de_mulheres,População de Mulheres,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.1671938444918668,2010,5.58,Valor
Colares,dados_colares__populacao_de_mulheres,População de Mulheres,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.1671938444918668,2022,6.32,Valor
Colares,dados_colares__populacao_de_homens,População de Homens,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.12626608730324604,2000,5.04,Valor
Colares,dados_colares__populacao_de_homens,População de Homens,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.12626608730324604,2010,5.801,Valor
Colares,dados_colares__populacao_de_homens,População de Homens,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.12626608730324604,2022,6.548,Valor
Colares,dados_colares__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_colares,Grupo 2 — 3 censos,3,tanh,sgd,True,0.5703355242058592,2000,105.4,Valor
Colares,dados_colares__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_colares,Grupo 2 — 3 censos,3,tanh,sgd,True,0.5703355242058592,2010,104.0,Valor
Colares,dados_colares__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_colares,Grupo 2 — 3 censos,3,tanh,sgd,True,0.5703355242058592,2022,103.6,Valor
Colares,dados_colares__idade_mediana,Idade Mediana,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,22.0,Valor
Colares,dados_colares__idade_mediana,Idade Mediana,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,25.0,Valor
Colares,dados_colares__idade_mediana,Idade Mediana,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,32.0,Valor
Colares,dados_colares__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.368713405011488,2000,11.8,Valor
Colares,dados_colares__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.368713405011488,2010,17.4,Valor
Colares,dados_colares__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.368713405011488,2022,37.2,Valor
Colares,dados_colares__populacao_parda,População Parda,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.10618773482343287,2000,7.12,Valor
Colares,dados_colares__populacao_parda,População Parda,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.10618773482343287,2010,8.42,Valor
Colares,dados_colares__populacao_parda,População Parda,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.10618773482343287,2022,9.84,Valor
Colares,dados_colares__populacao_branca,População Branca,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,0.09951922518207794,2000,1.98,Valor
Colares,dados_colares__populacao_branca,População Branca,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,0.09951922518207794,2010,2.14,Valor
Colares,dados_colares__populacao_branca,População Branca,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,0.09951922518207794,2022,2.12,Valor
Colares,dados_colares__populacao_preta,População Preta,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,34.81834612812505,2000,640.0,Valor
Colares,dados_colares__populacao_preta,População Preta,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,34.81834612812505,2010,760.0,Valor
Colares,dados_colares__populacao_preta,População Preta,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,34.81834612812505,2022,840.0,Valor
Colares,dados_colares__populacao_amarela,População Amarela,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.689495418953655,2000,50.0,Valor
Colares,dados_colares__populacao_amarela,População Amarela,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.689495418953655,2010,40.0,Valor
Colares,dados_colares__populacao_amarela,População Amarela,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.689495418953655,2022,18.0,Valor
Colares,dados_colares__populacao_indigena,População Indígena,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,16.504366771513002,2000,30.0,Valor
Colares,dados_colares__populacao_indigena,População Indígena,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,16.504366771513002,2010,21.0,Valor
Colares,dados_colares__populacao_indigena,População Indígena,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,16.504366771513002,2022,50.0,Valor
Colares,dados_colares__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,192.2674625994257,2000,114.2,Valor
Colares,dados_colares__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,192.2674625994257,2010,294.8,Valor
Colares,dados_colares__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,192.2674625994257,2022,820.0,Valor
Colares,dados_colares__apenas_1_trabalho,Apenas 1 trabalho,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5885337156089795,2000,96.6,Valor
Colares,dados_colares__apenas_1_trabalho,Apenas 1 trabalho,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5885337156089795,2010,96.2,Valor
Colares,dados_colares__apenas_1_trabalho,Apenas 1 trabalho,dados_colares,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5885337156089795,2022,94.4,Valor
Colares,dados_colares__2_trabalhos,2 trabalhos,dados_colares,Grupo 2 — 3 censos,3,relu,sgd,True,0.6758317798695591,2000,3.0,Valor
Colares,dados_colares__2_trabalhos,2 trabalhos,dados_colares,Grupo 2 — 3 censos,3,relu,sgd,True,0.6758317798695591,2010,3.3,Valor
Colares,dados_colares__2_trabalhos,2 trabalhos,dados_colares,Grupo 2 — 3 censos,3,relu,sgd,True,0.6758317798695591,2022,4.9,Valor
Colares,dados_colares__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2000,0.4,Valor
Colares,dados_colares__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2010,0.5,Valor
Colares,dados_colares__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2022,0.7,Valor
Colares,dados_colares__setor_privado,Setor privado,dados_colares,Grupo 2 — 3 censos,3,tanh,adam,True,429.42220885791704,2000,780.0,Valor
Colares,dados_colares__setor_privado,Setor privado,dados_colares,Grupo 2 — 3 censos,3,tanh,adam,True,429.42220885791704,2010,1.18,Valor
Colares,dados_colares__setor_privado,Setor privado,dados_colares,Grupo 2 — 3 censos,3,tanh,adam,True,429.42220885791704,2022,1.62,Valor
Colares,dados_colares__conta_propria,Conta própria,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.024281266734357414,2000,1.38,Valor
Colares,dados_colares__conta_propria,Conta própria,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.024281266734357414,2010,1.64,Valor
Colares,dados_colares__conta_propria,Conta própria,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.024281266734357414,2022,1.92,Valor
Colares,dados_colares__setor_publico,Setor público,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,408.7395359430645,2000,480.0,Valor
Colares,dados_colares__setor_publico,Setor público,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,408.7395359430645,2010,760.0,Valor
Colares,dados_colares__setor_publico,Setor público,dados_colares,Grupo 2 — 3 censos,3,logistic,sgd,True,408.7395359430645,2022,1.04,Valor
Colares,dados_colares__trabalhador_domestico,Trabalhador doméstico,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,20.224516909422846,2000,190.0,Valor
Colares,dados_colares__trabalhador_domestico,Trabalhador doméstico,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,20.224516909422846,2010,260.0,Valor
Colares,dados_colares__trabalhador_domestico,Trabalhador doméstico,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,20.224516909422846,2022,310.0,Valor
Colares,dados_colares__empregador,Empregador,dados_colares,Grupo 2 — 3 censos,3,identity,lbfgs,True,1.5252401420608237,2000,50.0,Valor
Colares,dados_colares__empregador,Empregador,dados_colares,Grupo 2 — 3 censos,3,identity,lbfgs,True,1.5252401420608237,2010,90.0,Valor
Colares,dados_colares__empregador,Empregador,dados_colares,Grupo 2 — 3 censos,3,identity,lbfgs,True,1.5252401420608237,2022,140.0,Valor
Colares,dados_colares__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,85.77868075915426,2000,480.0,Valor
Colares,dados_colares__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,85.77868075915426,2010,240.0,Valor
Colares,dados_colares__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,85.77868075915426,2022,130.0,Valor
Colares,dados_colares__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,6.09007382484198,2000,10.0,Valor
Colares,dados_colares__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,6.09007382484198,2010,20.0,Valor
Colares,dados_colares__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,6.09007382484198,2022,40.0,Valor
Colares,dados_colares__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,16.671967310180378,2000,260.0,Valor
Colares,dados_colares__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,16.671967310180378,2010,520.0,Valor
Colares,dados_colares__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,16.671967310180378,2022,810.0,Valor
Colares,dados_colares__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,13.659858966513752,2000,520.0,Valor
Colares,dados_colares__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,13.659858966513752,2010,660.0,Valor
Colares,dados_colares__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,13.659858966513752,2022,810.0,Valor
Colares,dados_colares__setor_publico_com_carteira_assinada,Setor público com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,3.038451198670117,2000,10.0,Valor
Colares,dados_colares__setor_publico_com_carteira_assinada,Setor público com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,3.038451198670117,2010,30.0,Valor
Colares,dados_colares__setor_publico_com_carteira_assinada,Setor público com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,3.038451198670117,2022,50.0,Valor
Colares,dados_colares__setor_publico_sem_carteira_estatutarios_outro,Setor público sem carteira (estatutários/outros),dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,39.499865582711514,2000,470.0,Valor
Colares,dados_colares__setor_publico_sem_carteira_estatutarios_outro,Setor público sem carteira (estatutários/outros),dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,39.499865582711514,2010,730.0,Valor
Colares,dados_colares__setor_publico_sem_carteira_estatutarios_outro,Setor público sem carteira (estatutários/outros),dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,39.499865582711514,2022,990.0,Valor
Colares,dados_colares__trabalho_domestico_com_carteira_assinada,Trabalho doméstico com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,1.5192255993350585,2000,10.0,Valor
Colares,dados_colares__trabalho_domestico_com_carteira_assinada,Trabalho doméstico com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,1.5192255993350585,2010,20.0,Valor
Colares,dados_colares__trabalho_domestico_com_carteira_assinada,Trabalho doméstico com carteira assinada,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,1.5192255993350585,2022,30.0,Valor
Colares,dados_colares__trabalho_domestico_sem_carteira_assinada,Trabalho doméstico sem carteira assinada,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,17.409173064062532,2000,180.0,Valor
Colares,dados_colares__trabalho_domestico_sem_carteira_assinada,Trabalho doméstico sem carteira assinada,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,17.409173064062532,2010,240.0,Valor
Colares,dados_colares__trabalho_domestico_sem_carteira_assinada,Trabalho doméstico sem carteira assinada,dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,17.409173064062532,2022,280.0,Valor
Colares,dados_colares__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_colares,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.444861168557125,1991,71.8,Valor
Colares,dados_colares__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_colares,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.444861168557125,2000,78.8,Valor
Colares,dados_colares__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_colares,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.444861168557125,2010,85.8,Valor
Colares,dados_colares__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_colares,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.444861168557125,2022,90.8,Valor
Colares,dados_colares__taxa_de_alfabetizacao_jovens_15_a_19_anos,Taxa de Alfabetização: Jovens (15 a 19 anos),dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,1.5282887826120042,2000,91.8,Valor
Colares,dados_colares__taxa_de_alfabetizacao_jovens_15_a_19_anos,Taxa de Alfabetização: Jovens (15 a 19 anos),dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,1.5282887826120042,2010,96.4,Valor
Colares,dados_colares__taxa_de_alfabetizacao_jovens_15_a_19_anos,Taxa de Alfabetização: Jovens (15 a 19 anos),dados_colares,Grupo 2 — 3 censos,3,relu,adam,True,1.5282887826120042,2022,98.6,Valor
Colares,dados_colares__taxa_de_alfabetizacao_idosos_80_anos_ou_mais,Taxa de Alfabetização: Idosos (80 anos ou mais),dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.5141658468236111,2000,30.8,Valor
Colares,dados_colares__taxa_de_alfabetizacao_idosos_80_anos_ou_mais,Taxa de Alfabetização: Idosos (80 anos ou mais),dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.5141658468236111,2010,43.2,Valor
Colares,dados_colares__taxa_de_alfabetizacao_idosos_80_anos_ou_mais,Taxa de Alfabetização: Idosos (80 anos ou mais),dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,0.5141658468236111,2022,57.4,Valor
Colares,dados_colares__taxa_de_escolarizacao_6_a_14_anos,Taxa de Escolarização (6 a 14 anos),dados_colares,Grupo 2 — 3 censos,3,logistic,adam,True,3.565285882247366,2000,86.8,Valor
Colares,dados_colares__taxa_de_escolarizacao_6_a_14_anos,Taxa de Escolarização (6 a 14 anos),dados_colares,Grupo 2 — 3 censos,3,logistic,adam,True,3.565285882247366,2010,94.8,Valor
Colares,dados_colares__taxa_de_escolarizacao_6_a_14_anos,Taxa de Escolarização (6 a 14 anos),dados_colares,Grupo 2 — 3 censos,3,logistic,adam,True,3.565285882247366,2022,97.0,Valor
Colares,dados_colares__populacao_com_superior_completo,População com Superior Completo,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,156.80952241905467,2000,90.0,Valor
Colares,dados_colares__populacao_com_superior_completo,População com Superior Completo,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,156.80952241905467,2010,310.0,Valor
Colares,dados_colares__populacao_com_superior_completo,População com Superior Completo,dados_colares,Grupo 2 — 3 censos,3,identity,adam,True,156.80952241905467,2022,780.0,Valor
Colares,dados_colares__anos_de_estudo_media,Anos de Estudo (Média),dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.1894429465733234,1991,3.7,Valor
Colares,dados_colares__anos_de_estudo_media,Anos de Estudo (Média),dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.1894429465733234,2000,5.2,Valor
Colares,dados_colares__anos_de_estudo_media,Anos de Estudo (Média),dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.1894429465733234,2010,7.0,Valor
Colares,dados_colares__anos_de_estudo_media,Anos de Estudo (Média),dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.1894429465733234,2022,8.7,Valor
Colares,dados_colares__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.21868666219627086,1991,4.0,Valor
Colares,dados_colares__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.21868666219627086,2000,5.5,Valor
Colares,dados_colares__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.21868666219627086,2010,7.4,Valor
Colares,dados_colares__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_colares,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.21868666219627086,2022,9.1,Valor
Colares,dados_colares__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_colares,Grupo 1 — 4 censos,4,identity,adam,True,0.16716492380340187,1991,3.4,Valor
Colares,dados_colares__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_colares,Grupo 1 — 4 censos,4,identity,adam,True,0.16716492380340187,2000,4.9,Valor
Colares,dados_colares__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_colares,Grupo 1 — 4 censos,4,identity,adam,True,0.16716492380340187,2010,6.6,Valor
