municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Concórdia do Pará,dados_concordia_do_para__populacao_total,População Total,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.6265743223066131,2000,23.11,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_total,População Total,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.6265743223066131,2010,28.216,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_total,População Total,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.6265743223066131,2022,33.518,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_urbana,População Urbana,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.7901290259292484,2000,10.12,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_urbana,População Urbana,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.7901290259292484,2010,14.82,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_urbana,População Urbana,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.7901290259292484,2022,19.42,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_rural,População Rural,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.16355470362263644,2000,12.99,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_rural,População Rural,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.16355470362263644,2010,13.396,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_rural,População Rural,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.16355470362263644,2022,14.098,Valor
Concórdia do Pará,dados_concordia_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_concordia_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,310.0,Valor
Concórdia do Pará,dados_concordia_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_concordia_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,780.0,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_de_mulheres,População de Mulheres,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.3280210151813563,2000,11.22,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_de_mulheres,População de Mulheres,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.3280210151813563,2010,13.88,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_de_mulheres,População de Mulheres,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.3280210151813563,2022,16.64,Valor
Concórdia do Pará,dados_concordia_do_para__populacao_de_homens,População de Homens,dados_concordia_do_para,Grupo 2 — 3 censos,3,identity,adam,True,0.2985533071252551,2000,11.89,Valor
