municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Cumaru do Norte,dados_cumaru_do_norte__populacao_total,População Total,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.3125803795481132,2000,9.42,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_total,População Total,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.3125803795481132,2010,10.466,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_total,População Total,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.3125803795481132,2022,14.005,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_urbana,População Urbana,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.1890162028376309,2000,3.12,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_urbana,População Urbana,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.1890162028376309,2010,4.28,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_urbana,População Urbana,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.1890162028376309,2022,5.92,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_rural,População Rural,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,1.003455866444371,2000,6.3,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_rural,População Rural,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,1.003455866444371,2010,6.186,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_rural,População Rural,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,1.003455866444371,2022,8.085,Valor
Cumaru do Norte,dados_cumaru_do_norte__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_cumaru_do_norte,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_cumaru_do_norte,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_de_mulheres,População de Mulheres,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6008174086344189,2000,4.18,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_de_mulheres,População de Mulheres,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6008174086344189,2010,4.82,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_de_mulheres,População de Mulheres,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6008174086344189,2022,6.48,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_de_homens,População de Homens,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7554908876388019,2000,5.24,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_de_homens,População de Homens,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7554908876388019,2010,5.646,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_de_homens,População de Homens,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7554908876388019,2022,7.525,Valor
Cumaru do Norte,dados_cumaru_do_norte__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_cumaru_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,3.9235836736100915,2000,125.4,Valor
Cumaru do Norte,dados_cumaru_do_norte__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_cumaru_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,3.9235836736100915,2010,117.1,Valor
Cumaru do Norte,dados_cumaru_do_norte__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_cumaru_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,3.9235836736100915,2022,116.1,Valor
Cumaru do Norte,dados_cumaru_do_norte__idade_mediana,Idade Mediana,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2000,21.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__idade_mediana,Idade Mediana,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2010,24.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__idade_mediana,Idade Mediana,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2022,29.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.906776660039022,2000,5.8,Valor
Cumaru do Norte,dados_cumaru_do_norte__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.906776660039022,2010,11.2,Valor
Cumaru do Norte,dados_cumaru_do_norte__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.906776660039022,2022,24.8,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_parda,População Parda,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.703357426772992,2000,5.84,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_parda,População Parda,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.703357426772992,2010,6.82,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_parda,População Parda,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.703357426772992,2022,8.92,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_branca,População Branca,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,sgd,True,0.2703327119478233,2000,2.12,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_branca,População Branca,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,sgd,True,0.2703327119478233,2010,2.24,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_branca,População Branca,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,sgd,True,0.2703327119478233,2022,2.88,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_preta,População Preta,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,41.12446260206057,2000,480.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_preta,População Preta,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,41.12446260206057,2010,610.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_preta,População Preta,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,41.12446260206057,2022,820.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_amarela,População Amarela,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,logistic,sgd,True,52.82916855036766,2000,110.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_amarela,População Amarela,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,logistic,sgd,True,52.82916855036766,2010,140.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_amarela,População Amarela,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,logistic,sgd,True,52.82916855036766,2022,45.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_indigena,População Indígena,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,193.37741285773146,2000,870.0,Valor
Cumaru do Norte,dados_cumaru_do_norte__populacao_indigena,População Indígena,dados_cumaru_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,193.37741285773146,2010,656.0,Valor
