municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Curionópolis,dados_curionopolis__populacao_total,População Total,dados_curionopolis,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8710672469300462,1991,19.82,Valor
Curionópolis,dados_curionopolis__populacao_total,População Total,dados_curionopolis,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8710672469300462,2000,18.12,Valor
Curionópolis,dados_curionopolis__populacao_total,População Total,dados_curionopolis,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8710672469300462,2010,18.28,Valor
Curionópolis,dados_curionopolis__populacao_total,População Total,dados_curionopolis,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8710672469300462,2022,19.98,Valor
Curionópolis,dados_curionopolis__populacao_urbana,População Urbana,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7048943528353071,2000,14.28,Valor
Curionópolis,dados_curionopolis__populacao_urbana,População Urbana,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7048943528353071,2010,14.92,Valor
Curionópolis,dados_curionopolis__populacao_urbana,População Urbana,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7048943528353071,2022,16.84,Valor
Curionópolis,dados_curionopolis__populacao_rural,População Rural,dados_curionopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.17155736151830872,2000,3.84,Valor
Curionópolis,dados_curionopolis__populacao_rural,População Rural,dados_curionopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.17155736151830872,2010,3.36,Valor
Curionópolis,dados_curionopolis__populacao_rural,População Rural,dados_curionopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.17155736151830872,2022,3.14,Valor
Curionópolis,dados_curionopolis__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curionopolis,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Curionópolis,dados_curionopolis__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curionopolis,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Curionópolis,dados_curionopolis__populacao_de_mulheres,População de Mulheres,dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,0.4313705590973515,2000,8.84,Valor
Curionópolis,dados_curionopolis__populacao_de_mulheres,População de Mulheres,dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,0.4313705590973515,2010,9.02,Valor
Curionópolis,dados_curionopolis__populacao_de_mulheres,População de Mulheres,dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,0.4313705590973515,2022,10.04,Valor
Curionópolis,dados_curionopolis__populacao_de_homens,População de Homens,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,0.3471841469389088,2000,9.28,Valor
Curionópolis,dados_curionopolis__populacao_de_homens,População de Homens,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,0.3471841469389088,2010,9.26,Valor
Curionópolis,dados_curionopolis__populacao_de_homens,População de Homens,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,0.3471841469389088,2022,9.94,Valor
Curionópolis,dados_curionopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curionopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.7168662790396544,2000,105.0,Valor
Curionópolis,dados_curionopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curionopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.7168662790396544,2010,102.7,Valor
Curionópolis,dados_curionopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curionopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.7168662790396544,2022,99.0,Valor
Curionópolis,dados_curionopolis__idade_mediana,Idade Mediana,dados_curionopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.00030127263387906095,2000,21.0,Valor
Curionópolis,dados_curionopolis__idade_mediana,Idade Mediana,dados_curionopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.00030127263387906095,2010,26.0,Valor
Curionópolis,dados_curionopolis__idade_mediana,Idade Mediana,dados_curionopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.00030127263387906095,2022,32.0,Valor
Curionópolis,dados_curionopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,9.399266168692586,2000,4.1,Valor
Curionópolis,dados_curionopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,9.399266168692586,2010,7.2,Valor
Curionópolis,dados_curionopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,9.399266168692586,2022,28.4,Valor
Curionópolis,dados_curionopolis__populacao_parda,População Parda,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5427394818407922,2000,12.84,Valor
Curionópolis,dados_curionopolis__populacao_parda,População Parda,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5427394818407922,2010,13.42,Valor
Curionópolis,dados_curionopolis__populacao_parda,População Parda,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5427394818407922,2022,14.92,Valor
Curionópolis,dados_curionopolis__populacao_branca,População Branca,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,0.316646918763041,2000,3.82,Valor
Curionópolis,dados_curionopolis__populacao_branca,População Branca,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,0.316646918763041,2010,3.21,Valor
Curionópolis,dados_curionopolis__populacao_branca,População Branca,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,0.316646918763041,2022,3.18,Valor
Curionópolis,dados_curionopolis__populacao_preta,População Preta,dados_curionopolis,Grupo 2 — 3 censos,3,identity,sgd,True,0.015027190010250324,2000,1.28,Valor
Curionópolis,dados_curionopolis__populacao_preta,População Preta,dados_curionopolis,Grupo 2 — 3 censos,3,identity,sgd,True,0.015027190010250324,2010,1.48,Valor
Curionópolis,dados_curionopolis__populacao_preta,População Preta,dados_curionopolis,Grupo 2 — 3 censos,3,identity,sgd,True,0.015027190010250324,2022,1.74,Valor
Curionópolis,dados_curionopolis__populacao_amarela,População Amarela,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,21.237680947703872,2000,92.0,Valor
Curionópolis,dados_curionopolis__populacao_amarela,População Amarela,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,21.237680947703872,2010,42.0,Valor
Curionópolis,dados_curionopolis__populacao_amarela,População Amarela,dados_curionopolis,Grupo 2 — 3 censos,3,tanh,adam,True,21.237680947703872,2022,31.0,Valor
Curionópolis,dados_curionopolis__populacao_indigena,População Indígena,dados_curionopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,20.3115633175841,2000,88.0,Valor
Curionópolis,dados_curionopolis__populacao_indigena,População Indígena,dados_curionopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,20.3115633175841,2010,128.0,Valor
Curionópolis,dados_curionopolis__populacao_indigena,População Indígena,dados_curionopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,20.3115633175841,2022,109.0,Valor
Curionópolis,dados_curionopolis__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_curionopolis,Grupo 2 — 3 censos,3,identity,adam,True,111.25067483805331,2000,142.8,Valor
Curionópolis,dados_curionopolis__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_curionopolis,Grupo 2 — 3 censos,3,identity,adam,True,111.25067483805331,2010,384.2,Valor
Curionópolis,dados_curionopolis__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_curionopolis,Grupo 2 — 3 censos,3,identity,adam,True,111.25067483805331,2022,820.0,Valor
Curionópolis,dados_curionopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.0198325607716232,2000,94.2,Valor
Curionópolis,dados_curionopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.0198325607716232,2010,93.8,Valor
Curionópolis,dados_curionopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_curionopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.0198325607716232,2022,91.2,Valor
Curionópolis,dados_curionopolis__2_trabalhos,2 trabalhos,dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,1.100420167461837,2000,5.1,Valor
Curionópolis,dados_curionopolis__2_trabalhos,2 trabalhos,dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,1.100420167461837,2010,5.4,Valor
Curionópolis,dados_curionopolis__2_trabalhos,2 trabalhos,dados_curionopolis,Grupo 2 — 3 censos,3,relu,sgd,True,1.100420167461837,2022,7.8,Valor
Curionópolis,dados_curionopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_curionopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.06090073824841972,2000,0.7,Valor
Curionópolis,dados_curionopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_curionopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.06090073824841972,2010,0.8,Valor
Curionópolis,dados_curionopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_curionopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.06090073824841972,2022,1.0,Valor
Curionópolis,dados_curionopolis__setor_privado,Setor privado,dados_curionopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.4085696959034755,2000,2.42,Valor
Curionópolis,dados_curionopolis__setor_privado,Setor privado,dados_curionopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.4085696959034755,2010,3.84,Valor
