municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Curralinho,dados_curralinho__populacao_total,População Total,dados_curralinho,Grupo 1 — 4 censos,4,identity,adam,True,0.386421429784388,1991,19.82,Valor
Curralinho,dados_curralinho__populacao_total,População Total,dados_curralinho,Grupo 1 — 4 censos,4,identity,adam,True,0.386421429784388,2000,23.328,Valor
Curralinho,dados_curralinho__populacao_total,População Total,dados_curralinho,Grupo 1 — 4 censos,4,identity,adam,True,0.386421429784388,2010,28.549,Valor
Curralinho,dados_curralinho__populacao_total,População Total,dados_curralinho,Grupo 1 — 4 censos,4,identity,adam,True,0.386421429784388,2022,33.791,Valor
Curralinho,dados_curralinho__populacao_urbana,População Urbana,dados_curralinho,Grupo 2 — 3 censos,3,relu,adam,True,1.0440332738518514,2000,9.82,Valor
Curralinho,dados_curralinho__populacao_urbana,População Urbana,dados_curralinho,Grupo 2 — 3 censos,3,relu,adam,True,1.0440332738518514,2010,13.42,Valor
Curralinho,dados_curralinho__populacao_urbana,População Urbana,dados_curralinho,Grupo 2 — 3 censos,3,relu,adam,True,1.0440332738518514,2022,15.84,Valor
Curralinho,dados_curralinho__populacao_rural,População Rural,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.6676103911914494,2000,13.508,Valor
Curralinho,dados_curralinho__populacao_rural,População Rural,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.6676103911914494,2010,15.129,Valor
Curralinho,dados_curralinho__populacao_rural,População Rural,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.6676103911914494,2022,17.951,Valor
Curralinho,dados_curralinho__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curralinho,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,420.0,Valor
Curralinho,dados_curralinho__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curralinho,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.28,Valor
Curralinho,dados_curralinho__populacao_de_mulheres,População de Mulheres,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.4680268560152114,2000,11.24,Valor
Curralinho,dados_curralinho__populacao_de_mulheres,População de Mulheres,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.4680268560152114,2010,13.92,Valor
Curralinho,dados_curralinho__populacao_de_mulheres,População de Mulheres,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.4680268560152114,2022,16.52,Valor
Curralinho,dados_curralinho__populacao_de_homens,População de Homens,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.3091813006068496,2000,12.088,Valor
Curralinho,dados_curralinho__populacao_de_homens,População de Homens,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.3091813006068496,2010,14.629,Valor
Curralinho,dados_curralinho__populacao_de_homens,População de Homens,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,0.3091813006068496,2022,17.271,Valor
Curralinho,dados_curralinho__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curralinho,Grupo 2 — 3 censos,3,tanh,adam,True,1.020582082420982,2000,107.5,Valor
Curralinho,dados_curralinho__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curralinho,Grupo 2 — 3 censos,3,tanh,adam,True,1.020582082420982,2010,105.1,Valor
Curralinho,dados_curralinho__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curralinho,Grupo 2 — 3 censos,3,tanh,adam,True,1.020582082420982,2022,104.5,Valor
Curralinho,dados_curralinho__idade_mediana,Idade Mediana,dados_curralinho,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.802498913376149,2000,17.0,Valor
Curralinho,dados_curralinho__idade_mediana,Idade Mediana,dados_curralinho,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.802498913376149,2010,19.0,Valor
Curralinho,dados_curralinho__idade_mediana,Idade Mediana,dados_curralinho,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.802498913376149,2022,24.0,Valor
Curralinho,dados_curralinho__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curralinho,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.257370110998361,2000,4.2,Valor
Curralinho,dados_curralinho__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curralinho,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.257370110998361,2010,6.2,Valor
Curralinho,dados_curralinho__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curralinho,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.257370110998361,2022,16.4,Valor
Curralinho,dados_curralinho__populacao_parda,População Parda,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,1.0821364552616164,2000,18.42,Valor
Curralinho,dados_curralinho__populacao_parda,População Parda,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,1.0821364552616164,2010,23.84,Valor
Curralinho,dados_curralinho__populacao_parda,População Parda,dados_curralinho,Grupo 2 — 3 censos,3,identity,adam,True,1.0821364552616164,2022,28.92,Valor
Curralinho,dados_curralinho__populacao_branca,População Branca,dados_curralinho,Grupo 2 — 3 censos,3,logistic,sgd,True,0.426502524366054,2000,3.82,Valor
Curralinho,dados_curralinho__populacao_branca,População Branca,dados_curralinho,Grupo 2 — 3 censos,3,logistic,sgd,True,0.426502524366054,2010,3.12,Valor
Curralinho,dados_curralinho__populacao_branca,População Branca,dados_curralinho,Grupo 2 — 3 censos,3,logistic,sgd,True,0.426502524366054,2022,3.24,Valor
