municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Curuá,dados_curua__populacao_total,População Total,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.8755032042377232,2000,9.21,Valor
Curuá,dados_curua__populacao_total,População Total,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.8755032042377232,2010,12.254,Valor
Curuá,dados_curua__populacao_total,População Total,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.8755032042377232,2022,14.582,Valor
Curuá,dados_curua__populacao_urbana,População Urbana,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.5119905143040496,2000,3.84,Valor
Curuá,dados_curua__populacao_urbana,População Urbana,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.5119905143040496,2010,5.62,Valor
Curuá,dados_curua__populacao_urbana,População Urbana,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.5119905143040496,2022,6.98,Valor
Curuá,dados_curua__populacao_rural,População Rural,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.3635126899336732,2000,5.37,Valor
Curuá,dados_curua__populacao_rural,População Rural,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.3635126899336732,2010,6.634,Valor
Curuá,dados_curua__populacao_rural,População Rural,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.3635126899336732,2022,7.602,Valor
Curuá,dados_curua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Curuá,dados_curua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Curuá,dados_curua__populacao_de_mulheres,População de Mulheres,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.43339068051981783,2000,4.38,Valor
Curuá,dados_curua__populacao_de_mulheres,População de Mulheres,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.43339068051981783,2010,5.89,Valor
Curuá,dados_curua__populacao_de_mulheres,População de Mulheres,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.43339068051981783,2022,7.08,Valor
Curuá,dados_curua__populacao_de_homens,População de Homens,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.4421125237179053,2000,4.83,Valor
Curuá,dados_curua__populacao_de_homens,População de Homens,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.4421125237179053,2010,6.364,Valor
Curuá,dados_curua__populacao_de_homens,População de Homens,dados_curua,Grupo 2 — 3 censos,3,relu,adam,True,0.4421125237179053,2022,7.502,Valor
Curuá,dados_curua__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curua,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5795913441852699,2000,110.3,Valor
