municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Curuçá,dados_curuca__populacao_total,População Total,dados_curuca,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.07054493484482727,1991,28.12,Valor
Curuçá,dados_curuca__populacao_total,População Total,dados_curuca,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.07054493484482727,2000,31.14,Valor
Curuçá,dados_curuca__populacao_total,População Total,dados_curuca,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.07054493484482727,2010,34.294,Valor
Curuçá,dados_curuca__populacao_total,População Total,dados_curuca,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.07054493484482727,2022,38.281,Valor
Curuçá,dados_curuca__populacao_urbana,População Urbana,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,1.141816399306612,2000,11.82,Valor
Curuçá,dados_curuca__populacao_urbana,População Urbana,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,1.141816399306612,2010,13.42,Valor
Curuçá,dados_curuca__populacao_urbana,População Urbana,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,1.141816399306612,2022,16.84,Valor
Curuçá,dados_curuca__populacao_rural,População Rural,dados_curuca,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.6339948654343045,2000,19.32,Valor
Curuçá,dados_curuca__populacao_rural,População Rural,dados_curuca,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.6339948654343045,2010,20.874,Valor
Curuçá,dados_curuca__populacao_rural,População Rural,dados_curuca,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.6339948654343045,2022,21.441,Valor
Curuçá,dados_curuca__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curuca,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,410.0,Valor
Curuçá,dados_curuca__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_curuca,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.12,Valor
Curuçá,dados_curuca__populacao_de_mulheres,População de Mulheres,dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151472813451751,2000,15.12,Valor
Curuçá,dados_curuca__populacao_de_mulheres,População de Mulheres,dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151472813451751,2010,16.82,Valor
Curuçá,dados_curuca__populacao_de_mulheres,População de Mulheres,dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151472813451751,2022,18.98,Valor
Curuçá,dados_curuca__populacao_de_homens,População de Homens,dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.06268745659021964,2000,16.02,Valor
Curuçá,dados_curuca__populacao_de_homens,População de Homens,dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.06268745659021964,2010,17.474,Valor
Curuçá,dados_curuca__populacao_de_homens,População de Homens,dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.06268745659021964,2022,19.301,Valor
Curuçá,dados_curuca__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.24403773472325932,2000,106.0,Valor
Curuçá,dados_curuca__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.24403773472325932,2010,103.9,Valor
Curuçá,dados_curuca__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_curuca,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.24403773472325932,2022,101.7,Valor
Curuçá,dados_curuca__idade_mediana,Idade Mediana,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2000,20.0,Valor
Curuçá,dados_curuca__idade_mediana,Idade Mediana,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2010,24.0,Valor
Curuçá,dados_curuca__idade_mediana,Idade Mediana,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2022,32.0,Valor
Curuçá,dados_curuca__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curuca,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.600953106599352,2000,7.2,Valor
Curuçá,dados_curuca__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curuca,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.600953106599352,2010,11.8,Valor
Curuçá,dados_curuca__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_curuca,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.600953106599352,2022,31.4,Valor
Curuçá,dados_curuca__populacao_parda,População Parda,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,0.3189056615853462,2000,22.82,Valor
Curuçá,dados_curuca__populacao_parda,População Parda,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,0.3189056615853462,2010,25.42,Valor
Curuçá,dados_curuca__populacao_parda,População Parda,dados_curuca,Grupo 2 — 3 censos,3,identity,adam,True,0.3189056615853462,2022,28.12,Valor
