municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_total,População Total,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.387946843989004,2000,25.263,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_total,População Total,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.387946843989004,2010,31.786,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_total,População Total,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.387946843989004,2022,28.192,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_urbana,População Urbana,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3039161532280077,2000,14.82,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_urbana,População Urbana,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3039161532280077,2010,20.12,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_urbana,População Urbana,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3039161532280077,2022,19.48,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_rural,População Rural,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.546905954144269,2000,10.443,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_rural,População Rural,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.546905954144269,2010,11.666,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_rural,População Rural,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.546905954144269,2022,8.712,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_eldorado_do_carajas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,420.0,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_eldorado_do_carajas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.24,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_de_mulheres,População de Mulheres,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.7040519542844936,2000,12.14,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_de_mulheres,População de Mulheres,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.7040519542844936,2010,15.42,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_de_mulheres,População de Mulheres,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.7040519542844936,2022,13.98,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_de_homens,População de Homens,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.809343937167802,2000,13.123,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_de_homens,População de Homens,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.809343937167802,2010,16.366,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__populacao_de_homens,População de Homens,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.809343937167802,2022,14.212,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.1378990837907328,2000,108.1,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.1378990837907328,2010,106.1,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.1378990837907328,2022,101.7,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__idade_mediana,Idade Mediana,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2000,20.0,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__idade_mediana,Idade Mediana,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2010,23.0,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__idade_mediana,Idade Mediana,dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2022,31.0,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,sgd,True,6.461175285473465,2000,4.2,Valor
Eldorado do Carajás,dados_eldorado_do_carajas__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_eldorado_do_carajas,Grupo 2 — 3 censos,3,relu,sgd,True,6.461175285473465,2010,7.1,Valor
