municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Faro,dados_faro__populacao_total,População Total,dados_faro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04200936081519006,2000,8.12,Valor
Faro,dados_faro__populacao_total,População Total,dados_faro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04200936081519006,2010,8.177,Valor
Faro,dados_faro__populacao_total,População Total,dados_faro,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04200936081519006,2022,8.109,Valor
Faro,dados_faro__populacao_urbana,População Urbana,dados_faro,Grupo 2 — 3 censos,3,relu,adam,True,0.2270661537105707,2000,3.42,Valor
Faro,dados_faro__populacao_urbana,População Urbana,dados_faro,Grupo 2 — 3 censos,3,relu,adam,True,0.2270661537105707,2010,4.21,Valor
Faro,dados_faro__populacao_urbana,População Urbana,dados_faro,Grupo 2 — 3 censos,3,relu,adam,True,0.2270661537105707,2022,4.82,Valor
Faro,dados_faro__populacao_rural,População Rural,dados_faro,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.15374415140154962,2000,4.7,Valor
Faro,dados_faro__populacao_rural,População Rural,dados_faro,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.15374415140154962,2010,3.967,Valor
Faro,dados_faro__populacao_rural,População Rural,dados_faro,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.15374415140154962,2022,3.289,Valor
Faro,dados_faro__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_faro,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Faro,dados_faro__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_faro,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Faro,dados_faro__populacao_de_mulheres,População de Mulheres,dados_faro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.032368220015945415,2000,3.92,Valor
Faro,dados_faro__populacao_de_mulheres,População de Mulheres,dados_faro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.032368220015945415,2010,3.98,Valor
Faro,dados_faro__populacao_de_mulheres,População de Mulheres,dados_faro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.032368220015945415,2022,3.98,Valor
Faro,dados_faro__populacao_de_homens,População de Homens,dados_faro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.03379623669377363,2000,4.2,Valor
Faro,dados_faro__populacao_de_homens,População de Homens,dados_faro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.03379623669377363,2010,4.197,Valor
Faro,dados_faro__populacao_de_homens,População de Homens,dados_faro,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.03379623669377363,2022,4.129,Valor
Faro,dados_faro__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_faro,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151362924616535,2000,107.1,Valor
Faro,dados_faro__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_faro,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151362924616535,2010,105.5,Valor
Faro,dados_faro__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_faro,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151362924616535,2022,103.7,Valor
Faro,dados_faro__idade_mediana,Idade Mediana,dados_faro,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2000,21.0,Valor
Faro,dados_faro__idade_mediana,Idade Mediana,dados_faro,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2010,24.0,Valor
