municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Goianésia do Pará,dados_goianesia_do_para__populacao_total,População Total,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,3.9413597680235455,2000,22.685,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_total,População Total,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,3.9413597680235455,2010,30.41,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_total,População Total,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,3.9413597680235455,2022,26.362,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_urbana,População Urbana,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,3.2723243350276223,2000,14.687,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_urbana,População Urbana,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,3.2723243350276223,2010,21.083,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_urbana,População Urbana,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,3.2723243350276223,2022,18.12,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_rural,População Rural,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8103277422160101,2000,7.998,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_rural,População Rural,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8103277422160101,2010,9.327,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_rural,População Rural,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8103277422160101,2022,8.242,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_de_mulheres,População de Mulheres,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.944689229370433,2000,10.84,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_de_mulheres,População de Mulheres,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.944689229370433,2010,14.68,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_de_mulheres,População de Mulheres,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.944689229370433,2022,12.84,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_de_homens,População de Homens,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,2.040773488528836,2000,11.845,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_de_homens,População de Homens,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,2.040773488528836,2010,15.73,Valor
Goianésia do Pará,dados_goianesia_do_para__populacao_de_homens,População de Homens,dados_goianesia_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,2.040773488528836,2022,13.522,Valor
Goianésia do Pará,dados_goianesia_do_para__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_goianesia_do_para,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5490865872467907,2000,109.2,Valor
