municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Gurupá,dados_gurupa__populacao_total,População Total,dados_gurupa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.5395706839877974,1991,22.14,Valor
Gurupá,dados_gurupa__populacao_total,População Total,dados_gurupa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.5395706839877974,2000,25.212,Valor
Gurupá,dados_gurupa__populacao_total,População Total,dados_gurupa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.5395706839877974,2010,29.062,Valor
Gurupá,dados_gurupa__populacao_total,População Total,dados_gurupa,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.5395706839877974,2022,31.545,Valor
Gurupá,dados_gurupa__populacao_urbana,População Urbana,dados_gurupa,Grupo 2 — 3 censos,3,relu,adam,True,0.9723281416279997,2000,10.12,Valor
Gurupá,dados_gurupa__populacao_urbana,População Urbana,dados_gurupa,Grupo 2 — 3 censos,3,relu,adam,True,0.9723281416279997,2010,13.48,Valor
Gurupá,dados_gurupa__populacao_urbana,População Urbana,dados_gurupa,Grupo 2 — 3 censos,3,relu,adam,True,0.9723281416279997,2022,15.82,Valor
Gurupá,dados_gurupa__populacao_rural,População Rural,dados_gurupa,Grupo 2 — 3 censos,3,logistic,adam,True,0.2132226350166467,2000,15.092,Valor
Gurupá,dados_gurupa__populacao_rural,População Rural,dados_gurupa,Grupo 2 — 3 censos,3,logistic,adam,True,0.2132226350166467,2010,15.582,Valor
Gurupá,dados_gurupa__populacao_rural,População Rural,dados_gurupa,Grupo 2 — 3 censos,3,logistic,adam,True,0.2132226350166467,2022,15.725,Valor
Gurupá,dados_gurupa__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_gurupa,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,420.0,Valor
Gurupá,dados_gurupa__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_gurupa,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.24,Valor
Gurupá,dados_gurupa__populacao_de_mulheres,População de Mulheres,dados_gurupa,Grupo 2 — 3 censos,3,relu,adam,True,0.5627242257407215,2000,12.18,Valor
Gurupá,dados_gurupa__populacao_de_mulheres,População de Mulheres,dados_gurupa,Grupo 2 — 3 censos,3,relu,adam,True,0.5627242257407215,2010,14.12,Valor
