municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Igarapé-Açu,dados_igarape_acu__populacao_total,População Total,dados_igarape_acu,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.2877331275685995,1991,28.41,Valor
Igarapé-Açu,dados_igarape_acu__populacao_total,População Total,dados_igarape_acu,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.2877331275685995,2000,32.827,Valor
Igarapé-Açu,dados_igarape_acu__populacao_total,População Total,dados_igarape_acu,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.2877331275685995,2010,35.887,Valor
Igarapé-Açu,dados_igarape_acu__populacao_total,População Total,dados_igarape_acu,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.2877331275685995,2022,35.792,Valor
Igarapé-Açu,dados_igarape_acu__populacao_urbana,População Urbana,dados_igarape_acu,Grupo 2 — 3 censos,3,logistic,adam,True,1.9295480160047092,2000,18.42,Valor
Igarapé-Açu,dados_igarape_acu__populacao_urbana,População Urbana,dados_igarape_acu,Grupo 2 — 3 censos,3,logistic,adam,True,1.9295480160047092,2010,22.84,Valor
Igarapé-Açu,dados_igarape_acu__populacao_urbana,População Urbana,dados_igarape_acu,Grupo 2 — 3 censos,3,logistic,adam,True,1.9295480160047092,2022,24.12,Valor
Igarapé-Açu,dados_igarape_acu__populacao_rural,População Rural,dados_igarape_acu,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.19599301521210202,2000,14.407,Valor
Igarapé-Açu,dados_igarape_acu__populacao_rural,População Rural,dados_igarape_acu,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.19599301521210202,2010,13.047,Valor
Igarapé-Açu,dados_igarape_acu__populacao_rural,População Rural,dados_igarape_acu,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.19599301521210202,2022,11.672,Valor
Igarapé-Açu,dados_igarape_acu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_igarape_acu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,640.0,Valor
Igarapé-Açu,dados_igarape_acu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_igarape_acu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.42,Valor
Igarapé-Açu,dados_igarape_acu__populacao_de_mulheres,População de Mulheres,dados_igarape_acu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.8717252195355082,2000,16.24,Valor
Igarapé-Açu,dados_igarape_acu__populacao_de_mulheres,População de Mulheres,dados_igarape_acu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.8717252195355082,2010,17.98,Valor
Igarapé-Açu,dados_igarape_acu__populacao_de_mulheres,População de Mulheres,dados_igarape_acu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.8717252195355082,2022,18.14,Valor
Igarapé-Açu,dados_igarape_acu__populacao_de_homens,População de Homens,dados_igarape_acu,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7916663314654157,2000,16.587,Valor
Igarapé-Açu,dados_igarape_acu__populacao_de_homens,População de Homens,dados_igarape_acu,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7916663314654157,2010,17.907,Valor
Igarapé-Açu,dados_igarape_acu__populacao_de_homens,População de Homens,dados_igarape_acu,Grupo 2 — 3 censos,3,logistic,sgd,True,0.7916663314654157,2022,17.652,Valor
Igarapé-Açu,dados_igarape_acu__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_igarape_acu,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5338338879928841,2000,102.1,Valor
Igarapé-Açu,dados_igarape_acu__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_igarape_acu,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5338338879928841,2010,99.6,Valor
Igarapé-Açu,dados_igarape_acu__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_igarape_acu,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5338338879928841,2022,97.3,Valor
Igarapé-Açu,dados_igarape_acu__idade_mediana,Idade Mediana,dados_igarape_acu,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2000,20.0,Valor
Igarapé-Açu,dados_igarape_acu__idade_mediana,Idade Mediana,dados_igarape_acu,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2010,25.0,Valor
Igarapé-Açu,dados_igarape_acu__idade_mediana,Idade Mediana,dados_igarape_acu,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2022,32.0,Valor
Igarapé-Açu,dados_igarape_acu__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_igarape_acu,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.186568417513489,2000,5.4,Valor
Igarapé-Açu,dados_igarape_acu__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_igarape_acu,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.186568417513489,2010,9.8,Valor
Igarapé-Açu,dados_igarape_acu__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_igarape_acu,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.186568417513489,2022,28.4,Valor
Igarapé-Açu,dados_igarape_acu__populacao_parda,População Parda,dados_igarape_acu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.864141490712374,2000,22.84,Valor
Igarapé-Açu,dados_igarape_acu__populacao_parda,População Parda,dados_igarape_acu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.864141490712374,2010,26.82,Valor
Igarapé-Açu,dados_igarape_acu__populacao_parda,População Parda,dados_igarape_acu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.864141490712374,2022,27.42,Valor
Igarapé-Açu,dados_igarape_acu__populacao_branca,População Branca,dados_igarape_acu,Grupo 2 — 3 censos,3,relu,adam,True,0.4334806105010737,2000,7.42,Valor
Igarapé-Açu,dados_igarape_acu__populacao_branca,População Branca,dados_igarape_acu,Grupo 2 — 3 censos,3,relu,adam,True,0.4334806105010737,2010,6.12,Valor
Igarapé-Açu,dados_igarape_acu__populacao_branca,População Branca,dados_igarape_acu,Grupo 2 — 3 censos,3,relu,adam,True,0.4334806105010737,2022,5.48,Valor
