municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Inhangapi,dados_inhangapi__populacao_total,População Total,dados_inhangapi,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.21206628115351966,1991,8.412,Valor
Inhangapi,dados_inhangapi__populacao_total,População Total,dados_inhangapi,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.21206628115351966,2000,8.82,Valor
Inhangapi,dados_inhangapi__populacao_total,População Total,dados_inhangapi,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.21206628115351966,2010,10.037,Valor
Inhangapi,dados_inhangapi__populacao_total,População Total,dados_inhangapi,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.21206628115351966,2022,11.586,Valor
Inhangapi,dados_inhangapi__populacao_urbana,População Urbana,dados_inhangapi,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.006101554131286324,2000,3.98,Valor
Inhangapi,dados_inhangapi__populacao_urbana,População Urbana,dados_inhangapi,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.006101554131286324,2010,5.12,Valor
Inhangapi,dados_inhangapi__populacao_urbana,População Urbana,dados_inhangapi,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.006101554131286324,2022,6.48,Valor
Inhangapi,dados_inhangapi__populacao_rural,População Rural,dados_inhangapi,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.06799517237766217,2000,4.84,Valor
Inhangapi,dados_inhangapi__populacao_rural,População Rural,dados_inhangapi,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.06799517237766217,2010,4.917,Valor
Inhangapi,dados_inhangapi__populacao_rural,População Rural,dados_inhangapi,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.06799517237766217,2022,5.106,Valor
Inhangapi,dados_inhangapi__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_inhangapi,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Inhangapi,dados_inhangapi__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_inhangapi,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Inhangapi,dados_inhangapi__populacao_de_mulheres,População de Mulheres,dados_inhangapi,Grupo 2 — 3 censos,3,identity,sgd,True,0.04374516459887209,2000,4.28,Valor
Inhangapi,dados_inhangapi__populacao_de_mulheres,População de Mulheres,dados_inhangapi,Grupo 2 — 3 censos,3,identity,sgd,True,0.04374516459887209,2010,4.89,Valor
