municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Ipixuna do Pará,dados_ipixuna_do_para__populacao_total,População Total,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,12.258471246867892,2000,35.811,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_total,População Total,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,12.258471246867892,2010,51.309,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_total,População Total,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,12.258471246867892,2022,30.329,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_urbana,População Urbana,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,5.0594949645366665,2000,12.42,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_urbana,População Urbana,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,5.0594949645366665,2010,21.82,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_urbana,População Urbana,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,5.0594949645366665,2022,16.12,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_rural,População Rural,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,8.076927676465326,2000,23.391,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_rural,População Rural,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,8.076927676465326,2010,29.489,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_rural,População Rural,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,8.076927676465326,2022,14.209,Valor
Ipixuna do Pará,dados_ipixuna_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ipixuna_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,680.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ipixuna_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.84,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_de_mulheres,População de Mulheres,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,5.894601952292938,2000,16.82,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_de_mulheres,População de Mulheres,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,5.894601952292938,2010,24.62,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_de_mulheres,População de Mulheres,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,5.894601952292938,2022,14.88,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_de_homens,População de Homens,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,6.363869294574958,2000,18.991,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_de_homens,População de Homens,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,6.363869294574958,2010,26.689,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_de_homens,População de Homens,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,6.363869294574958,2022,15.449,Valor
Ipixuna do Pará,dados_ipixuna_do_para__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ipixuna_do_para,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.6100948179851476,2000,112.9,Valor
Ipixuna do Pará,dados_ipixuna_do_para__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ipixuna_do_para,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.6100948179851476,2010,108.4,Valor
Ipixuna do Pará,dados_ipixuna_do_para__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ipixuna_do_para,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.6100948179851476,2022,103.8,Valor
Ipixuna do Pará,dados_ipixuna_do_para__idade_mediana,Idade Mediana,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,18.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__idade_mediana,Idade Mediana,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,21.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__idade_mediana,Idade Mediana,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,28.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,sgd,True,5.402575239084282,2000,4.1,Valor
Ipixuna do Pará,dados_ipixuna_do_para__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,sgd,True,5.402575239084282,2010,6.2,Valor
Ipixuna do Pará,dados_ipixuna_do_para__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,sgd,True,5.402575239084282,2022,18.8,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_parda,População Parda,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,9.039904975167564,2000,26.82,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_parda,População Parda,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,9.039904975167564,2010,38.42,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_parda,População Parda,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,9.039904975167564,2022,23.12,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_branca,População Branca,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.874881604099702,2000,5.82,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_branca,População Branca,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.874881604099702,2010,7.82,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_branca,População Branca,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.874881604099702,2022,4.24,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_preta,População Preta,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2569923680530322,2000,2.82,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_preta,População Preta,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2569923680530322,2010,4.62,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_preta,População Preta,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2569923680530322,2022,2.68,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_amarela,População Amarela,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,66.03658231146288,2000,180.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_amarela,População Amarela,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,66.03658231146288,2010,240.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_amarela,População Amarela,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,66.03658231146288,2022,110.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_indigena,População Indígena,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,22.821339136599807,2000,171.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_indigena,População Indígena,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,22.821339136599807,2010,209.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__populacao_indigena,População Indígena,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,22.821339136599807,2022,179.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,identity,adam,True,82.28914680119178,2000,102.4,Valor
Ipixuna do Pará,dados_ipixuna_do_para__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,identity,adam,True,82.28914680119178,2010,284.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,identity,adam,True,82.28914680119178,2022,610.0,Valor
Ipixuna do Pará,dados_ipixuna_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5113385322251863,2000,95.8,Valor
Ipixuna do Pará,dados_ipixuna_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5113385322251863,2010,94.6,Valor
Ipixuna do Pará,dados_ipixuna_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_ipixuna_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5113385322251863,2022,92.4,Valor
