municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Irituia,dados_irituia__populacao_total,População Total,dados_irituia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.7108669551899336,1991,28.41,Valor
Irituia,dados_irituia__populacao_total,População Total,dados_irituia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.7108669551899336,2000,30.12,Valor
Irituia,dados_irituia__populacao_total,População Total,dados_irituia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.7108669551899336,2010,31.364,Valor
Irituia,dados_irituia__populacao_total,População Total,dados_irituia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.7108669551899336,2022,30.82,Valor
Irituia,dados_irituia__populacao_urbana,População Urbana,dados_irituia,Grupo 2 — 3 censos,3,relu,adam,True,0.7153849478224524,2000,11.84,Valor
Irituia,dados_irituia__populacao_urbana,População Urbana,dados_irituia,Grupo 2 — 3 censos,3,relu,adam,True,0.7153849478224524,2010,14.28,Valor
Irituia,dados_irituia__populacao_urbana,População Urbana,dados_irituia,Grupo 2 — 3 censos,3,relu,adam,True,0.7153849478224524,2022,15.62,Valor
Irituia,dados_irituia__populacao_rural,População Rural,dados_irituia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.3422655798482648,2000,18.28,Valor
Irituia,dados_irituia__populacao_rural,População Rural,dados_irituia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.3422655798482648,2010,17.084,Valor
Irituia,dados_irituia__populacao_rural,População Rural,dados_irituia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.3422655798482648,2022,15.2,Valor
Irituia,dados_irituia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_irituia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,380.0,Valor
Irituia,dados_irituia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_irituia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.14,Valor
Irituia,dados_irituia__populacao_de_mulheres,População de Mulheres,dados_irituia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.3887201363479929,2000,14.62,Valor
Irituia,dados_irituia__populacao_de_mulheres,População de Mulheres,dados_irituia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.3887201363479929,2010,15.28,Valor
Irituia,dados_irituia__populacao_de_mulheres,População de Mulheres,dados_irituia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.3887201363479929,2022,15.24,Valor
Irituia,dados_irituia__populacao_de_homens,População de Homens,dados_irituia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.365345669625657,2000,15.5,Valor
Irituia,dados_irituia__populacao_de_homens,População de Homens,dados_irituia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.365345669625657,2010,16.084,Valor
Irituia,dados_irituia__populacao_de_homens,População de Homens,dados_irituia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.365345669625657,2022,15.58,Valor
Irituia,dados_irituia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.0059588433195283,2000,106.0,Valor
Irituia,dados_irituia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.0059588433195283,2010,105.3,Valor
Irituia,dados_irituia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.0059588433195283,2022,102.2,Valor
Irituia,dados_irituia__idade_mediana,Idade Mediana,dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,20.0,Valor
Irituia,dados_irituia__idade_mediana,Idade Mediana,dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,23.0,Valor
Irituia,dados_irituia__idade_mediana,Idade Mediana,dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,30.0,Valor
Irituia,dados_irituia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.442816776567408,2000,5.8,Valor
Irituia,dados_irituia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.442816776567408,2010,8.8,Valor
Irituia,dados_irituia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_irituia,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.442816776567408,2022,24.2,Valor
Irituia,dados_irituia__populacao_parda,População Parda,dados_irituia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.2582287871025624,2000,21.42,Valor
Irituia,dados_irituia__populacao_parda,População Parda,dados_irituia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.2582287871025624,2010,23.82,Valor
Irituia,dados_irituia__populacao_parda,População Parda,dados_irituia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.2582287871025624,2022,23.94,Valor
Irituia,dados_irituia__populacao_branca,População Branca,dados_irituia,Grupo 2 — 3 censos,3,relu,adam,True,0.4641619814686149,2000,6.82,Valor
Irituia,dados_irituia__populacao_branca,População Branca,dados_irituia,Grupo 2 — 3 censos,3,relu,adam,True,0.4641619814686149,2010,5.62,Valor
