municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Itaituba,dados_itaituba__populacao_total,População Total,dados_itaituba,Grupo 1 — 4 censos,4,identity,adam,True,7.269996956054825,1991,80.64,Valor
Itaituba,dados_itaituba__populacao_total,População Total,dados_itaituba,Grupo 1 — 4 censos,4,identity,adam,True,7.269996956054825,2000,94.704,Valor
Itaituba,dados_itaituba__populacao_total,População Total,dados_itaituba,Grupo 1 — 4 censos,4,identity,adam,True,7.269996956054825,2010,97.493,Valor
Itaituba,dados_itaituba__populacao_total,População Total,dados_itaituba,Grupo 1 — 4 censos,4,identity,adam,True,7.269996956054825,2022,123.325,Valor
Itaituba,dados_itaituba__populacao_urbana,População Urbana,dados_itaituba,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.361583617111416,2000,73.41,Valor
Itaituba,dados_itaituba__populacao_urbana,População Urbana,dados_itaituba,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.361583617111416,2010,78.21,Valor
Itaituba,dados_itaituba__populacao_urbana,População Urbana,dados_itaituba,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.361583617111416,2022,99.42,Valor
Itaituba,dados_itaituba__populacao_rural,População Rural,dados_itaituba,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4374198661952184,2000,21.294,Valor
Itaituba,dados_itaituba__populacao_rural,População Rural,dados_itaituba,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4374198661952184,2010,19.283,Valor
Itaituba,dados_itaituba__populacao_rural,População Rural,dados_itaituba,Grupo 2 — 3 censos,3,logistic,sgd,True,2.4374198661952184,2022,23.905,Valor
Itaituba,dados_itaituba__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_itaituba,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,4.21,Valor
Itaituba,dados_itaituba__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_itaituba,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,12.84,Valor
Itaituba,dados_itaituba__populacao_de_mulheres,População de Mulheres,dados_itaituba,Grupo 2 — 3 censos,3,relu,sgd,True,5.743811827281391,2000,46.12,Valor
Itaituba,dados_itaituba__populacao_de_mulheres,População de Mulheres,dados_itaituba,Grupo 2 — 3 censos,3,relu,sgd,True,5.743811827281391,2010,48.21,Valor
