municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Itupiranga,dados_itupiranga__populacao_total,População Total,dados_itupiranga,Grupo 1 — 4 censos,4,tanh,sgd,True,3.453976508307031,1991,32.84,Valor
Itupiranga,dados_itupiranga__populacao_total,População Total,dados_itupiranga,Grupo 1 — 4 censos,4,tanh,sgd,True,3.453976508307031,2000,38.083,Valor
Itupiranga,dados_itupiranga__populacao_total,População Total,dados_itupiranga,Grupo 1 — 4 censos,4,tanh,sgd,True,3.453976508307031,2010,51.22,Valor
Itupiranga,dados_itupiranga__populacao_total,População Total,dados_itupiranga,Grupo 1 — 4 censos,4,tanh,sgd,True,3.453976508307031,2022,49.755,Valor
Itupiranga,dados_itupiranga__populacao_urbana,População Urbana,dados_itupiranga,Grupo 2 — 3 censos,3,tanh,lbfgs,True,4.470360729292696,2000,18.42,Valor
Itupiranga,dados_itupiranga__populacao_urbana,População Urbana,dados_itupiranga,Grupo 2 — 3 censos,3,tanh,lbfgs,True,4.470360729292696,2010,26.82,Valor
Itupiranga,dados_itupiranga__populacao_urbana,População Urbana,dados_itupiranga,Grupo 2 — 3 censos,3,tanh,lbfgs,True,4.470360729292696,2022,27.12,Valor
Itupiranga,dados_itupiranga__populacao_rural,População Rural,dados_itupiranga,Grupo 2 — 3 censos,3,logistic,sgd,True,2.563678347493609,2000,19.663,Valor
Itupiranga,dados_itupiranga__populacao_rural,População Rural,dados_itupiranga,Grupo 2 — 3 censos,3,logistic,sgd,True,2.563678347493609,2010,24.4,Valor
Itupiranga,dados_itupiranga__populacao_rural,População Rural,dados_itupiranga,Grupo 2 — 3 censos,3,logistic,sgd,True,2.563678347493609,2022,22.635,Valor
Itupiranga,dados_itupiranga__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_itupiranga,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,920.0,Valor
Itupiranga,dados_itupiranga__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_itupiranga,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,2.28,Valor
Itupiranga,dados_itupiranga__populacao_de_mulheres,População de Mulheres,dados_itupiranga,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.7770945711668538,2000,18.62,Valor
Itupiranga,dados_itupiranga__populacao_de_mulheres,População de Mulheres,dados_itupiranga,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.7770945711668538,2010,25.12,Valor
Itupiranga,dados_itupiranga__populacao_de_mulheres,População de Mulheres,dados_itupiranga,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.7770945711668538,2022,24.81,Valor
Itupiranga,dados_itupiranga__populacao_de_homens,População de Homens,dados_itupiranga,Grupo 2 — 3 censos,3,logistic,sgd,True,4.0220109982307966,2000,19.463,Valor
Itupiranga,dados_itupiranga__populacao_de_homens,População de Homens,dados_itupiranga,Grupo 2 — 3 censos,3,logistic,sgd,True,4.0220109982307966,2010,26.1,Valor
Itupiranga,dados_itupiranga__populacao_de_homens,População de Homens,dados_itupiranga,Grupo 2 — 3 censos,3,logistic,sgd,True,4.0220109982307966,2022,24.945,Valor
Itupiranga,dados_itupiranga__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_itupiranga,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.2601870629307967,2000,104.5,Valor
Itupiranga,dados_itupiranga__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_itupiranga,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.2601870629307967,2010,103.9,Valor
