municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Juruti,dados_juruti__populacao_total,População Total,dados_juruti,Grupo 1 — 4 censos,4,relu,adam,True,1.5380076258519075,1991,28.12,Valor
Juruti,dados_juruti__populacao_total,População Total,dados_juruti,Grupo 1 — 4 censos,4,relu,adam,True,1.5380076258519075,2000,34.343,Valor
Juruti,dados_juruti__populacao_total,População Total,dados_juruti,Grupo 1 — 4 censos,4,relu,adam,True,1.5380076258519075,2010,47.086,Valor
Juruti,dados_juruti__populacao_total,População Total,dados_juruti,Grupo 1 — 4 censos,4,relu,adam,True,1.5380076258519075,2022,58.202,Valor
Juruti,dados_juruti__populacao_urbana,População Urbana,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.1166439869387699,2000,14.82,Valor
Juruti,dados_juruti__populacao_urbana,População Urbana,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.1166439869387699,2010,22.12,Valor
Juruti,dados_juruti__populacao_urbana,População Urbana,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.1166439869387699,2022,29.41,Valor
Juruti,dados_juruti__populacao_rural,População Rural,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,1.574199997874788,2000,19.523,Valor
Juruti,dados_juruti__populacao_rural,População Rural,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,1.574199997874788,2010,24.966,Valor
Juruti,dados_juruti__populacao_rural,População Rural,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,1.574199997874788,2022,28.792,Valor
Juruti,dados_juruti__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_juruti,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,620.0,Valor
Juruti,dados_juruti__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_juruti,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.84,Valor
Juruti,dados_juruti__populacao_de_mulheres,População de Mulheres,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.573465380939427,2000,16.82,Valor
Juruti,dados_juruti__populacao_de_mulheres,População de Mulheres,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.573465380939427,2010,23.12,Valor
Juruti,dados_juruti__populacao_de_mulheres,População de Mulheres,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.573465380939427,2022,28.61,Valor
Juruti,dados_juruti__populacao_de_homens,População de Homens,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.600516816606845,2000,17.523,Valor
Juruti,dados_juruti__populacao_de_homens,População de Homens,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.600516816606845,2010,23.966,Valor
Juruti,dados_juruti__populacao_de_homens,População de Homens,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.600516816606845,2022,29.592,Valor
Juruti,dados_juruti__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.13953531321433368,2000,104.2,Valor
Juruti,dados_juruti__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.13953531321433368,2010,103.7,Valor
Juruti,dados_juruti__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.13953531321433368,2022,103.4,Valor
Juruti,dados_juruti__idade_mediana,Idade Mediana,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2000,18.0,Valor
Juruti,dados_juruti__idade_mediana,Idade Mediana,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2010,21.0,Valor
Juruti,dados_juruti__idade_mediana,Idade Mediana,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2022,26.0,Valor
Juruti,dados_juruti__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.445385861779621,2000,5.2,Valor
Juruti,dados_juruti__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.445385861779621,2010,8.8,Valor
Juruti,dados_juruti__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.445385861779621,2022,20.8,Valor
Juruti,dados_juruti__populacao_parda,População Parda,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,3.645296532514189,2000,24.12,Valor
Juruti,dados_juruti__populacao_parda,População Parda,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,3.645296532514189,2010,36.82,Valor
Juruti,dados_juruti__populacao_parda,População Parda,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,3.645296532514189,2022,46.82,Valor
Juruti,dados_juruti__populacao_branca,População Branca,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.26488305957788505,2000,6.82,Valor
Juruti,dados_juruti__populacao_branca,População Branca,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.26488305957788505,2010,6.12,Valor
Juruti,dados_juruti__populacao_branca,População Branca,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.26488305957788505,2022,5.82,Valor
Juruti,dados_juruti__populacao_preta,População Preta,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.3815079996538602,2000,2.12,Valor
Juruti,dados_juruti__populacao_preta,População Preta,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.3815079996538602,2010,3.42,Valor
Juruti,dados_juruti__populacao_preta,População Preta,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,0.3815079996538602,2022,4.12,Valor
Juruti,dados_juruti__populacao_amarela,População Amarela,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,26.41461130262901,2000,80.0,Valor
Juruti,dados_juruti__populacao_amarela,População Amarela,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,26.41461130262901,2010,100.0,Valor
Juruti,dados_juruti__populacao_amarela,População Amarela,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,26.41461130262901,2022,50.0,Valor
Juruti,dados_juruti__populacao_indigena,População Indígena,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,419.93486765177175,2000,1.203,Valor
Juruti,dados_juruti__populacao_indigena,População Indígena,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,419.93486765177175,2010,626.0,Valor
Juruti,dados_juruti__populacao_indigena,População Indígena,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,419.93486765177175,2022,1.392,Valor
Juruti,dados_juruti__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,168.97677518220118,2000,118.4,Valor
Juruti,dados_juruti__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,168.97677518220118,2010,310.2,Valor
Juruti,dados_juruti__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,168.97677518220118,2022,780.0,Valor
Juruti,dados_juruti__apenas_1_trabalho,Apenas 1 trabalho,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.3264519583650174,2000,95.8,Valor
Juruti,dados_juruti__apenas_1_trabalho,Apenas 1 trabalho,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.3264519583650174,2010,95.1,Valor
Juruti,dados_juruti__apenas_1_trabalho,Apenas 1 trabalho,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.3264519583650174,2022,91.4,Valor
Juruti,dados_juruti__2_trabalhos,2 trabalhos,dados_juruti,Grupo 2 — 3 censos,3,relu,sgd,True,1.4379018636578378,2000,3.8,Valor
Juruti,dados_juruti__2_trabalhos,2 trabalhos,dados_juruti,Grupo 2 — 3 censos,3,relu,sgd,True,1.4379018636578378,2010,4.4,Valor
Juruti,dados_juruti__2_trabalhos,2 trabalhos,dados_juruti,Grupo 2 — 3 censos,3,relu,sgd,True,1.4379018636578378,2022,7.8,Valor
Juruti,dados_juruti__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.1101397426305167,2000,0.4,Valor
Juruti,dados_juruti__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.1101397426305167,2010,0.5,Valor
Juruti,dados_juruti__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_juruti,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.1101397426305167,2022,0.8,Valor
Juruti,dados_juruti__setor_privado,Setor privado,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,0.24202238169346968,2000,2.82,Valor
Juruti,dados_juruti__setor_privado,Setor privado,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,0.24202238169346968,2010,8.42,Valor
Juruti,dados_juruti__setor_privado,Setor privado,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,0.24202238169346968,2022,14.82,Valor
Juruti,dados_juruti__conta_propria,Conta própria,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,1.2786262835550748,2000,6.82,Valor
Juruti,dados_juruti__conta_propria,Conta própria,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,1.2786262835550748,2010,11.2,Valor
Juruti,dados_juruti__conta_propria,Conta própria,dados_juruti,Grupo 2 — 3 censos,3,relu,adam,True,1.2786262835550748,2022,13.82,Valor
Juruti,dados_juruti__setor_publico,Setor público,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,0.06351770376703418,2000,1.12,Valor
Juruti,dados_juruti__setor_publico,Setor público,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,0.06351770376703418,2010,2.64,Valor
Juruti,dados_juruti__setor_publico,Setor público,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,0.06351770376703418,2022,4.38,Valor
Juruti,dados_juruti__trabalhador_domestico,Trabalhador doméstico,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,516.9698494430289,2000,420.0,Valor
Juruti,dados_juruti__trabalhador_domestico,Trabalhador doméstico,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,516.9698494430289,2010,980.0,Valor
Juruti,dados_juruti__trabalhador_domestico,Trabalhador doméstico,dados_juruti,Grupo 2 — 3 censos,3,logistic,sgd,True,516.9698494430289,2022,1.42,Valor
Juruti,dados_juruti__empregador,Empregador,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,38.12552568589564,2000,180.0,Valor
Juruti,dados_juruti__empregador,Empregador,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,38.12552568589564,2010,480.0,Valor
Juruti,dados_juruti__empregador,Empregador,dados_juruti,Grupo 2 — 3 censos,3,identity,adam,True,38.12552568589564,2022,890.0,Valor
Juruti,dados_juruti__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_juruti,Grupo 2 — 3 censos,3,tanh,adam,True,433.7475146621309,2000,3.12,Valor
