municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_total,População Total,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,4,identity,adam,True,0.20993968326202062,1991,18.42,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_total,População Total,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,4,identity,adam,True,0.20993968326202062,2000,21.28,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_total,População Total,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,4,identity,adam,True,0.20993968326202062,2010,25.021,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_total,População Total,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,4,identity,adam,True,0.20993968326202062,2022,29.283,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_urbana,População Urbana,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.4497171202581794,2000,8.42,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_urbana,População Urbana,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.4497171202581794,2010,11.28,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_urbana,População Urbana,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.4497171202581794,2022,14.12,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_rural,População Rural,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.27781932354655936,2000,12.86,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_rural,População Rural,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.27781932354655936,2010,13.741,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_rural,População Rural,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.27781932354655936,2022,15.163,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_limoeiro_do_ajuru,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,310.0,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_limoeiro_do_ajuru,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.02,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_de_mulheres,População de Mulheres,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.036039928703985424,2000,10.28,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_de_mulheres,População de Mulheres,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.036039928703985424,2010,12.12,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_de_mulheres,População de Mulheres,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.036039928703985424,2022,14.28,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_de_homens,População de Homens,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.1358578680076358,2000,11.0,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_de_homens,População de Homens,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.1358578680076358,2010,12.901,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_de_homens,População de Homens,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.1358578680076358,2022,15.003,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.3335787743168055,2000,107.0,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.3335787743168055,2010,106.4,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.3335787743168055,2022,105.1,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__idade_mediana,Idade Mediana,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,1.0660922050348898,2000,17.0,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__idade_mediana,Idade Mediana,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,1.0660922050348898,2010,20.0,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__idade_mediana,Idade Mediana,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,1.0660922050348898,2022,25.0,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,relu,sgd,True,4.476799097824152,2000,4.2,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,relu,sgd,True,4.476799097824152,2010,6.2,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,relu,sgd,True,4.476799097824152,2022,16.8,Valor
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_parda,População Parda,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,3,identity,adam,True,0.48594144894719093,2000,16.82,Valor
