municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Magalhães Barata,dados_magalhaes_barata__populacao_total,População Total,dados_magalhaes_barata,Grupo 1 — 4 censos,4,tanh,lbfgs,True,0.10015231400038571,1991,8.412,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_total,População Total,dados_magalhaes_barata,Grupo 1 — 4 censos,4,tanh,lbfgs,True,0.10015231400038571,2000,8.12,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_total,População Total,dados_magalhaes_barata,Grupo 1 — 4 censos,4,tanh,lbfgs,True,0.10015231400038571,2010,8.115,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_total,População Total,dados_magalhaes_barata,Grupo 1 — 4 censos,4,tanh,lbfgs,True,0.10015231400038571,2022,8.115,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_urbana,População Urbana,dados_magalhaes_barata,Grupo 2 — 3 censos,3,identity,adam,True,0.15226501704855058,2000,3.98,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_urbana,População Urbana,dados_magalhaes_barata,Grupo 2 — 3 censos,3,identity,adam,True,0.15226501704855058,2010,4.28,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_urbana,População Urbana,dados_magalhaes_barata,Grupo 2 — 3 censos,3,identity,adam,True,0.15226501704855058,2022,4.84,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_rural,População Rural,dados_magalhaes_barata,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.1302898332247541,2000,4.14,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_rural,População Rural,dados_magalhaes_barata,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.1302898332247541,2010,3.835,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_rural,População Rural,dados_magalhaes_barata,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.1302898332247541,2022,3.275,Valor
Magalhães Barata,dados_magalhaes_barata__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_magalhaes_barata,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Magalhães Barata,dados_magalhaes_barata__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_magalhaes_barata,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_de_mulheres,População de Mulheres,dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04044973019613529,2000,3.98,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_de_mulheres,População de Mulheres,dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04044973019613529,2010,3.94,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_de_mulheres,População de Mulheres,dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04044973019613529,2022,4.02,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_de_homens,População de Homens,dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,0.041272850430941865,2000,4.14,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_de_homens,População de Homens,dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,0.041272850430941865,2010,4.175,Valor
Magalhães Barata,dados_magalhaes_barata__populacao_de_homens,População de Homens,dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,0.041272850430941865,2022,4.095,Valor
Magalhães Barata,dados_magalhaes_barata__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,2.049459263484323,2000,104.0,Valor
Magalhães Barata,dados_magalhaes_barata__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,2.049459263484323,2010,106.0,Valor
Magalhães Barata,dados_magalhaes_barata__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_magalhaes_barata,Grupo 2 — 3 censos,3,logistic,sgd,True,2.049459263484323,2022,101.9,Valor
Magalhães Barata,dados_magalhaes_barata__idade_mediana,Idade Mediana,dados_magalhaes_barata,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678772,2000,22.0,Valor
