municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Maraba,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.576882748080944,1991,28.42,Valor
Maraba,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.576882748080944,2000,41.25,Valor
Maraba,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.576882748080944,2010,62.81,Valor
Maraba,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.576882748080944,2022,94.82,Valor
Maraba,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.6732110926735615,1991,28.15,Valor
Maraba,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.6732110926735615,2000,40.89,Valor
Maraba,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.6732110926735615,2010,62.24,Valor
Maraba,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,5.6732110926735615,2022,94.38,Valor
Maraba,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,logistic,lbfgs,True,115.18381122512197,1991,270.0,Valor
Maraba,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,logistic,lbfgs,True,115.18381122512197,2000,360.0,Valor
Maraba,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,logistic,lbfgs,True,115.18381122512197,2010,570.0,Valor
Maraba,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,logistic,lbfgs,True,115.18381122512197,2022,440.0,Valor
Maraba,educacao__populacao_com_superior_completo,População com Superior Completo,educacao,Grupo 2 — 3 censos,3,identity,adam,True,1.364435453878004,2000,4.82,Valor
Maraba,educacao__populacao_com_superior_completo,População com Superior Completo,educacao,Grupo 2 — 3 censos,3,identity,adam,True,1.364435453878004,2010,13.82,Valor
Maraba,educacao__populacao_com_superior_completo,População com Superior Completo,educacao,Grupo 2 — 3 censos,3,identity,adam,True,1.364435453878004,2022,26.41,Valor
Maraba,favelasecomunidade__numero_de_favelas_comunidades,Número de Favelas / Comunidades,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,8.0,Valor
Maraba,favelasecomunidade__numero_de_favelas_comunidades,Número de Favelas / Comunidades,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,18.0,Valor
Maraba,favelasecomunidade__populacao_residente_em_favelas,População Residente em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,21.45,Valor
Maraba,favelasecomunidade__populacao_residente_em_favelas,População Residente em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,48.21,Valor
Maraba,favelasecomunidade__total_de_domicilios_em_favelas,Total de Domicílios em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,4.82,Valor
Maraba,favelasecomunidade__total_de_domicilios_em_favelas,Total de Domicílios em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,12.84,Valor
Maraba,favelasecomunidade__idade_mediana,Idade Mediana,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,22.0,Valor
Maraba,favelasecomunidade__idade_mediana,Idade Mediana,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,26.0,Valor
Maraba,favelasecomunidade__populacao_parda,População Parda,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,16.21,Valor
Maraba,favelasecomunidade__populacao_parda,População Parda,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,36.42,Valor
Maraba,favelasecomunidade__populacao_branca,População Branca,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,2.84,Valor
Maraba,favelasecomunidade__populacao_branca,População Branca,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,5.21,Valor
Maraba,favelasecomunidade__populacao_preta,População Preta,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,1.98,Valor
Maraba,favelasecomunidade__populacao_preta,População Preta,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,5.12,Valor
Maraba,favelasecomunidade__populacao_amarela,População Amarela,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,120.0,Valor
Maraba,favelasecomunidade__populacao_amarela,População Amarela,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,140.0,Valor
Maraba,favelasecomunidade__populacao_indigena,População Indígena,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,300.0,Valor
Maraba,favelasecomunidade__populacao_indigena,População Indígena,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.32,Valor
Maraba,indigenas__populacao_indigena_total,População Indígena Total,indigenas,Grupo 2 — 3 censos,3,logistic,sgd,True,529.1546118253428,2000,670.0,Valor
Maraba,indigenas__populacao_indigena_total,População Indígena Total,indigenas,Grupo 2 — 3 censos,3,logistic,sgd,True,529.1546118253428,2010,939.0,Valor
Maraba,indigenas__populacao_indigena_total,População Indígena Total,indigenas,Grupo 2 — 3 censos,3,logistic,sgd,True,529.1546118253428,2022,3.193,Valor
Maraba,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,logistic,lbfgs,True,9.340554313961817,1991,122.231,Valor
Maraba,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,logistic,lbfgs,True,9.340554313961817,2000,168.02,Valor
Maraba,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,logistic,lbfgs,True,9.340554313961817,2010,233.669,Valor
Maraba,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,logistic,lbfgs,True,9.340554313961817,2022,266.533,Valor
Maraba,populacao__populacao_urbana,População Urbana,populacao,Grupo 2 — 3 censos,3,relu,adam,True,17.48624071250443,2000,139.112,Valor
Maraba,populacao__populacao_urbana,População Urbana,populacao,Grupo 2 — 3 censos,3,relu,adam,True,17.48624071250443,2010,198.8,Valor
Maraba,populacao__populacao_urbana,População Urbana,populacao,Grupo 2 — 3 censos,3,relu,adam,True,17.48624071250443,2022,232.11,Valor
Maraba,populacao__populacao_rural,População Rural,populacao,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.562540066685237,2000,28.908,Valor
Maraba,populacao__populacao_rural,População Rural,populacao,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.562540066685237,2010,34.869,Valor
Maraba,populacao__populacao_rural,População Rural,populacao,Grupo 2 — 3 censos,3,tanh,lbfgs,True,3.562540066685237,2022,34.423,Valor
Maraba,populacao__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,populacao,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,21.45,Valor
Maraba,populacao__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,populacao,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,48.21,Valor
Maraba,populacao__populacao_de_mulheres,População de Mulheres,populacao,Grupo 2 — 3 censos,3,relu,adam,True,9.76034194901583,2000,83.12,Valor
Maraba,populacao__populacao_de_mulheres,População de Mulheres,populacao,Grupo 2 — 3 censos,3,relu,adam,True,9.76034194901583,2010,116.42,Valor
Maraba,populacao__populacao_de_mulheres,População de Mulheres,populacao,Grupo 2 — 3 censos,3,relu,adam,True,9.76034194901583,2022,134.82,Valor
Maraba,populacao__populacao_de_homens,População de Homens,populacao,Grupo 2 — 3 censos,3,relu,adam,True,11.44507522475484,2000,84.9,Valor
Maraba,populacao__populacao_de_homens,População de Homens,populacao,Grupo 2 — 3 censos,3,relu,adam,True,11.44507522475484,2010,117.249,Valor
Maraba,populacao__populacao_de_homens,População de Homens,populacao,Grupo 2 — 3 censos,3,relu,adam,True,11.44507522475484,2022,131.713,Valor
Maraba,populacao__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),populacao,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7653655553718343,2000,102.1,Valor
Maraba,populacao__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),populacao,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7653655553718343,2010,100.7,Valor
Maraba,populacao__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),populacao,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7653655553718343,2022,97.7,Valor
Maraba,populacao__idade_mediana,Idade Mediana,populacao,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2000,22.0,Valor
Maraba,populacao__idade_mediana,Idade Mediana,populacao,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2010,25.0,Valor
Maraba,populacao__idade_mediana,Idade Mediana,populacao,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2022,31.0,Valor
Maraba,populacao__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),populacao,Grupo 2 — 3 censos,3,identity,adam,True,5.800498961043194,2000,12.4,Valor
Maraba,populacao__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),populacao,Grupo 2 — 3 censos,3,identity,adam,True,5.800498961043194,2010,20.8,Valor
Maraba,populacao__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),populacao,Grupo 2 — 3 censos,3,identity,adam,True,5.800498961043194,2022,38.5,Valor
Maraba,populacao__populacao_parda,População Parda,populacao,Grupo 2 — 3 censos,3,relu,adam,True,17.239140182133962,2000,112.4,Valor
Maraba,populacao__populacao_parda,População Parda,populacao,Grupo 2 — 3 censos,3,relu,adam,True,17.239140182133962,2010,162.81,Valor
Maraba,populacao__populacao_parda,População Parda,populacao,Grupo 2 — 3 censos,3,relu,adam,True,17.239140182133962,2022,186.21,Valor
Maraba,populacao__populacao_branca,População Branca,populacao,Grupo 2 — 3 censos,3,relu,adam,True,2.394566745599642,2000,41.25,Valor
Maraba,populacao__populacao_branca,População Branca,populacao,Grupo 2 — 3 censos,3,relu,adam,True,2.394566745599642,2010,48.21,Valor
Maraba,populacao__populacao_branca,População Branca,populacao,Grupo 2 — 3 censos,3,relu,adam,True,2.394566745599642,2022,51.42,Valor
