municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Maracanã,dados_maracana__populacao_total,População Total,dados_maracana,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.9137009069336415,1991,27.571,Valor
Maracanã,dados_maracana__populacao_total,População Total,dados_maracana,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.9137009069336415,2000,28.328,Valor
Maracanã,dados_maracana__populacao_total,População Total,dados_maracana,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.9137009069336415,2010,28.329,Valor
Maracanã,dados_maracana__populacao_total,População Total,dados_maracana,Grupo 1 — 4 censos,4,relu,lbfgs,True,0.9137009069336415,2022,25.971,Valor
Maracanã,dados_maracana__populacao_urbana,População Urbana,dados_maracana,Grupo 2 — 3 censos,3,relu,adam,True,0.3997029377030348,2000,9.82,Valor
Maracanã,dados_maracana__populacao_urbana,População Urbana,dados_maracana,Grupo 2 — 3 censos,3,relu,adam,True,0.3997029377030348,2010,10.84,Valor
Maracanã,dados_maracana__populacao_urbana,População Urbana,dados_maracana,Grupo 2 — 3 censos,3,relu,adam,True,0.3997029377030348,2022,11.24,Valor
Maracanã,dados_maracana__populacao_rural,População Rural,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7808440238664248,2000,18.508,Valor
Maracanã,dados_maracana__populacao_rural,População Rural,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7808440238664248,2010,17.489,Valor
Maracanã,dados_maracana__populacao_rural,População Rural,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7808440238664248,2022,14.731,Valor
Maracanã,dados_maracana__populacao_de_mulheres,População de Mulheres,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.45338640921122614,2000,13.682,Valor
Maracanã,dados_maracana__populacao_de_mulheres,População de Mulheres,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.45338640921122614,2010,13.682,Valor
Maracanã,dados_maracana__populacao_de_mulheres,População de Mulheres,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.45338640921122614,2022,12.82,Valor
Maracanã,dados_maracana__populacao_de_homens,População de Homens,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.8073146179834657,2000,14.646,Valor
Maracanã,dados_maracana__populacao_de_homens,População de Homens,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.8073146179834657,2010,14.647,Valor
Maracanã,dados_maracana__populacao_de_homens,População de Homens,dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.8073146179834657,2022,13.151,Valor
Maracanã,dados_maracana__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.504633756969284,2000,107.0,Valor
Maracanã,dados_maracana__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_maracana,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.504633756969284,2010,107.1,Valor
