municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Medicilândia,dados_medicilandia__populacao_total,População Total,dados_medicilandia,Grupo 1 — 4 censos,4,logistic,adam,True,1.5346781986535731,1991,17.21,Valor
Medicilândia,dados_medicilandia__populacao_total,População Total,dados_medicilandia,Grupo 1 — 4 censos,4,logistic,adam,True,1.5346781986535731,2000,21.455,Valor
Medicilândia,dados_medicilandia__populacao_total,População Total,dados_medicilandia,Grupo 1 — 4 censos,4,logistic,adam,True,1.5346781986535731,2010,27.328,Valor
Medicilândia,dados_medicilandia__populacao_total,População Total,dados_medicilandia,Grupo 1 — 4 censos,4,logistic,adam,True,1.5346781986535731,2022,27.094,Valor
Medicilândia,dados_medicilandia__populacao_urbana,População Urbana,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,adam,True,2.5220780523516493,2000,7.42,Valor
Medicilândia,dados_medicilandia__populacao_urbana,População Urbana,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,adam,True,2.5220780523516493,2010,12.82,Valor
Medicilândia,dados_medicilandia__populacao_urbana,População Urbana,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,adam,True,2.5220780523516493,2022,14.12,Valor
Medicilândia,dados_medicilandia__populacao_rural,População Rural,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.85682300411433,2000,14.035,Valor
Medicilândia,dados_medicilandia__populacao_rural,População Rural,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.85682300411433,2010,14.508,Valor
Medicilândia,dados_medicilandia__populacao_rural,População Rural,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.85682300411433,2022,12.974,Valor
Medicilândia,dados_medicilandia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_medicilandia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,210.0,Valor
Medicilândia,dados_medicilandia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_medicilandia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,580.0,Valor
Medicilândia,dados_medicilandia__populacao_de_mulheres,População de Mulheres,dados_medicilandia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.5894259774866348,2000,10.12,Valor
Medicilândia,dados_medicilandia__populacao_de_mulheres,População de Mulheres,dados_medicilandia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.5894259774866348,2010,13.12,Valor
Medicilândia,dados_medicilandia__populacao_de_mulheres,População de Mulheres,dados_medicilandia,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.5894259774866348,2022,13.24,Valor
Medicilândia,dados_medicilandia__populacao_de_homens,População de Homens,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.7886643904086768,2000,11.335,Valor
Medicilândia,dados_medicilandia__populacao_de_homens,População de Homens,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.7886643904086768,2010,14.208,Valor
Medicilândia,dados_medicilandia__populacao_de_homens,População de Homens,dados_medicilandia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.7886643904086768,2022,13.854,Valor
Medicilândia,dados_medicilandia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_medicilandia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5643380033620721,2000,112.0,Valor
Medicilândia,dados_medicilandia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_medicilandia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.5643380033620721,2010,108.3,Valor
