municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Melgaço,dados_melgaco__populacao_total,População Total,dados_melgaco,Grupo 1 — 4 censos,4,relu,adam,True,1.6202531445231734,1991,15.12,Valor
Melgaço,dados_melgaco__populacao_total,População Total,dados_melgaco,Grupo 1 — 4 censos,4,relu,adam,True,1.6202531445231734,2000,21.28,Valor
Melgaço,dados_melgaco__populacao_total,População Total,dados_melgaco,Grupo 1 — 4 censos,4,relu,adam,True,1.6202531445231734,2010,24.808,Valor
Melgaço,dados_melgaco__populacao_total,População Total,dados_melgaco,Grupo 1 — 4 censos,4,relu,adam,True,1.6202531445231734,2022,27.892,Valor
Melgaço,dados_melgaco__populacao_urbana,População Urbana,dados_melgaco,Grupo 2 — 3 censos,3,identity,adam,True,0.4863892774822484,2000,6.82,Valor
Melgaço,dados_melgaco__populacao_urbana,População Urbana,dados_melgaco,Grupo 2 — 3 censos,3,identity,adam,True,0.4863892774822484,2010,9.12,Valor
Melgaço,dados_melgaco__populacao_urbana,População Urbana,dados_melgaco,Grupo 2 — 3 censos,3,identity,adam,True,0.4863892774822484,2022,11.24,Valor
Melgaço,dados_melgaco__populacao_rural,População Rural,dados_melgaco,Grupo 2 — 3 censos,3,relu,adam,True,0.35255007610333483,2000,14.46,Valor
Melgaço,dados_melgaco__populacao_rural,População Rural,dados_melgaco,Grupo 2 — 3 censos,3,relu,adam,True,0.35255007610333483,2010,15.688,Valor
Melgaço,dados_melgaco__populacao_rural,População Rural,dados_melgaco,Grupo 2 — 3 censos,3,relu,adam,True,0.35255007610333483,2022,16.652,Valor
Melgaço,dados_melgaco__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_melgaco,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,280.0,Valor
Melgaço,dados_melgaco__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_melgaco,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,980.0,Valor
Melgaço,dados_melgaco__populacao_de_mulheres,População de Mulheres,dados_melgaco,Grupo 2 — 3 censos,3,identity,adam,True,0.4895594429559367,2000,10.12,Valor
Melgaço,dados_melgaco__populacao_de_mulheres,População de Mulheres,dados_melgaco,Grupo 2 — 3 censos,3,identity,adam,True,0.4895594429559367,2010,11.94,Valor
