municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Mocajuba,dados_mocajuba__populacao_total,População Total,dados_mocajuba,Grupo 1 — 4 censos,4,tanh,adam,True,0.7221487641759641,1991,21.57,Valor
Mocajuba,dados_mocajuba__populacao_total,População Total,dados_mocajuba,Grupo 1 — 4 censos,4,tanh,adam,True,0.7221487641759641,2000,22.288,Valor
Mocajuba,dados_mocajuba__populacao_total,População Total,dados_mocajuba,Grupo 1 — 4 censos,4,tanh,adam,True,0.7221487641759641,2010,26.731,Valor
Mocajuba,dados_mocajuba__populacao_total,População Total,dados_mocajuba,Grupo 1 — 4 censos,4,tanh,adam,True,0.7221487641759641,2022,27.808,Valor
Mocajuba,dados_mocajuba__populacao_urbana,População Urbana,dados_mocajuba,Grupo 2 — 3 censos,3,relu,adam,True,0.9533676385882343,2000,10.82,Valor
Mocajuba,dados_mocajuba__populacao_urbana,População Urbana,dados_mocajuba,Grupo 2 — 3 censos,3,relu,adam,True,0.9533676385882343,2010,14.12,Valor
Mocajuba,dados_mocajuba__populacao_urbana,População Urbana,dados_mocajuba,Grupo 2 — 3 censos,3,relu,adam,True,0.9533676385882343,2022,16.48,Valor
Mocajuba,dados_mocajuba__populacao_rural,População Rural,dados_mocajuba,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8153457660108957,2000,11.468,Valor
Mocajuba,dados_mocajuba__populacao_rural,População Rural,dados_mocajuba,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8153457660108957,2010,12.611,Valor
Mocajuba,dados_mocajuba__populacao_rural,População Rural,dados_mocajuba,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8153457660108957,2022,11.328,Valor
Mocajuba,dados_mocajuba__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_mocajuba,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,280.0,Valor
Mocajuba,dados_mocajuba__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_mocajuba,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,640.0,Valor
Mocajuba,dados_mocajuba__populacao_de_mulheres,População de Mulheres,dados_mocajuba,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.9096418201793686,2000,10.88,Valor
Mocajuba,dados_mocajuba__populacao_de_mulheres,População de Mulheres,dados_mocajuba,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.9096418201793686,2010,13.11,Valor
Mocajuba,dados_mocajuba__populacao_de_mulheres,População de Mulheres,dados_mocajuba,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.9096418201793686,2022,13.92,Valor
Mocajuba,dados_mocajuba__populacao_de_homens,População de Homens,dados_mocajuba,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0734696940848767,2000,11.408,Valor
Mocajuba,dados_mocajuba__populacao_de_homens,População de Homens,dados_mocajuba,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0734696940848767,2010,13.621,Valor
Mocajuba,dados_mocajuba__populacao_de_homens,População de Homens,dados_mocajuba,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0734696940848767,2022,13.888,Valor
Mocajuba,dados_mocajuba__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_mocajuba,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.351157037942869,2000,104.8,Valor
Mocajuba,dados_mocajuba__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_mocajuba,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.351157037942869,2010,103.9,Valor
