municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Moju,dados_moju__populacao_total,População Total,dados_moju,Grupo 1 — 4 censos,4,identity,sgd,True,1.7018942676244304,1991,52.88,Valor
Moju,dados_moju__populacao_total,População Total,dados_moju,Grupo 1 — 4 censos,4,identity,sgd,True,1.7018942676244304,2000,60.119,Valor
Moju,dados_moju__populacao_total,População Total,dados_moju,Grupo 1 — 4 censos,4,identity,sgd,True,1.7018942676244304,2010,70.018,Valor
Moju,dados_moju__populacao_total,População Total,dados_moju,Grupo 1 — 4 censos,4,identity,sgd,True,1.7018942676244304,2022,83.182,Valor
Moju,dados_moju__populacao_urbana,População Urbana,dados_moju,Grupo 2 — 3 censos,3,identity,adam,True,0.5181394693749036,2000,32.41,Valor
Moju,dados_moju__populacao_urbana,População Urbana,dados_moju,Grupo 2 — 3 censos,3,identity,adam,True,0.5181394693749036,2010,41.28,Valor
Moju,dados_moju__populacao_urbana,População Urbana,dados_moju,Grupo 2 — 3 censos,3,identity,adam,True,0.5181394693749036,2022,51.24,Valor
Moju,dados_moju__populacao_rural,População Rural,dados_moju,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.180172576558416,2000,27.709,Valor
Moju,dados_moju__populacao_rural,População Rural,dados_moju,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.180172576558416,2010,28.738,Valor
Moju,dados_moju__populacao_rural,População Rural,dados_moju,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.180172576558416,2022,31.942,Valor
Moju,dados_moju__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_moju,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,8.42,Valor
Moju,dados_moju__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_moju,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,16.82,Valor
Moju,dados_moju__populacao_de_mulheres,População de Mulheres,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,0.42074581388499394,2000,29.41,Valor
Moju,dados_moju__populacao_de_mulheres,População de Mulheres,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,0.42074581388499394,2010,34.52,Valor
Moju,dados_moju__populacao_de_mulheres,População de Mulheres,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,0.42074581388499394,2022,41.21,Valor
Moju,dados_moju__populacao_de_homens,População de Homens,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,0.5542455412904795,2000,30.709,Valor
Moju,dados_moju__populacao_de_homens,População de Homens,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,0.5542455412904795,2010,35.498,Valor
Moju,dados_moju__populacao_de_homens,População de Homens,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,0.5542455412904795,2022,41.972,Valor
Moju,dados_moju__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_moju,Grupo 2 — 3 censos,3,relu,adam,True,0.4449648068142598,2000,104.4,Valor
Moju,dados_moju__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_moju,Grupo 2 — 3 censos,3,relu,adam,True,0.4449648068142598,2010,102.8,Valor
Moju,dados_moju__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_moju,Grupo 2 — 3 censos,3,relu,adam,True,0.4449648068142598,2022,101.8,Valor
Moju,dados_moju__idade_mediana,Idade Mediana,dados_moju,Grupo 2 — 3 censos,3,identity,adam,True,0.6076902397340239,2000,19.0,Valor
Moju,dados_moju__idade_mediana,Idade Mediana,dados_moju,Grupo 2 — 3 censos,3,identity,adam,True,0.6076902397340239,2010,23.0,Valor
Moju,dados_moju__idade_mediana,Idade Mediana,dados_moju,Grupo 2 — 3 censos,3,identity,adam,True,0.6076902397340239,2022,27.0,Valor
Moju,dados_moju__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_moju,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.8366665113319245,2000,8.1,Valor
Moju,dados_moju__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_moju,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.8366665113319245,2010,13.4,Valor
Moju,dados_moju__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_moju,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.8366665113319245,2022,26.8,Valor
Moju,dados_moju__populacao_parda,População Parda,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,1.0210765066538083,2000,44.82,Valor
Moju,dados_moju__populacao_parda,População Parda,dados_moju,Grupo 2 — 3 censos,3,identity,sgd,True,1.0210765066538083,2010,54.21,Valor
