municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Monte Alegre,dados_monte_alegre__populacao_total,População Total,dados_monte_alegre,Grupo 1 — 4 censos,4,identity,adam,True,0.4656479819707915,1991,48.284,Valor
Monte Alegre,dados_monte_alegre__populacao_total,População Total,dados_monte_alegre,Grupo 1 — 4 censos,4,identity,adam,True,0.4656479819707915,2000,52.018,Valor
Monte Alegre,dados_monte_alegre__populacao_total,População Total,dados_monte_alegre,Grupo 1 — 4 censos,4,identity,adam,True,0.4656479819707915,2010,55.462,Valor
Monte Alegre,dados_monte_alegre__populacao_total,População Total,dados_monte_alegre,Grupo 1 — 4 censos,4,identity,adam,True,0.4656479819707915,2022,60.982,Valor
Monte Alegre,dados_monte_alegre__populacao_urbana,População Urbana,dados_monte_alegre,Grupo 2 — 3 censos,3,identity,adam,True,0.2237653316464474,2000,22.84,Valor
Monte Alegre,dados_monte_alegre__populacao_urbana,População Urbana,dados_monte_alegre,Grupo 2 — 3 censos,3,identity,adam,True,0.2237653316464474,2010,28.42,Valor
Monte Alegre,dados_monte_alegre__populacao_urbana,População Urbana,dados_monte_alegre,Grupo 2 — 3 censos,3,identity,adam,True,0.2237653316464474,2022,34.82,Valor
Monte Alegre,dados_monte_alegre__populacao_rural,População Rural,dados_monte_alegre,Grupo 2 — 3 censos,3,relu,adam,True,0.8332620425487001,2000,29.178,Valor
Monte Alegre,dados_monte_alegre__populacao_rural,População Rural,dados_monte_alegre,Grupo 2 — 3 censos,3,relu,adam,True,0.8332620425487001,2010,27.042,Valor
Monte Alegre,dados_monte_alegre__populacao_rural,População Rural,dados_monte_alegre,Grupo 2 — 3 censos,3,relu,adam,True,0.8332620425487001,2022,26.162,Valor
Monte Alegre,dados_monte_alegre__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_monte_alegre,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,2.41,Valor
Monte Alegre,dados_monte_alegre__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_monte_alegre,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,5.82,Valor
Monte Alegre,dados_monte_alegre__populacao_de_mulheres,População de Mulheres,dados_monte_alegre,Grupo 2 — 3 censos,3,identity,adam,True,0.5711716282033402,2000,25.41,Valor
Monte Alegre,dados_monte_alegre__populacao_de_mulheres,População de Mulheres,dados_monte_alegre,Grupo 2 — 3 censos,3,identity,adam,True,0.5711716282033402,2010,27.21,Valor
Monte Alegre,dados_monte_alegre__populacao_de_mulheres,População de Mulheres,dados_monte_alegre,Grupo 2 — 3 censos,3,identity,adam,True,0.5711716282033402,2022,30.12,Valor
Monte Alegre,dados_monte_alegre__populacao_de_homens,População de Homens,dados_monte_alegre,Grupo 2 — 3 censos,3,identity,adam,True,0.48529763584481955,2000,26.608,Valor
