municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Muaná,dados_muana__populacao_total,População Total,dados_muana,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.1465608425359513,1991,23.42,Valor
Muaná,dados_muana__populacao_total,População Total,dados_muana,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.1465608425359513,2000,28.532,Valor
Muaná,dados_muana__populacao_total,População Total,dados_muana,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.1465608425359513,2010,34.225,Valor
Muaná,dados_muana__populacao_total,População Total,dados_muana,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.1465608425359513,2022,35.836,Valor
Muaná,dados_muana__populacao_urbana,População Urbana,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,0.8626000448083525,2000,11.82,Valor
Muaná,dados_muana__populacao_urbana,População Urbana,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,0.8626000448083525,2010,13.82,Valor
Muaná,dados_muana__populacao_urbana,População Urbana,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,0.8626000448083525,2022,14.416,Valor
Muaná,dados_muana__populacao_rural,População Rural,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.6461841132143569,2000,16.712,Valor
Muaná,dados_muana__populacao_rural,População Rural,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.6461841132143569,2010,20.405,Valor
Muaná,dados_muana__populacao_rural,População Rural,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.6461841132143569,2022,21.42,Valor
Muaná,dados_muana__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_muana,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,580.0,Valor
Muaná,dados_muana__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_muana,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.64,Valor
Muaná,dados_muana__populacao_de_mulheres,População de Mulheres,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.2353624823720175,2000,13.82,Valor
Muaná,dados_muana__populacao_de_mulheres,População de Mulheres,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.2353624823720175,2010,16.62,Valor
Muaná,dados_muana__populacao_de_mulheres,População de Mulheres,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.2353624823720175,2022,17.41,Valor
Muaná,dados_muana__populacao_de_homens,População de Homens,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.2734216756506953,2000,14.712,Valor
Muaná,dados_muana__populacao_de_homens,População de Homens,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.2734216756506953,2010,17.605,Valor
Muaná,dados_muana__populacao_de_homens,População de Homens,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,1.2734216756506953,2022,18.426,Valor
Muaná,dados_muana__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,0.26561026772778956,2000,106.5,Valor
Muaná,dados_muana__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,0.26561026772778956,2010,105.9,Valor
Muaná,dados_muana__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,0.26561026772778956,2022,105.8,Valor
Muaná,dados_muana__idade_mediana,Idade Mediana,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,1.0660922050348898,2000,17.0,Valor
Muaná,dados_muana__idade_mediana,Idade Mediana,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,1.0660922050348898,2010,20.0,Valor
Muaná,dados_muana__idade_mediana,Idade Mediana,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,1.0660922050348898,2022,25.0,Valor
Muaná,dados_muana__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.195025821734909,2000,4.8,Valor
Muaná,dados_muana__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.195025821734909,2010,8.1,Valor
Muaná,dados_muana__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.195025821734909,2022,19.4,Valor
Muaná,dados_muana__populacao_parda,População Parda,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,3.3197426998042894,2000,20.42,Valor
Muaná,dados_muana__populacao_parda,População Parda,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,3.3197426998042894,2010,27.82,Valor
Muaná,dados_muana__populacao_parda,População Parda,dados_muana,Grupo 2 — 3 censos,3,logistic,adam,True,3.3197426998042894,2022,29.82,Valor
Muaná,dados_muana__populacao_branca,População Branca,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,0.3985578437814599,2000,4.82,Valor
Muaná,dados_muana__populacao_branca,População Branca,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,0.3985578437814599,2010,3.82,Valor
Muaná,dados_muana__populacao_branca,População Branca,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,0.3985578437814599,2022,3.42,Valor
Muaná,dados_muana__populacao_preta,População Preta,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,0.10761995764395953,2000,1.98,Valor
Muaná,dados_muana__populacao_preta,População Preta,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,0.10761995764395953,2010,2.28,Valor
Muaná,dados_muana__populacao_preta,População Preta,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,0.10761995764395953,2022,2.412,Valor
Muaná,dados_muana__populacao_amarela,População Amarela,dados_muana,Grupo 2 — 3 censos,3,logistic,sgd,True,19.48741383070119,2000,60.0,Valor
Muaná,dados_muana__populacao_amarela,População Amarela,dados_muana,Grupo 2 — 3 censos,3,logistic,sgd,True,19.48741383070119,2010,80.0,Valor
Muaná,dados_muana__populacao_amarela,População Amarela,dados_muana,Grupo 2 — 3 censos,3,logistic,sgd,True,19.48741383070119,2022,42.0,Valor
Muaná,dados_muana__populacao_indigena,População Indígena,dados_muana,Grupo 2 — 3 censos,3,logistic,sgd,True,121.21322508665786,2000,1.252,Valor
Muaná,dados_muana__populacao_indigena,População Indígena,dados_muana,Grupo 2 — 3 censos,3,logistic,sgd,True,121.21322508665786,2010,225.0,Valor
Muaná,dados_muana__populacao_indigena,População Indígena,dados_muana,Grupo 2 — 3 censos,3,logistic,sgd,True,121.21322508665786,2022,142.0,Valor
Muaná,dados_muana__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,129.60953214335265,2000,98.4,Valor
Muaná,dados_muana__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,129.60953214335265,2010,224.8,Valor
Muaná,dados_muana__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,129.60953214335265,2022,580.0,Valor
Muaná,dados_muana__apenas_1_trabalho,Apenas 1 trabalho,dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.7746055398062783,2000,96.2,Valor
Muaná,dados_muana__apenas_1_trabalho,Apenas 1 trabalho,dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.7746055398062783,2010,95.8,Valor
Muaná,dados_muana__apenas_1_trabalho,Apenas 1 trabalho,dados_muana,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.7746055398062783,2022,91.8,Valor
Muaná,dados_muana__2_trabalhos,2 trabalhos,dados_muana,Grupo 2 — 3 censos,3,relu,sgd,True,1.6863093597727923,2000,3.4,Valor
Muaná,dados_muana__2_trabalhos,2 trabalhos,dados_muana,Grupo 2 — 3 censos,3,relu,sgd,True,1.6863093597727923,2010,3.8,Valor
Muaná,dados_muana__2_trabalhos,2 trabalhos,dados_muana,Grupo 2 — 3 censos,3,relu,sgd,True,1.6863093597727923,2022,7.4,Valor
Muaná,dados_muana__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,0.161033199897907,2000,0.4,Valor
Muaná,dados_muana__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,0.161033199897907,2010,0.4,Valor
Muaná,dados_muana__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,0.161033199897907,2022,0.8,Valor
Muaná,dados_muana__setor_privado,Setor privado,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,0.1519225599335053,2000,1.82,Valor
Muaná,dados_muana__setor_privado,Setor privado,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,0.1519225599335053,2010,2.82,Valor
Muaná,dados_muana__setor_privado,Setor privado,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,0.1519225599335053,2022,3.82,Valor
Muaná,dados_muana__conta_propria,Conta própria,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,1.0158798353982483,2000,5.42,Valor
Muaná,dados_muana__conta_propria,Conta própria,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,1.0158798353982483,2010,8.92,Valor
Muaná,dados_muana__conta_propria,Conta própria,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,1.0158798353982483,2022,11.24,Valor
Muaná,dados_muana__setor_publico,Setor público,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,539.641895382391,2000,980.0,Valor
Muaná,dados_muana__setor_publico,Setor público,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,539.641895382391,2010,1.84,Valor
Muaná,dados_muana__setor_publico,Setor público,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,539.641895382391,2022,2.98,Valor
Muaná,dados_muana__trabalhador_domestico,Trabalhador doméstico,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,100.34791812112432,2000,320.0,Valor
Muaná,dados_muana__trabalhador_domestico,Trabalhador doméstico,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,100.34791812112432,2010,680.0,Valor
Muaná,dados_muana__trabalhador_domestico,Trabalhador doméstico,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,100.34791812112432,2022,980.0,Valor
Muaná,dados_muana__empregador,Empregador,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,36.56678580405537,2000,120.0,Valor
Muaná,dados_muana__empregador,Empregador,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,36.56678580405537,2010,280.0,Valor
Muaná,dados_muana__empregador,Empregador,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,36.56678580405537,2022,520.0,Valor
Muaná,dados_muana__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,433.79956806508534,2000,2.84,Valor
Muaná,dados_muana__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,433.79956806508534,2010,1.92,Valor
Muaná,dados_muana__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,433.79956806508534,2022,880.0,Valor
Muaná,dados_muana__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,22.841069700032858,2000,40.0,Valor
Muaná,dados_muana__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,22.841069700032858,2010,90.0,Valor
Muaná,dados_muana__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,22.841069700032858,2022,180.0,Valor
Muaná,dados_muana__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,231.2140075793046,2000,420.0,Valor
Muaná,dados_muana__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,231.2140075793046,2010,1.12,Valor
Muaná,dados_muana__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,231.2140075793046,2022,1.84,Valor
Muaná,dados_muana__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,0.060795366828405806,2000,1.4,Valor
Muaná,dados_muana__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,0.060795366828405806,2010,1.7,Valor
Muaná,dados_muana__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,0.060795366828405806,2022,1.98,Valor
Muaná,dados_muana__setor_publico_com_carteira_assinada,Setor público com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,sgd,True,6.074161646611382,2000,20.0,Valor
Muaná,dados_muana__setor_publico_com_carteira_assinada,Setor público com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,sgd,True,6.074161646611382,2010,80.0,Valor
Muaná,dados_muana__setor_publico_com_carteira_assinada,Setor público com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,sgd,True,6.074161646611382,2022,160.0,Valor
Muaná,dados_muana__setor_publico_sem_carteira_estatutarios_outro,Setor público sem carteira (estatutários/outros),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,528.6223895509308,2000,960.0,Valor
Muaná,dados_muana__setor_publico_sem_carteira_estatutarios_outro,Setor público sem carteira (estatutários/outros),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,528.6223895509308,2010,1.76,Valor
Muaná,dados_muana__setor_publico_sem_carteira_estatutarios_outro,Setor público sem carteira (estatutários/outros),dados_muana,Grupo 2 — 3 censos,3,tanh,adam,True,528.6223895509308,2022,2.82,Valor
Muaná,dados_muana__trabalho_domestico_com_carteira_assinada,Trabalho doméstico com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,12.186733363434834,2000,25.0,Valor
Muaná,dados_muana__trabalho_domestico_com_carteira_assinada,Trabalho doméstico com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,12.186733363434834,2010,70.0,Valor
Muaná,dados_muana__trabalho_domestico_com_carteira_assinada,Trabalho doméstico com carteira assinada,dados_muana,Grupo 2 — 3 censos,3,identity,adam,True,12.186733363434834,2022,140.0,Valor
Muaná,dados_muana__trabalho_domestico_sem_carteira_assinada,Trabalho doméstico sem carteira assinada,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,90.88104859442768,2000,295.0,Valor
Muaná,dados_muana__trabalho_domestico_sem_carteira_assinada,Trabalho doméstico sem carteira assinada,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,90.88104859442768,2010,610.0,Valor
Muaná,dados_muana__trabalho_domestico_sem_carteira_assinada,Trabalho doméstico sem carteira assinada,dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,90.88104859442768,2022,840.0,Valor
Muaná,dados_muana__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_muana,Grupo 1 — 4 censos,4,logistic,lbfgs,True,2.26020085273926,1991,48.2,Valor
Muaná,dados_muana__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_muana,Grupo 1 — 4 censos,4,logistic,lbfgs,True,2.26020085273926,2000,61.4,Valor
Muaná,dados_muana__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_muana,Grupo 1 — 4 censos,4,logistic,lbfgs,True,2.26020085273926,2010,74.8,Valor
Muaná,dados_muana__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_muana,Grupo 1 — 4 censos,4,logistic,lbfgs,True,2.26020085273926,2022,82.4,Valor
Muaná,dados_muana__taxa_de_alfabetizacao_jovens_15_a_19_anos,Taxa de Alfabetização: Jovens (15 a 19 anos),dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,4.1064545893226665,2000,78.2,Valor
Muaná,dados_muana__taxa_de_alfabetizacao_jovens_15_a_19_anos,Taxa de Alfabetização: Jovens (15 a 19 anos),dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,4.1064545893226665,2010,89.4,Valor
Muaná,dados_muana__taxa_de_alfabetizacao_jovens_15_a_19_anos,Taxa de Alfabetização: Jovens (15 a 19 anos),dados_muana,Grupo 2 — 3 censos,3,relu,adam,True,4.1064545893226665,2022,94.2,Valor
