municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_total,População Total,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,tanh,adam,True,0.20238396325571864,2000,20.142,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_total,População Total,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,tanh,adam,True,0.20238396325571864,2010,20.108,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_total,População Total,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,tanh,adam,True,0.20238396325571864,2022,20.478,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_urbana,População Urbana,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.6787049172250184,2000,6.12,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_urbana,População Urbana,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.6787049172250184,2010,8.467,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_urbana,População Urbana,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.6787049172250184,2022,10.12,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_rural,População Rural,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.7157703904708169,2000,14.022,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_rural,População Rural,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.7157703904708169,2010,11.641,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_rural,População Rural,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,adam,True,0.7157703904708169,2022,10.358,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_nova_esperanca_do_piria,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_nova_esperanca_do_piria,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_de_mulheres,População de Mulheres,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248420794,2000,9.68,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_de_mulheres,População de Mulheres,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248420794,2010,9.78,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_de_mulheres,População de Mulheres,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248420794,2022,9.98,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_de_homens,População de Homens,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,0.10097065858206851,2000,10.462,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_de_homens,População de Homens,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,0.10097065858206851,2010,10.328,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__populacao_de_homens,População de Homens,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,logistic,sgd,True,0.10097065858206851,2022,10.498,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,tanh,adam,True,1.1175489403169365,2000,108.1,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,tanh,adam,True,1.1175489403169365,2010,105.6,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,tanh,adam,True,1.1175489403169365,2022,105.2,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__idade_mediana,Idade Mediana,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,17.0,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__idade_mediana,Idade Mediana,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,20.0,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__idade_mediana,Idade Mediana,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,27.0,Valor
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,3,relu,sgd,True,6.688902676961493,2000,4.2,Valor
