municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Nova Timboteua,dados_nova_timboteua__populacao_total,População Total,dados_nova_timboteua,Grupo 1 — 4 censos,4,tanh,sgd,True,0.2931852902706922,1991,11.84,Valor
Nova Timboteua,dados_nova_timboteua__populacao_total,População Total,dados_nova_timboteua,Grupo 1 — 4 censos,4,tanh,sgd,True,0.2931852902706922,2000,12.12,Valor
Nova Timboteua,dados_nova_timboteua__populacao_total,População Total,dados_nova_timboteua,Grupo 1 — 4 censos,4,tanh,sgd,True,0.2931852902706922,2010,13.67,Valor
Nova Timboteua,dados_nova_timboteua__populacao_total,População Total,dados_nova_timboteua,Grupo 1 — 4 censos,4,tanh,sgd,True,0.2931852902706922,2022,13.71,Valor
Nova Timboteua,dados_nova_timboteua__populacao_urbana,População Urbana,dados_nova_timboteua,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.6439484741139987,2000,6.84,Valor
Nova Timboteua,dados_nova_timboteua__populacao_urbana,População Urbana,dados_nova_timboteua,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.6439484741139987,2010,8.42,Valor
Nova Timboteua,dados_nova_timboteua__populacao_urbana,População Urbana,dados_nova_timboteua,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.6439484741139987,2022,8.98,Valor
Nova Timboteua,dados_nova_timboteua__populacao_rural,População Rural,dados_nova_timboteua,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.25170259790520194,2000,5.28,Valor
Nova Timboteua,dados_nova_timboteua__populacao_rural,População Rural,dados_nova_timboteua,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.25170259790520194,2010,5.25,Valor
Nova Timboteua,dados_nova_timboteua__populacao_rural,População Rural,dados_nova_timboteua,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.25170259790520194,2022,4.73,Valor
Nova Timboteua,dados_nova_timboteua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_nova_timboteua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Nova Timboteua,dados_nova_timboteua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_nova_timboteua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Nova Timboteua,dados_nova_timboteua__populacao_de_mulheres,População de Mulheres,dados_nova_timboteua,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.4138095084385582,2000,5.92,Valor
