municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Novo Progresso,dados_novo_progresso__populacao_total,População Total,dados_novo_progresso,Grupo 1 — 4 censos,4,identity,sgd,True,1.9125000221570088,1991,15.24,Valor
Novo Progresso,dados_novo_progresso__populacao_total,População Total,dados_novo_progresso,Grupo 1 — 4 censos,4,identity,sgd,True,1.9125000221570088,2000,22.842,Valor
Novo Progresso,dados_novo_progresso__populacao_total,População Total,dados_novo_progresso,Grupo 1 — 4 censos,4,identity,sgd,True,1.9125000221570088,2010,25.124,Valor
Novo Progresso,dados_novo_progresso__populacao_total,População Total,dados_novo_progresso,Grupo 1 — 4 censos,4,identity,sgd,True,1.9125000221570088,2022,33.638,Valor
Novo Progresso,dados_novo_progresso__populacao_urbana,População Urbana,dados_novo_progresso,Grupo 2 — 3 censos,3,identity,adam,True,2.3598311642750054,2000,14.82,Valor
Novo Progresso,dados_novo_progresso__populacao_urbana,População Urbana,dados_novo_progresso,Grupo 2 — 3 censos,3,identity,adam,True,2.3598311642750054,2010,18.42,Valor
Novo Progresso,dados_novo_progresso__populacao_urbana,População Urbana,dados_novo_progresso,Grupo 2 — 3 censos,3,identity,adam,True,2.3598311642750054,2022,25.84,Valor
Novo Progresso,dados_novo_progresso__populacao_rural,População Rural,dados_novo_progresso,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8020415322160769,2000,8.022,Valor
Novo Progresso,dados_novo_progresso__populacao_rural,População Rural,dados_novo_progresso,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8020415322160769,2010,6.704,Valor
Novo Progresso,dados_novo_progresso__populacao_rural,População Rural,dados_novo_progresso,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8020415322160769,2022,7.798,Valor
Novo Progresso,dados_novo_progresso__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_novo_progresso,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,280.0,Valor
Novo Progresso,dados_novo_progresso__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_novo_progresso,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,640.0,Valor
Novo Progresso,dados_novo_progresso__populacao_de_mulheres,População de Mulheres,dados_novo_progresso,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.5020201778496005,2000,10.42,Valor
Novo Progresso,dados_novo_progresso__populacao_de_mulheres,População de Mulheres,dados_novo_progresso,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.5020201778496005,2010,11.98,Valor
Novo Progresso,dados_novo_progresso__populacao_de_mulheres,População de Mulheres,dados_novo_progresso,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.5020201778496005,2022,16.12,Valor
Novo Progresso,dados_novo_progresso__populacao_de_homens,População de Homens,dados_novo_progresso,Grupo 2 — 3 censos,3,relu,sgd,True,1.8804604796261775,2000,12.422,Valor
Novo Progresso,dados_novo_progresso__populacao_de_homens,População de Homens,dados_novo_progresso,Grupo 2 — 3 censos,3,relu,sgd,True,1.8804604796261775,2010,13.144,Valor
Novo Progresso,dados_novo_progresso__populacao_de_homens,População de Homens,dados_novo_progresso,Grupo 2 — 3 censos,3,relu,sgd,True,1.8804604796261775,2022,17.518,Valor
