municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Novo_Repartimento,dados_novo_repartimento__populacao_total,População Total,dados_novo_repartimento,Grupo 1 — 4 censos,4,logistic,adam,True,6.419893140808392,1991,23.84,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_total,População Total,dados_novo_repartimento,Grupo 1 — 4 censos,4,logistic,adam,True,6.419893140808392,2000,42.102,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_total,População Total,dados_novo_repartimento,Grupo 1 — 4 censos,4,logistic,adam,True,6.419893140808392,2010,62.05,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_total,População Total,dados_novo_repartimento,Grupo 1 — 4 censos,4,logistic,adam,True,6.419893140808392,2022,60.404,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_urbana,População Urbana,dados_novo_repartimento,Grupo 2 — 3 censos,3,relu,adam,True,3.859634321248617,2000,16.42,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_urbana,População Urbana,dados_novo_repartimento,Grupo 2 — 3 censos,3,relu,adam,True,3.859634321248617,2010,26.82,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_urbana,População Urbana,dados_novo_repartimento,Grupo 2 — 3 censos,3,relu,adam,True,3.859634321248617,2022,31.21,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_rural,População Rural,dados_novo_repartimento,Grupo 2 — 3 censos,3,logistic,sgd,True,5.222971444181006,2000,25.682,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_rural,População Rural,dados_novo_repartimento,Grupo 2 — 3 censos,3,logistic,sgd,True,5.222971444181006,2010,35.23,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_rural,População Rural,dados_novo_repartimento,Grupo 2 — 3 censos,3,logistic,sgd,True,5.222971444181006,2022,29.194,Valor
Novo_Repartimento,dados_novo_repartimento__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_novo_repartimento,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,1.64,Valor
Novo_Repartimento,dados_novo_repartimento__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_novo_repartimento,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,3.82,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_de_mulheres,População de Mulheres,dados_novo_repartimento,Grupo 2 — 3 censos,3,tanh,lbfgs,True,5.470558488182069,2000,19.82,Valor
Novo_Repartimento,dados_novo_repartimento__populacao_de_mulheres,População de Mulheres,dados_novo_repartimento,Grupo 2 — 3 censos,3,tanh,lbfgs,True,5.470558488182069,2010,29.41,Valor
