municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Oriximiná,dados_oriximina__populacao_total,População Total,dados_oriximina,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.3092554725267185,1991,40.12,Valor
Oriximiná,dados_oriximina__populacao_total,População Total,dados_oriximina,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.3092554725267185,2000,48.901,Valor
Oriximiná,dados_oriximina__populacao_total,População Total,dados_oriximina,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.3092554725267185,2010,62.794,Valor
Oriximiná,dados_oriximina__populacao_total,População Total,dados_oriximina,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.3092554725267185,2022,68.294,Valor
Oriximiná,dados_oriximina__populacao_urbana,População Urbana,dados_oriximina,Grupo 2 — 3 censos,3,relu,adam,True,3.3250085446803674,2000,29.82,Valor
Oriximiná,dados_oriximina__populacao_urbana,População Urbana,dados_oriximina,Grupo 2 — 3 censos,3,relu,adam,True,3.3250085446803674,2010,41.24,Valor
Oriximiná,dados_oriximina__populacao_urbana,População Urbana,dados_oriximina,Grupo 2 — 3 censos,3,relu,adam,True,3.3250085446803674,2022,48.41,Valor
Oriximiná,dados_oriximina__populacao_rural,População Rural,dados_oriximina,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3890807971314618,2000,19.081,Valor
Oriximiná,dados_oriximina__populacao_rural,População Rural,dados_oriximina,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3890807971314618,2010,21.554,Valor
Oriximiná,dados_oriximina__populacao_rural,População Rural,dados_oriximina,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3890807971314618,2022,19.884,Valor
Oriximiná,dados_oriximina__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_oriximina,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,3.82,Valor
Oriximiná,dados_oriximina__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_oriximina,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,8.92,Valor
Oriximiná,dados_oriximina__populacao_de_mulheres,População de Mulheres,dados_oriximina,Grupo 2 — 3 censos,3,relu,adam,True,2.566534118326667,2000,23.82,Valor
Oriximiná,dados_oriximina__populacao_de_mulheres,População de Mulheres,dados_oriximina,Grupo 2 — 3 censos,3,relu,adam,True,2.566534118326667,2010,30.82,Valor
Oriximiná,dados_oriximina__populacao_de_mulheres,População de Mulheres,dados_oriximina,Grupo 2 — 3 censos,3,relu,adam,True,2.566534118326667,2022,33.82,Valor
Oriximiná,dados_oriximina__populacao_de_homens,População de Homens,dados_oriximina,Grupo 2 — 3 censos,3,logistic,lbfgs,True,2.8115835791485537,2000,25.081,Valor
Oriximiná,dados_oriximina__populacao_de_homens,População de Homens,dados_oriximina,Grupo 2 — 3 censos,3,logistic,lbfgs,True,2.8115835791485537,2010,31.974,Valor
Oriximiná,dados_oriximina__populacao_de_homens,População de Homens,dados_oriximina,Grupo 2 — 3 censos,3,logistic,lbfgs,True,2.8115835791485537,2022,34.474,Valor
Oriximiná,dados_oriximina__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_oriximina,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151362924616535,2000,105.3,Valor
Oriximiná,dados_oriximina__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_oriximina,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151362924616535,2010,103.7,Valor
Oriximiná,dados_oriximina__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_oriximina,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.09151362924616535,2022,101.9,Valor
Oriximiná,dados_oriximina__idade_mediana,Idade Mediana,dados_oriximina,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2000,20.0,Valor
Oriximiná,dados_oriximina__idade_mediana,Idade Mediana,dados_oriximina,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2010,23.0,Valor
Oriximiná,dados_oriximina__idade_mediana,Idade Mediana,dados_oriximina,Grupo 2 — 3 censos,3,identity,adam,True,1.066092205034889,2022,28.0,Valor
Oriximiná,dados_oriximina__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_oriximina,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.906309785310093,2000,7.2,Valor
Oriximiná,dados_oriximina__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_oriximina,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.906309785310093,2010,11.8,Valor
Oriximiná,dados_oriximina__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_oriximina,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.906309785310093,2022,25.2,Valor
Oriximiná,dados_oriximina__populacao_parda,População Parda,dados_oriximina,Grupo 2 — 3 censos,3,logistic,adam,True,5.27370616439094,2000,35.42,Valor
Oriximiná,dados_oriximina__populacao_parda,População Parda,dados_oriximina,Grupo 2 — 3 censos,3,logistic,adam,True,5.27370616439094,2010,48.21,Valor
Oriximiná,dados_oriximina__populacao_parda,População Parda,dados_oriximina,Grupo 2 — 3 censos,3,logistic,adam,True,5.27370616439094,2022,52.41,Valor
Oriximiná,dados_oriximina__populacao_branca,População Branca,dados_oriximina,Grupo 2 — 3 censos,3,identity,adam,True,0.015060541718333079,2000,7.82,Valor
