municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_total,População Total,dados_ourilandia_do_norte,Grupo 1 — 4 censos,4,relu,sgd,True,1.210118007269636,1991,19.24,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_total,População Total,dados_ourilandia_do_norte,Grupo 1 — 4 censos,4,relu,sgd,True,1.210118007269636,2000,20.432,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_total,População Total,dados_ourilandia_do_norte,Grupo 1 — 4 censos,4,relu,sgd,True,1.210118007269636,2010,27.359,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_total,População Total,dados_ourilandia_do_norte,Grupo 1 — 4 censos,4,relu,sgd,True,1.210118007269636,2022,32.526,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_urbana,População Urbana,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.2400832318824602,2000,13.82,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_urbana,População Urbana,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.2400832318824602,2010,20.48,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_urbana,População Urbana,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.2400832318824602,2022,26.84,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_rural,População Rural,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6996555965861413,2000,6.612,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_rural,População Rural,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6996555965861413,2010,6.879,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_rural,População Rural,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6996555965861413,2022,5.686,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ourilandia_do_norte,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,480.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ourilandia_do_norte,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.34,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_de_mulheres,População de Mulheres,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.9791715716218808,2000,9.84,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_de_mulheres,População de Mulheres,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.9791715716218808,2010,13.28,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_de_mulheres,População de Mulheres,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.9791715716218808,2022,16.12,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_de_homens,População de Homens,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,adam,True,1.0117027784073798,2000,10.592,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_de_homens,População de Homens,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,adam,True,1.0117027784073798,2010,14.079,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_de_homens,População de Homens,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,adam,True,1.0117027784073798,2022,16.406,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.1752115949268784,2000,107.6,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.1752115949268784,2010,106.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.1752115949268784,2022,101.8,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__idade_mediana,Idade Mediana,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2000,21.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__idade_mediana,Idade Mediana,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2010,24.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__idade_mediana,Idade Mediana,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2022,30.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,sgd,True,7.817490225488167,2000,4.8,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,sgd,True,7.817490225488167,2010,7.2,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,sgd,True,7.817490225488167,2022,24.6,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_parda,População Parda,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,adam,True,1.7461912038293874,2000,13.24,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_parda,População Parda,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,adam,True,1.7461912038293874,2010,18.92,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_parda,População Parda,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,adam,True,1.7461912038293874,2022,21.84,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_branca,População Branca,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5007200800894266,2000,5.82,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_branca,População Branca,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5007200800894266,2010,6.42,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_branca,População Branca,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5007200800894266,2022,7.82,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_preta,População Preta,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.006100777933460681,2000,1.18,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_preta,População Preta,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.006100777933460681,2010,1.74,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_preta,População Preta,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.006100777933460681,2022,2.42,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_amarela,População Amarela,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.9151491238477453,2000,42.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_amarela,População Amarela,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.9151491238477453,2010,38.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_amarela,População Amarela,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.9151491238477453,2022,32.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_indigena,População Indígena,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,48.571302324302685,2000,150.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_indigena,População Indígena,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,48.571302324302685,2010,241.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__populacao_indigena,População Indígena,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,48.571302324302685,2022,414.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,113.11598435399365,2000,138.2,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,113.11598435399365,2010,412.4,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,113.11598435399365,2022,890.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__apenas_1_trabalho,Apenas 1 trabalho,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6095465389634332,2000,94.8,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__apenas_1_trabalho,Apenas 1 trabalho,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6095465389634332,2010,93.4,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__apenas_1_trabalho,Apenas 1 trabalho,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6095465389634332,2022,90.8,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__2_trabalhos,2 trabalhos,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.7308088589810379,2000,4.2,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__2_trabalhos,2 trabalhos,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.7308088589810379,2010,5.4,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__2_trabalhos,2 trabalhos,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.7308088589810379,2022,7.8,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.03038451198670115,2000,1.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.03038451198670115,2010,1.2,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.03038451198670115,2022,1.4,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__setor_privado,Setor privado,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.6808501541971369,2000,2.84,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__setor_privado,Setor privado,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.6808501541971369,2010,6.42,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__setor_privado,Setor privado,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.6808501541971369,2022,9.82,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__conta_propria,Conta própria,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.34347669972474043,2000,2.42,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__conta_propria,Conta própria,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.34347669972474043,2010,4.18,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__conta_propria,Conta própria,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,identity,adam,True,0.34347669972474043,2022,5.84,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__setor_publico,Setor público,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,451.3117359113155,2000,820.0,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__setor_publico,Setor público,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,451.3117359113155,2010,1.84,Valor
Ourilândia do Norte,dados_ourilandia_do_norte__setor_publico,Setor público,dados_ourilandia_do_norte,Grupo 2 — 3 censos,3,tanh,adam,True,451.3117359113155,2022,2.68,Valor
