municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Ourém,dados_ourem__populacao_total,População Total,dados_ourem,Grupo 1 — 4 censos,4,identity,adam,True,0.3187070273467332,1991,13.25,Valor
Ourém,dados_ourem__populacao_total,População Total,dados_ourem,Grupo 1 — 4 censos,4,identity,adam,True,0.3187070273467332,2000,14.89,Valor
Ourém,dados_ourem__populacao_total,População Total,dados_ourem,Grupo 1 — 4 censos,4,identity,adam,True,0.3187070273467332,2010,16.311,Valor
Ourém,dados_ourem__populacao_total,População Total,dados_ourem,Grupo 1 — 4 censos,4,identity,adam,True,0.3187070273467332,2022,17.855,Valor
Ourém,dados_ourem__populacao_urbana,População Urbana,dados_ourem,Grupo 2 — 3 censos,3,identity,adam,True,0.32226022704405494,2000,7.12,Valor
Ourém,dados_ourem__populacao_urbana,População Urbana,dados_ourem,Grupo 2 — 3 censos,3,identity,adam,True,0.32226022704405494,2010,8.54,Valor
Ourém,dados_ourem__populacao_urbana,População Urbana,dados_ourem,Grupo 2 — 3 censos,3,identity,adam,True,0.32226022704405494,2022,9.82,Valor
Ourém,dados_ourem__populacao_rural,População Rural,dados_ourem,Grupo 2 — 3 censos,3,tanh,adam,True,0.12968958158535346,2000,7.77,Valor
Ourém,dados_ourem__populacao_rural,População Rural,dados_ourem,Grupo 2 — 3 censos,3,tanh,adam,True,0.12968958158535346,2010,7.771,Valor
Ourém,dados_ourem__populacao_rural,População Rural,dados_ourem,Grupo 2 — 3 censos,3,tanh,adam,True,0.12968958158535346,2022,8.035,Valor
Ourém,dados_ourem__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ourem,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Ourém,dados_ourem__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ourem,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Ourém,dados_ourem__populacao_de_mulheres,População de Mulheres,dados_ourem,Grupo 2 — 3 censos,3,identity,adam,True,0.07132457460373735,2000,7.21,Valor
Ourém,dados_ourem__populacao_de_mulheres,População de Mulheres,dados_ourem,Grupo 2 — 3 censos,3,identity,adam,True,0.07132457460373735,2010,7.98,Valor
Ourém,dados_ourem__populacao_de_mulheres,População de Mulheres,dados_ourem,Grupo 2 — 3 censos,3,identity,adam,True,0.07132457460373735,2022,8.81,Valor
Ourém,dados_ourem__populacao_de_homens,População de Homens,dados_ourem,Grupo 2 — 3 censos,3,identity,adam,True,0.05096300014439622,2000,7.68,Valor
