municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Pacajá,dados_pacaja__populacao_total,População Total,dados_pacaja,Grupo 1 — 4 censos,4,logistic,adam,True,2.5071351354538773,1991,21.608,Valor
Pacajá,dados_pacaja__populacao_total,População Total,dados_pacaja,Grupo 1 — 4 censos,4,logistic,adam,True,2.5071351354538773,2000,28.968,Valor
Pacajá,dados_pacaja__populacao_total,População Total,dados_pacaja,Grupo 1 — 4 censos,4,logistic,adam,True,2.5071351354538773,2010,39.979,Valor
Pacajá,dados_pacaja__populacao_total,População Total,dados_pacaja,Grupo 1 — 4 censos,4,logistic,adam,True,2.5071351354538773,2022,41.204,Valor
Pacajá,dados_pacaja__populacao_urbana,População Urbana,dados_pacaja,Grupo 2 — 3 censos,3,relu,adam,True,1.9633297651846078,2000,11.42,Valor
Pacajá,dados_pacaja__populacao_urbana,População Urbana,dados_pacaja,Grupo 2 — 3 censos,3,relu,adam,True,1.9633297651846078,2010,18.12,Valor
Pacajá,dados_pacaja__populacao_urbana,População Urbana,dados_pacaja,Grupo 2 — 3 censos,3,relu,adam,True,1.9633297651846078,2022,21.84,Valor
Pacajá,dados_pacaja__populacao_rural,População Rural,dados_pacaja,Grupo 2 — 3 censos,3,logistic,sgd,True,2.2798274119962536,2000,17.548,Valor
Pacajá,dados_pacaja__populacao_rural,População Rural,dados_pacaja,Grupo 2 — 3 censos,3,logistic,sgd,True,2.2798274119962536,2010,21.859,Valor
Pacajá,dados_pacaja__populacao_rural,População Rural,dados_pacaja,Grupo 2 — 3 censos,3,logistic,sgd,True,2.2798274119962536,2022,19.364,Valor
Pacajá,dados_pacaja__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_pacaja,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,840.0,Valor
Pacajá,dados_pacaja__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_pacaja,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.92,Valor
Pacajá,dados_pacaja__populacao_de_mulheres,População de Mulheres,dados_pacaja,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.4886468968763076,2000,13.82,Valor
Pacajá,dados_pacaja__populacao_de_mulheres,População de Mulheres,dados_pacaja,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.4886468968763076,2010,19.12,Valor
Pacajá,dados_pacaja__populacao_de_mulheres,População de Mulheres,dados_pacaja,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.4886468968763076,2022,20.14,Valor
