municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Parauapebas,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.28331627309363,1991,12.45,Valor
Parauapebas,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.28331627309363,2000,18.21,Valor
Parauapebas,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.28331627309363,2010,44.15,Valor
Parauapebas,domicilios__total_de_domicilios_recenseados,Total de Domicílios Recenseados,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.28331627309363,2022,89.24,Valor
Parauapebas,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.333246478136175,1991,12.32,Valor
Parauapebas,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.333246478136175,2000,18.12,Valor
Parauapebas,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.333246478136175,2010,43.82,Valor
Parauapebas,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,4,relu,lbfgs,True,8.333246478136175,2022,88.91,Valor
Parauapebas,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,tanh,sgd,True,78.79526579421517,1991,130.0,Valor
Parauapebas,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,tanh,sgd,True,78.79526579421517,2000,90.0,Valor
Parauapebas,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,tanh,sgd,True,78.79526579421517,2010,330.0,Valor
Parauapebas,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,4,tanh,sgd,True,78.79526579421517,2022,330.0,Valor
Parauapebas,educacao__populacao_com_superior_completo,População com Superior Completo,educacao,Grupo 2 — 3 censos,3,identity,adam,True,2.6411204744103887,2000,2.84,Valor
Parauapebas,educacao__populacao_com_superior_completo,População com Superior Completo,educacao,Grupo 2 — 3 censos,3,identity,adam,True,2.6411204744103887,2010,11.25,Valor
Parauapebas,educacao__populacao_com_superior_completo,População com Superior Completo,educacao,Grupo 2 — 3 censos,3,identity,adam,True,2.6411204744103887,2022,24.81,Valor
Parauapebas,favelasecomunidade__numero_de_favelas_comunidades,Número de Favelas / Comunidades,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,5.0,Valor
Parauapebas,favelasecomunidade__numero_de_favelas_comunidades,Número de Favelas / Comunidades,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,14.0,Valor
Parauapebas,favelasecomunidade__populacao_residente_em_favelas,População Residente em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,18.24,Valor
Parauapebas,favelasecomunidade__populacao_residente_em_favelas,População Residente em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,42.15,Valor
Parauapebas,favelasecomunidade__total_de_domicilios_em_favelas,Total de Domicílios em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,4.21,Valor
Parauapebas,favelasecomunidade__total_de_domicilios_em_favelas,Total de Domicílios em Favelas,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,11.42,Valor
Parauapebas,favelasecomunidade__idade_mediana,Idade Mediana,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,21.0,Valor
Parauapebas,favelasecomunidade__idade_mediana,Idade Mediana,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,25.0,Valor
Parauapebas,favelasecomunidade__populacao_parda,População Parda,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,13.82,Valor
Parauapebas,favelasecomunidade__populacao_parda,População Parda,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,31.42,Valor
Parauapebas,favelasecomunidade__populacao_branca,População Branca,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,2.45,Valor
Parauapebas,favelasecomunidade__populacao_branca,População Branca,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,5.81,Valor
Parauapebas,favelasecomunidade__populacao_preta,População Preta,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,1.72,Valor
Parauapebas,favelasecomunidade__populacao_preta,População Preta,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,4.21,Valor
Parauapebas,favelasecomunidade__populacao_amarela,População Amarela,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,110.0,Valor
Parauapebas,favelasecomunidade__populacao_amarela,População Amarela,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,120.0,Valor
Parauapebas,favelasecomunidade__populacao_indigena,População Indígena,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,140.0,Valor
Parauapebas,favelasecomunidade__populacao_indigena,População Indígena,favelasecomunidade,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,590.0,Valor
Parauapebas,indigenas__populacao_indigena_total,População Indígena Total,indigenas,Grupo 2 — 3 censos,3,logistic,sgd,True,520.3311929850701,2000,625.0,Valor
Parauapebas,indigenas__populacao_indigena_total,População Indígena Total,indigenas,Grupo 2 — 3 censos,3,logistic,sgd,True,520.3311929850701,2010,958.0,Valor
Parauapebas,indigenas__populacao_indigena_total,População Indígena Total,indigenas,Grupo 2 — 3 censos,3,logistic,sgd,True,520.3311929850701,2022,3.555,Valor
Parauapebas,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,relu,lbfgs,True,18.13472648502332,1991,53.335,Valor
Parauapebas,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,relu,lbfgs,True,18.13472648502332,2000,71.915,Valor
Parauapebas,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,relu,lbfgs,True,18.13472648502332,2010,153.908,Valor
Parauapebas,populacao__populacao_total,População Total,populacao,Grupo 1 — 4 censos,4,relu,lbfgs,True,18.13472648502332,2022,266.445,Valor
Parauapebas,populacao__populacao_urbana,População Urbana,populacao,Grupo 2 — 3 censos,3,identity,adam,True,14.145946790838842,2000,59.832,Valor
Parauapebas,populacao__populacao_urbana,População Urbana,populacao,Grupo 2 — 3 censos,3,identity,adam,True,14.145946790838842,2010,138.807,Valor
Parauapebas,populacao__populacao_urbana,População Urbana,populacao,Grupo 2 — 3 censos,3,identity,adam,True,14.145946790838842,2022,252.14,Valor
Parauapebas,populacao__populacao_rural,População Rural,populacao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.740541974496196,2000,12.083,Valor
Parauapebas,populacao__populacao_rural,População Rural,populacao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.740541974496196,2010,15.101,Valor
Parauapebas,populacao__populacao_rural,População Rural,populacao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.740541974496196,2022,14.305,Valor
Parauapebas,populacao__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,populacao,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,18.24,Valor
