municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Pau D Arco,dados_pau_d_arco__populacao_total,População Total,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.4938033060121416,2000,6.12,Valor
Pau D Arco,dados_pau_d_arco__populacao_total,População Total,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.4938033060121416,2010,6.033,Valor
Pau D Arco,dados_pau_d_arco__populacao_total,População Total,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.4938033060121416,2022,6.931,Valor
Pau D Arco,dados_pau_d_arco__populacao_urbana,População Urbana,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.1915277969362307,2000,2.98,Valor
Pau D Arco,dados_pau_d_arco__populacao_urbana,População Urbana,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.1915277969362307,2010,3.84,Valor
Pau D Arco,dados_pau_d_arco__populacao_urbana,População Urbana,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.1915277969362307,2022,4.62,Valor
Pau D Arco,dados_pau_d_arco__populacao_rural,População Rural,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.5838484358800772,2000,3.14,Valor
Pau D Arco,dados_pau_d_arco__populacao_rural,População Rural,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.5838484358800772,2010,2.193,Valor
Pau D Arco,dados_pau_d_arco__populacao_rural,População Rural,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.5838484358800772,2022,2.311,Valor
Pau D Arco,dados_pau_d_arco__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_pau_d_arco,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Pau D Arco,dados_pau_d_arco__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_pau_d_arco,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_de_mulheres,População de Mulheres,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.21630332282104714,2000,2.88,Valor
Pau D Arco,dados_pau_d_arco__populacao_de_mulheres,População de Mulheres,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.21630332282104714,2010,2.89,Valor
Pau D Arco,dados_pau_d_arco__populacao_de_mulheres,População de Mulheres,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.21630332282104714,2022,3.34,Valor
Pau D Arco,dados_pau_d_arco__populacao_de_homens,População de Homens,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2690366938397338,2000,3.24,Valor
Pau D Arco,dados_pau_d_arco__populacao_de_homens,População de Homens,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2690366938397338,2010,3.143,Valor
Pau D Arco,dados_pau_d_arco__populacao_de_homens,População de Homens,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2690366938397338,2022,3.591,Valor
Pau D Arco,dados_pau_d_arco__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,sgd,True,1.5176224482089775,2000,112.5,Valor
Pau D Arco,dados_pau_d_arco__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,sgd,True,1.5176224482089775,2010,108.8,Valor
Pau D Arco,dados_pau_d_arco__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,sgd,True,1.5176224482089775,2022,107.5,Valor
Pau D Arco,dados_pau_d_arco__idade_mediana,Idade Mediana,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,21.0,Valor
Pau D Arco,dados_pau_d_arco__idade_mediana,Idade Mediana,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,25.0,Valor
Pau D Arco,dados_pau_d_arco__idade_mediana,Idade Mediana,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,31.0,Valor
Pau D Arco,dados_pau_d_arco__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.0693084813614755,2000,6.8,Valor
Pau D Arco,dados_pau_d_arco__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.0693084813614755,2010,13.8,Valor
Pau D Arco,dados_pau_d_arco__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.0693084813614755,2022,33.2,Valor
Pau D Arco,dados_pau_d_arco__populacao_parda,População Parda,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.23446125654266461,2000,4.12,Valor
Pau D Arco,dados_pau_d_arco__populacao_parda,População Parda,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.23446125654266461,2010,4.48,Valor
Pau D Arco,dados_pau_d_arco__populacao_parda,População Parda,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.23446125654266461,2022,5.22,Valor
Pau D Arco,dados_pau_d_arco__populacao_branca,População Branca,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.1480157287621792,2000,1.42,Valor
Pau D Arco,dados_pau_d_arco__populacao_branca,População Branca,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.1480157287621792,2010,1.18,Valor
Pau D Arco,dados_pau_d_arco__populacao_branca,População Branca,dados_pau_d_arco,Grupo 2 — 3 censos,3,tanh,adam,True,0.1480157287621792,2022,1.21,Valor
Pau D Arco,dados_pau_d_arco__populacao_preta,População Preta,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,93.16760215483924,2000,480.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_preta,População Preta,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,93.16760215483924,2010,320.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_preta,População Preta,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,93.16760215483924,2022,440.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_amarela,População Amarela,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,11.162825057146591,2000,80.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_amarela,População Amarela,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,11.162825057146591,2010,40.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_amarela,População Amarela,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,11.162825057146591,2022,16.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_indigena,População Indígena,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,19.19299320185871,2000,20.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_indigena,População Indígena,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,19.19299320185871,2010,13.0,Valor
Pau D Arco,dados_pau_d_arco__populacao_indigena,População Indígena,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,19.19299320185871,2022,45.0,Valor
Pau D Arco,dados_pau_d_arco__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,lbfgs,True,210.2282662861239,2000,130.4,Valor
Pau D Arco,dados_pau_d_arco__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,lbfgs,True,210.2282662861239,2010,358.2,Valor
Pau D Arco,dados_pau_d_arco__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,lbfgs,True,210.2282662861239,2022,940.0,Valor
Pau D Arco,dados_pau_d_arco__apenas_1_trabalho,Apenas 1 trabalho,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,1.056582289909547,2000,96.2,Valor
Pau D Arco,dados_pau_d_arco__apenas_1_trabalho,Apenas 1 trabalho,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,1.056582289909547,2010,96.6,Valor
Pau D Arco,dados_pau_d_arco__apenas_1_trabalho,Apenas 1 trabalho,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,1.056582289909547,2022,94.8,Valor
Pau D Arco,dados_pau_d_arco__2_trabalhos,2 trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.9767329214669442,2000,3.4,Valor
Pau D Arco,dados_pau_d_arco__2_trabalhos,2 trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.9767329214669442,2010,2.9,Valor
Pau D Arco,dados_pau_d_arco__2_trabalhos,2 trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,0.9767329214669442,2022,4.6,Valor
Pau D Arco,dados_pau_d_arco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.015192255993350575,2000,0.4,Valor
Pau D Arco,dados_pau_d_arco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.015192255993350575,2010,0.5,Valor
Pau D Arco,dados_pau_d_arco__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,0.015192255993350575,2022,0.6,Valor
Pau D Arco,dados_pau_d_arco__setor_privado,Setor privado,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,474.5911086223967,2000,560.0,Valor
Pau D Arco,dados_pau_d_arco__setor_privado,Setor privado,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,474.5911086223967,2010,880.0,Valor
Pau D Arco,dados_pau_d_arco__setor_privado,Setor privado,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,474.5911086223967,2022,1.32,Valor
Pau D Arco,dados_pau_d_arco__conta_propria,Conta própria,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,494.55950004816367,2000,680.0,Valor
Pau D Arco,dados_pau_d_arco__conta_propria,Conta própria,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,494.55950004816367,2010,820.0,Valor
Pau D Arco,dados_pau_d_arco__conta_propria,Conta própria,dados_pau_d_arco,Grupo 2 — 3 censos,3,logistic,sgd,True,494.55950004816367,2022,1.08,Valor
Pau D Arco,dados_pau_d_arco__setor_publico,Setor público,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,28.957486379878315,2000,220.0,Valor
Pau D Arco,dados_pau_d_arco__setor_publico,Setor público,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,28.957486379878315,2010,380.0,Valor
Pau D Arco,dados_pau_d_arco__setor_publico,Setor público,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,28.957486379878315,2022,610.0,Valor
Pau D Arco,dados_pau_d_arco__trabalhador_domestico,Trabalhador doméstico,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,14.335274222751897,2000,90.0,Valor
Pau D Arco,dados_pau_d_arco__trabalhador_domestico,Trabalhador doméstico,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,14.335274222751897,2010,140.0,Valor
Pau D Arco,dados_pau_d_arco__trabalhador_domestico,Trabalhador doméstico,dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,14.335274222751897,2022,180.0,Valor
Pau D Arco,dados_pau_d_arco__empregador,Empregador,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,6.076902397340234,2000,50.0,Valor
Pau D Arco,dados_pau_d_arco__empregador,Empregador,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,6.076902397340234,2010,90.0,Valor
Pau D Arco,dados_pau_d_arco__empregador,Empregador,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,6.076902397340234,2022,130.0,Valor
Pau D Arco,dados_pau_d_arco__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,53.22326279850352,2000,260.0,Valor
Pau D Arco,dados_pau_d_arco__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,53.22326279850352,2010,130.0,Valor
Pau D Arco,dados_pau_d_arco__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_pau_d_arco,Grupo 2 — 3 censos,3,relu,adam,True,53.22326279850352,2022,80.0,Valor
Pau D Arco,dados_pau_d_arco__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_pau_d_arco,Grupo 2 — 3 censos,3,identity,adam,True,1.5192255993350585,2000,10.0,Valor
