municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Piçarra,dados_picarra__populacao_total,População Total,dados_picarra,Grupo 2 — 3 censos,3,logistic,adam,True,0.24237205011794907,2000,12.18,Valor
Piçarra,dados_picarra__populacao_total,População Total,dados_picarra,Grupo 2 — 3 censos,3,logistic,adam,True,0.24237205011794907,2010,12.698,Valor
Piçarra,dados_picarra__populacao_total,População Total,dados_picarra,Grupo 2 — 3 censos,3,logistic,adam,True,0.24237205011794907,2022,12.822,Valor
Piçarra,dados_picarra__populacao_urbana,População Urbana,dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.7970795377292678,2000,4.12,Valor
Piçarra,dados_picarra__populacao_urbana,População Urbana,dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.7970795377292678,2010,6.24,Valor
Piçarra,dados_picarra__populacao_urbana,População Urbana,dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.7970795377292678,2022,7.12,Valor
Piçarra,dados_picarra__populacao_rural,População Rural,dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.5572308627796678,2000,8.06,Valor
Piçarra,dados_picarra__populacao_rural,População Rural,dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.5572308627796678,2010,6.458,Valor
Piçarra,dados_picarra__populacao_rural,População Rural,dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.5572308627796678,2022,5.702,Valor
Piçarra,dados_picarra__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_picarra,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Piçarra,dados_picarra__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_picarra,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Piçarra,dados_picarra__populacao_de_mulheres,População de Mulheres,dados_picarra,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.1385511040313195,2000,5.78,Valor
Piçarra,dados_picarra__populacao_de_mulheres,População de Mulheres,dados_picarra,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.1385511040313195,2010,6.12,Valor
Piçarra,dados_picarra__populacao_de_mulheres,População de Mulheres,dados_picarra,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.1385511040313195,2022,6.24,Valor
Piçarra,dados_picarra__populacao_de_homens,População de Homens,dados_picarra,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.0960365006661507,2000,6.4,Valor
Piçarra,dados_picarra__populacao_de_homens,População de Homens,dados_picarra,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.0960365006661507,2010,6.578,Valor
Piçarra,dados_picarra__populacao_de_homens,População de Homens,dados_picarra,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.0960365006661507,2022,6.582,Valor
Piçarra,dados_picarra__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.889929613628515,2000,110.7,Valor
Piçarra,dados_picarra__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.889929613628515,2010,107.5,Valor
Piçarra,dados_picarra__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_picarra,Grupo 2 — 3 censos,3,relu,adam,True,0.889929613628515,2022,105.5,Valor
Piçarra,dados_picarra__idade_mediana,Idade Mediana,dados_picarra,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,21.0,Valor
Piçarra,dados_picarra__idade_mediana,Idade Mediana,dados_picarra,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,25.0,Valor
Piçarra,dados_picarra__idade_mediana,Idade Mediana,dados_picarra,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,31.0,Valor
Piçarra,dados_picarra__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_picarra,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.0693084813614755,2000,6.8,Valor
