municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Placas,dados_placas__populacao_total,População Total,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,4.010107580847357,2000,17.12,Valor
Placas,dados_placas__populacao_total,População Total,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,4.010107580847357,2010,23.934,Valor
Placas,dados_placas__populacao_total,População Total,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,4.010107580847357,2022,22.383,Valor
Placas,dados_placas__populacao_urbana,População Urbana,dados_placas,Grupo 2 — 3 censos,3,logistic,lbfgs,True,1.6374165646205447,2000,5.82,Valor
Placas,dados_placas__populacao_urbana,População Urbana,dados_placas,Grupo 2 — 3 censos,3,logistic,lbfgs,True,1.6374165646205447,2010,9.84,Valor
Placas,dados_placas__populacao_urbana,População Urbana,dados_placas,Grupo 2 — 3 censos,3,logistic,lbfgs,True,1.6374165646205447,2022,11.24,Valor
Placas,dados_placas__populacao_rural,População Rural,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.9308834626005276,2000,11.3,Valor
Placas,dados_placas__populacao_rural,População Rural,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.9308834626005276,2010,14.094,Valor
Placas,dados_placas__populacao_rural,População Rural,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.9308834626005276,2022,11.143,Valor
Placas,dados_placas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_placas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Placas,dados_placas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_placas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Placas,dados_placas__populacao_de_mulheres,População de Mulheres,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.9914021937830053,2000,8.12,Valor
Placas,dados_placas__populacao_de_mulheres,População de Mulheres,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.9914021937830053,2010,11.42,Valor
Placas,dados_placas__populacao_de_mulheres,População de Mulheres,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,1.9914021937830053,2022,10.82,Valor
Placas,dados_placas__populacao_de_homens,População de Homens,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,2.0187053870643523,2000,9.0,Valor
Placas,dados_placas__populacao_de_homens,População de Homens,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,2.0187053870643523,2010,12.514,Valor
Placas,dados_placas__populacao_de_homens,População de Homens,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,2.0187053870643523,2022,11.563,Valor
Placas,dados_placas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_placas,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7061123027356947,2000,110.8,Valor
Placas,dados_placas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_placas,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7061123027356947,2010,109.6,Valor
Placas,dados_placas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_placas,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7061123027356947,2022,106.9,Valor
Placas,dados_placas__idade_mediana,Idade Mediana,dados_placas,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,18.0,Valor
Placas,dados_placas__idade_mediana,Idade Mediana,dados_placas,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,21.0,Valor
Placas,dados_placas__idade_mediana,Idade Mediana,dados_placas,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,28.0,Valor
Placas,dados_placas__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_placas,Grupo 2 — 3 censos,3,relu,sgd,True,6.36027897222598,2000,4.2,Valor
Placas,dados_placas__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_placas,Grupo 2 — 3 censos,3,relu,sgd,True,6.36027897222598,2010,6.8,Valor
Placas,dados_placas__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_placas,Grupo 2 — 3 censos,3,relu,sgd,True,6.36027897222598,2022,21.8,Valor
Placas,dados_placas__populacao_parda,População Parda,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.2873910394612067,2000,12.82,Valor
Placas,dados_placas__populacao_parda,População Parda,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.2873910394612067,2010,18.42,Valor
Placas,dados_placas__populacao_parda,População Parda,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,3.2873910394612067,2022,17.12,Valor
Placas,dados_placas__populacao_branca,População Branca,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.28794701299209285,2000,3.42,Valor
Placas,dados_placas__populacao_branca,População Branca,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.28794701299209285,2010,3.98,Valor
Placas,dados_placas__populacao_branca,População Branca,dados_placas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.28794701299209285,2022,3.68,Valor
Placas,dados_placas__populacao_preta,População Preta,dados_placas,Grupo 2 — 3 censos,3,tanh,adam,True,445.622724125347,2000,810.0,Valor
Placas,dados_placas__populacao_preta,População Preta,dados_placas,Grupo 2 — 3 censos,3,tanh,adam,True,445.622724125347,2010,1.42,Valor
Placas,dados_placas__populacao_preta,População Preta,dados_placas,Grupo 2 — 3 censos,3,tanh,adam,True,445.622724125347,2022,1.48,Valor
Placas,dados_placas__populacao_amarela,População Amarela,dados_placas,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504949409281417,2000,48.0,Valor
Placas,dados_placas__populacao_amarela,População Amarela,dados_placas,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504949409281417,2010,38.0,Valor
Placas,dados_placas__populacao_amarela,População Amarela,dados_placas,Grupo 2 — 3 censos,3,identity,lbfgs,True,3.0504949409281417,2022,22.0,Valor
Placas,dados_placas__populacao_indigena,População Indígena,dados_placas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,27.03441486649453,2000,22.0,Valor
Placas,dados_placas__populacao_indigena,População Indígena,dados_placas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,27.03441486649453,2010,76.0,Valor
Placas,dados_placas__populacao_indigena,População Indígena,dados_placas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,27.03441486649453,2022,81.0,Valor
Placas,dados_placas__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_placas,Grupo 2 — 3 censos,3,identity,adam,True,117.25218792689316,2000,72.1,Valor
Placas,dados_placas__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_placas,Grupo 2 — 3 censos,3,identity,adam,True,117.25218792689316,2010,218.4,Valor
Placas,dados_placas__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_placas,Grupo 2 — 3 censos,3,identity,adam,True,117.25218792689316,2022,548.0,Valor
Placas,dados_placas__apenas_1_trabalho,Apenas 1 trabalho,dados_placas,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5892480404293963,2000,96.4,Valor
