municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Ponta de Pedras,dados_ponta_de_pedras__populacao_total,População Total,dados_ponta_de_pedras,Grupo 1 — 4 censos,4,identity,adam,True,0.15736769855016508,1991,21.14,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_total,População Total,dados_ponta_de_pedras,Grupo 1 — 4 censos,4,identity,adam,True,0.15736769855016508,2000,23.18,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_total,População Total,dados_ponta_de_pedras,Grupo 1 — 4 censos,4,identity,adam,True,0.15736769855016508,2010,25.979,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_total,População Total,dados_ponta_de_pedras,Grupo 1 — 4 censos,4,identity,adam,True,0.15736769855016508,2022,28.98,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_urbana,População Urbana,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.3052361314759171,2000,9.42,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_urbana,População Urbana,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.3052361314759171,2010,11.339,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_urbana,População Urbana,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.3052361314759171,2022,13.24,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_rural,População Rural,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.03355528312533688,2000,13.76,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_rural,População Rural,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.03355528312533688,2010,14.64,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_rural,População Rural,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.03355528312533688,2022,15.74,Valor
Ponta de Pedras,dados_ponta_de_pedras__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ponta_de_pedras,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Ponta de Pedras,dados_ponta_de_pedras__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ponta_de_pedras,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_de_mulheres,População de Mulheres,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.03617164297900288,2000,11.28,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_de_mulheres,População de Mulheres,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.03617164297900288,2010,12.62,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_de_mulheres,População de Mulheres,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.03617164297900288,2022,14.18,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_de_homens,População de Homens,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.2353517539065031,2000,11.9,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_de_homens,População de Homens,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.2353517539065031,2010,13.359,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_de_homens,População de Homens,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.2353517539065031,2022,14.8,Valor
Ponta de Pedras,dados_ponta_de_pedras__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ponta_de_pedras,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8584735159631833,2000,105.5,Valor
Ponta de Pedras,dados_ponta_de_pedras__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ponta_de_pedras,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8584735159631833,2010,105.9,Valor
Ponta de Pedras,dados_ponta_de_pedras__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ponta_de_pedras,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8584735159631833,2022,104.4,Valor
Ponta de Pedras,dados_ponta_de_pedras__idade_mediana,Idade Mediana,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2000,19.0,Valor
Ponta de Pedras,dados_ponta_de_pedras__idade_mediana,Idade Mediana,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2010,22.0,Valor
Ponta de Pedras,dados_ponta_de_pedras__idade_mediana,Idade Mediana,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2022,28.0,Valor
Ponta de Pedras,dados_ponta_de_pedras__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ponta_de_pedras,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.313185929449556,2000,4.8,Valor
Ponta de Pedras,dados_ponta_de_pedras__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ponta_de_pedras,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.313185929449556,2010,7.2,Valor
Ponta de Pedras,dados_ponta_de_pedras__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ponta_de_pedras,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.313185929449556,2022,19.8,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_parda,População Parda,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.7936153056629749,2000,16.82,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_parda,População Parda,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.7936153056629749,2010,19.84,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_parda,População Parda,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,identity,adam,True,0.7936153056629749,2022,22.42,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_branca,População Branca,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,logistic,sgd,True,0.24620038757278495,2000,4.42,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_branca,População Branca,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,logistic,sgd,True,0.24620038757278495,2010,3.98,Valor
Ponta de Pedras,dados_ponta_de_pedras__populacao_branca,População Branca,dados_ponta_de_pedras,Grupo 2 — 3 censos,3,logistic,sgd,True,0.24620038757278495,2022,4.12,Valor
