municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Porto de Moz,dados_porto_de_moz__populacao_total,População Total,dados_porto_de_moz,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8060091482032474,1991,20.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_total,População Total,dados_porto_de_moz,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8060091482032474,2000,25.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_total,População Total,dados_porto_de_moz,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8060091482032474,2010,33.956,Valor
Porto de Moz,dados_porto_de_moz__populacao_total,População Total,dados_porto_de_moz,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.8060091482032474,2022,40.597,Valor
Porto de Moz,dados_porto_de_moz__populacao_urbana,População Urbana,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.351652656873884,2000,10.12,Valor
Porto de Moz,dados_porto_de_moz__populacao_urbana,População Urbana,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.351652656873884,2010,14.82,Valor
Porto de Moz,dados_porto_de_moz__populacao_urbana,População Urbana,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.351652656873884,2022,18.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_rural,População Rural,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.1005210212582657,2000,15.3,Valor
Porto de Moz,dados_porto_de_moz__populacao_rural,População Rural,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.1005210212582657,2010,19.136,Valor
Porto de Moz,dados_porto_de_moz__populacao_rural,População Rural,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.1005210212582657,2022,22.177,Valor
Porto de Moz,dados_porto_de_moz__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_porto_de_moz,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,520.0,Valor
Porto de Moz,dados_porto_de_moz__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_porto_de_moz,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_de_mulheres,População de Mulheres,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.2338678031404644,2000,12.12,Valor
Porto de Moz,dados_porto_de_moz__populacao_de_mulheres,População de Mulheres,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.2338678031404644,2010,16.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_de_mulheres,População de Mulheres,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.2338678031404644,2022,19.82,Valor
Porto de Moz,dados_porto_de_moz__populacao_de_homens,População de Homens,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.2183058749916864,2000,13.3,Valor
Porto de Moz,dados_porto_de_moz__populacao_de_homens,População de Homens,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.2183058749916864,2010,17.536,Valor
Porto de Moz,dados_porto_de_moz__populacao_de_homens,População de Homens,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,1.2183058749916864,2022,20.777,Valor
Porto de Moz,dados_porto_de_moz__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,0.7992415460776764,2000,109.7,Valor
Porto de Moz,dados_porto_de_moz__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,0.7992415460776764,2010,106.8,Valor
Porto de Moz,dados_porto_de_moz__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,0.7992415460776764,2022,104.8,Valor
Porto de Moz,dados_porto_de_moz__idade_mediana,Idade Mediana,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,17.0,Valor
Porto de Moz,dados_porto_de_moz__idade_mediana,Idade Mediana,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,21.0,Valor
Porto de Moz,dados_porto_de_moz__idade_mediana,Idade Mediana,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,27.0,Valor
Porto de Moz,dados_porto_de_moz__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.645300394032251,2000,4.2,Valor
Porto de Moz,dados_porto_de_moz__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.645300394032251,2010,7.4,Valor
Porto de Moz,dados_porto_de_moz__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.645300394032251,2022,19.8,Valor
Porto de Moz,dados_porto_de_moz__populacao_parda,População Parda,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,adam,True,1.7788110939721922,2000,18.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_parda,População Parda,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,adam,True,1.7788110939721922,2010,25.12,Valor
Porto de Moz,dados_porto_de_moz__populacao_parda,População Parda,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,adam,True,1.7788110939721922,2022,30.82,Valor
Porto de Moz,dados_porto_de_moz__populacao_branca,População Branca,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,sgd,True,0.03037080823305723,2000,5.12,Valor
Porto de Moz,dados_porto_de_moz__populacao_branca,População Branca,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,sgd,True,0.03037080823305723,2010,5.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_branca,População Branca,dados_porto_de_moz,Grupo 2 — 3 censos,3,identity,sgd,True,0.03037080823305723,2022,5.82,Valor
Porto de Moz,dados_porto_de_moz__populacao_preta,População Preta,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,0.3679309601181639,2000,1.68,Valor
Porto de Moz,dados_porto_de_moz__populacao_preta,População Preta,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,0.3679309601181639,2010,2.84,Valor
Porto de Moz,dados_porto_de_moz__populacao_preta,População Preta,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,adam,True,0.3679309601181639,2022,3.42,Valor
Porto de Moz,dados_porto_de_moz__populacao_amarela,População Amarela,dados_porto_de_moz,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.059625524398909,2000,80.0,Valor
