municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Primavera,dados_primavera__populacao_total,População Total,dados_primavera,Grupo 1 — 4 censos,4,identity,adam,True,0.18553754595863703,1991,9.412,Valor
Primavera,dados_primavera__populacao_total,População Total,dados_primavera,Grupo 1 — 4 censos,4,identity,adam,True,0.18553754595863703,2000,10.12,Valor
Primavera,dados_primavera__populacao_total,População Total,dados_primavera,Grupo 1 — 4 censos,4,identity,adam,True,0.18553754595863703,2010,10.268,Valor
Primavera,dados_primavera__populacao_total,População Total,dados_primavera,Grupo 1 — 4 censos,4,identity,adam,True,0.18553754595863703,2022,10.892,Valor
Primavera,dados_primavera__populacao_urbana,População Urbana,dados_primavera,Grupo 2 — 3 censos,3,relu,adam,True,0.32152383058316286,2000,5.12,Valor
Primavera,dados_primavera__populacao_urbana,População Urbana,dados_primavera,Grupo 2 — 3 censos,3,relu,adam,True,0.32152383058316286,2010,6.24,Valor
Primavera,dados_primavera__populacao_urbana,População Urbana,dados_primavera,Grupo 2 — 3 censos,3,relu,adam,True,0.32152383058316286,2022,7.12,Valor
Primavera,dados_primavera__populacao_rural,População Rural,dados_primavera,Grupo 2 — 3 censos,3,tanh,sgd,True,0.40617669234331216,2000,5.0,Valor
Primavera,dados_primavera__populacao_rural,População Rural,dados_primavera,Grupo 2 — 3 censos,3,tanh,sgd,True,0.40617669234331216,2010,4.028,Valor
Primavera,dados_primavera__populacao_rural,População Rural,dados_primavera,Grupo 2 — 3 censos,3,tanh,sgd,True,0.40617669234331216,2022,3.772,Valor
Primavera,dados_primavera__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_primavera,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Primavera,dados_primavera__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_primavera,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Primavera,dados_primavera__populacao_de_mulheres,População de Mulheres,dados_primavera,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.13617065054896185,2000,4.92,Valor
